State,Number of students,Graduation rate,Per-pupil spending,Average scale score (8th math),Average scale score (4th reading),Average SAT score,Average ACT score
Alabama,"743,012",92%,"$10,116",262,213,1172,18
Alaska,"131,587",80%,"$18,313",264,202,1097,19.9
Arizona,"970,751",78%,"$8,785",270,208,1194,17.7
Arkansas,"474,826",84.90%,"$10,345",266,210,1165,18.5
California,"5,496,271",85%,"$14,031",269,212,1096,26.5
Colorado,"891,084",81%,"$11,602",278,221,987,24.7
Connecticut,"486,990",89%,"$21,346",277,219,989,26.5
Delaware,"123,566",89%,"$17,235",263,210,933,25
Florida,"2,838,866",87%,"$9,937",267,218,948,19
Georgia,"1,735,585",82%,"$11,707",269,214,1039,21.2
Hawaii,"181,088",85%,"$16,564",270,216,1124,17.7
Idaho,"289,480",81%,"$8,272",278,216,941,23.3
Illinois,"1,925,415",86%,"$12,288",277,214,971,24.5
Indiana,"997,869",87%,"$9,566",278,220,973,23.3
Iowa,"517,444",92%,"$11,958",275,215,1235,21
Kansas,"497,753",87%,"$9,828",274,213,1228,19.3
Kentucky,"691,667",91%,"$11,397",271,218,1219,18.6
Louisiana,"637,434",80%,"$11,843",267,216,1184,18.2
Maine,"176,463",86.40%,"$14,892",273,210,1083,25
Maryland,"909,003",87%,"$15,489",268,216,1018,24.7
Massachusetts,"896,103",88%,"$18,733",283,225,1113,26.1
Michigan,"1,300,144",81%,"$13,072",270,209,943,24.5
Minnesota,"821,260",84%,"$13,603",282,214,1230,20.7
Mississippi,"457,954",85%,"$9,653",269,219,1198,17.7
Missouri,"884,587",90%,"$11,239",270,212,1201,19.8
Montana,"108,894",87%,"$12,101",279,217,1182,19.5
Nebraska,"328,724",88%,"$12,939",280,212,1249,19.1
Nevada,"447,603",84%,"$9,814",265,213,1156,17.2
New Hampshire,"168,631",88%,"$17,900",280,221,1032,25.9
New Jersey,"1,321,709",91%,"$20,670",282,222,1079,24.1
New Mexico,"322,989",75%,"$11,332",256,201,875,20
New York State,"2,488,476",83%,"$25,519",271,215,1052,25.4
North Carolina,"1,442,736",87%,"$9,958",276,213,1121,18.5
North Dakota,"116,639",88%,"$14,242",280,216,1254,19.6
Ohio,"1,580,547",82%,"$13,805",279,216,1139,19
Oklahoma,"658,323.00",85%,"$9,508",264,207,1161,17.6
Oregon,"581,849",80%,"$12,855",268,207,1143,21.1
Pennsylvania,"1,566,855",87%,"$17,142",276,216,1088,24.3
Rhode Island,"131,835",84%,"$16,857",270,216,979,25.4
South Carolina,"751,660",81%,"$11,532",268,215,1024,18.7
South Dakota,"145,726",84%,"$10,208",281,214,1222,21.1
Tennessee,"1,001,916",91%,"$9,896",276,215,1195,18.8
Texas,"5,156,972",90%,"$10,342",269,212,992,19.4
Utah,"606,998",87%,"$8,366",282,219,1221,20
Vermont,"83,534",85%,"$20,838",276,213,1104,23.6
Virginia,"1,296,817",88%,"$12,905",275,214,1116,24.8
Washington State,"1,138,272",81%,"$14,556",274,216,1081,24.5
West Virginia,"263,486",91%,"$12,375",261,206,911,20.4
Wisconsin,"846,693",90%,"$12,740",283,215,1240,19.4
Wyoming,"94,488",82%,"$16,698",278,222,1215,19.1
