School District,City,County,State
Alabaster City Schools,Alabaster,Shelby,Alabamia 
Albertville City Schools,Albertville,Marshall,Alabamia 
Alexander City Schools,Alexander City,Tallapoosa,Alabamia 
Andalusia City Schools,Andalusia,Covington,Alabamia 
Anniston City Schools,Anniston,Calhoun,Alabamia 
Arab City Schools,Arab,Marshall,Alabamia 
Athens City Schools,Athens,Limestone,Alabamia 
Attalla City Schools,Attalla,Etowah,Alabamia 
Auburn City Schools,Auburn,Lee,Alabamia 
Autauga County School System,Prattville,Autauga,Alabamia 
Baldwin County Public Schools,Bay Minette,Baldwin,Alabamia 
Barbour County School District,Clayton,Barbour,Alabamia 
Bessemer City Schools,Bessemer,Jefferson,Alabamia 
Bibb County School District,Centreville,Bibb,Alabamia 
Birmingham City Schools,Birmingham,Jefferson,Alabamia 
Blount County School District,Oneonta,Blount,Alabamia 
Boaz City Schools,Boaz,Marshall,Alabamia 
Brewton City Schools,Brewton,Escambia,Alabamia 
Bullock County School District,Union Springs,Bullock,Alabamia 
Butler County School District,Greenville,Butler,Alabamia 
Calhoun County School District,Anniston,Calhoun,Alabamia 
Chambers County School District,LaFayette,Chambers,Alabamia 
Cherokee County School District,Centre,Cherokee,Alabamia 
Chickasaw City Schools,Chickasaw,Mobile,Alabamia 
Chilton County School District,Clanton,Chilton,Alabamia 
Choctaw County School District,Butler,Choctaw,Alabamia 
Clarke County School District,Grove Hill,Clarke,Alabamia 
Clay County School District,Ashland,Clay,Alabamia 
Cleburne County School District,Heflin,Cleburne,Alabamia 
Coffee County School District,Elba,Coffee,Alabamia 
Colbert County School District,Tuscumbia,Colbert,Alabamia 
Conecuh County School District,Evergreen,Conecuh,Alabamia 
Coosa County School District,Rockford,Coosa,Alabamia 
Covington County School District,Andalusia,Covington,Alabamia 
Crenshaw County School District,Luverne,Crenshaw,Alabamia 
Cullman City Schools,Cullman,Cullman,Alabamia 
Cullman County School System,Cullman,Cullman,Alabamia 
Dale County School District,Ozark,Dale,Alabamia 
Daleville City Schools,Daleville,Dale,Alabamia 
Dallas County School District,Selma,Dallas,Alabamia 
Decatur City Schools,Decatur,Morgan,Alabamia 
DeKalb County School District,Fort Payne,DeKalb,Alabamia 
Demopolis City Schools,Demopolis,Marengo,Alabamia 
Dothan City Schools,Dothan,Houston,Alabamia 
Elba City Schools,Elba,Coffee,Alabamia 
Elmore County School District,Wetumpka,Elmore,Alabamia 
Enterprise City Schools,Enterprise,Coffee,Alabamia 
Escambia County School District,Brewton,Escambia,Alabamia 
Etowah County School System,Gadsden,Etowah,Alabamia 
Eufaula City Schools,Eufaula,Barbour,Alabamia 
Fairfield City Schools,Fairfield,Jefferson,Alabamia 
Fayette County School District,Fayette,Fayette,Alabamia 
Florence City Schools,Florence,Lauderdale,Alabamia 
Fort Payne City Schools,Fort Payne,DeKalb,Alabamia 
Franklin County School District,Russellville,Franklin,Alabamia 
Gadsden City Schools,Gadsden,Etowah,Alabamia 
Geneva City Schools,Geneva,Geneva,Alabamia 
Geneva County School District,Geneva,Geneva,Alabamia 
Greene County School District,Eutaw,Greene,Alabamia 
Gulf Shores City Schools,Gulf Shores,Baldwin,Alabamia 
Guntersville City Schools,Guntersville,Marshall,Alabamia 
Hale County School District,Greensboro,Hale,Alabamia 
Haleyville City Schools,Haleyville,Winston,Alabamia 
