School District,City,County,State
Alaska Gateway School District,Tok,Southeast Fairbanks Census Area,Alaska
Aleutian Region School District,Anchorage,Aleutians West Census Area,Alaska
Aleutians East Borough School District,Sand Point,Aleutians East Borough,Alaska
Anchorage School District,Anchorage,Anchorage Municipality,Alaska
Annette Island School District,Metlakatla,Prince of Wales-Hyder Census Area,Alaska
Bering Strait School District,Unalakleet,Nome Census Area,Alaska
Bristol Bay Borough School District,Naknek,Bristol Bay Borough,Alaska
Chatham School District,Angoon,Hoonah-Angoon Census Area,Alaska
Chugach School District,Anchorage,Chugach Census Area,Alaska
Copper River School District,Glennallen,Copper River Census Area,Alaska
Cordova City School District,Cordova,Chugach Census Area,Alaska
Craig City School District,Craig,Prince of Wales-Hyder Census Area,Alaska
Delta/Greely School District,Delta Junction,Southeast Fairbanks Census Area,Alaska
Denali Borough School District,Healy,Denali Borough,Alaska
Dillingham City School District,Dillingham,Dillingham Census Area,Alaska
Fairbanks North Star Borough School District,Fairbanks,Fairbanks North Star Borough,Alaska
Galena City School District,Galena,Yukon-Koyukuk Census Area,Alaska
Haines Borough School District,Haines,Haines Borough,Alaska
Hoonah City School District,Hoonah,Hoonah-Angoon Census Area,Alaska
Hydaburg City School District,Hydaburg,Prince of Wales-Hyder Census Area,Alaska
Iditarod Area School District,McGrath,Yukon-Koyukuk Census Area,Alaska
Juneau Borough School District,Juneau,Juneau City and Borough,Alaska
Kake City School District,Kake,Petersburg Borough,Alaska
Kashunamiut School District,Chevak,Kusilvak Census Area,Alaska
Kenai Peninsula Borough School District,Soldotna,Kenai Peninsula Borough,Alaska
Ketchikan Gateway Borough School District,Ketchikan,Ketchikan Gateway Borough,Alaska
Klawock City School District,Klawock,Prince of Wales-Hyder Census Area,Alaska
Kodiak Island Borough School District,Kodiak,Kodiak Island Borough,Alaska
Kuspuk School District,Aniak,Bethel Census Area,Alaska
Lake and Peninsula School District,King Salmon,Lake and Peninsula Borough,Alaska
Lower Kuskokwim School District,Bethel,Bethel Census Area,Alaska
Lower Yukon School District,Mountain Village,Kusilvak Census Area,Alaska
Matanuska-Susitna Borough School District,Palmer,Matanuska-Susitna Borough,Alaska
Nenana City School District,Nenana,Yukon-Koyukuk Census Area,Alaska
Nome Public Schools,Nome,Nome Census Area,Alaska
North Slope Borough School District,Utqiaġvik,North Slope Borough,Alaska
Northwest Arctic Borough School District,Kotzebue,Northwest Arctic Borough,Alaska
Pelican City School District,Pelican,Hoonah-Angoon Census Area,Alaska
Petersburg City School District,Petersburg,Petersburg Borough,Alaska
Pribilof School District,Saint Paul,Aleutians West Census Area,Alaska
Saint Mary's School District,Saint Mary's,Kusilvak Census Area,Alaska
Sitka School District,Sitka,Sitka City and Borough,Alaska
Skagway School District,Skagway,Skagway Municipality,Alaska
Southeast Island School District,Thorne Bay,Prince of Wales-Hyder Census Area,Alaska
Southwest Region School District,Dillingham,Dillingham Census Area,Alaska
Unalaska City School District,Unalaska,Aleutians West Census Area,Alaska
Valdez City School District,Valdez,Chugach Census Area,Alaska
Wrangell Public School District,Wrangell,Wrangell City and Borough,Alaska
Yakutat School District,Yakutat,Yakutat City and Borough,Alaska
Yukon Flats School District,Fort Yukon,Yukon-Koyukuk Census Area,Alaska
Yukon-Koyukuk School District,Fairbanks,Yukon-Koyukuk Census Area,Alaska
Yupiit School District,Akiachak,Bethel Census Area,Alaska
