School District,City,County,State
Agua Fria Union High School District,Avondale,Maricopa,Arizona
Aguila Elementary School District,Aguila,Yavapai,Arizona
Ajo Unified School District,Ajo,Pima,Arizona
Alhambra Elementary School District,Phoenix,Maricopa,Arizona
Alpine Elementary School District,Alpine,Apache,Arizona
Altar Valley Elementary School District,Tucson,Pima,Arizona
Amphitheater Public Schools,Tucson,Pima,Arizona
Antelope Union High School District,Wellton,Yuma,Arizona
Apache Elementary School District,Sanders,Apache,Arizona
Apache Junction Unified School District,Apache Junction,Pinal,Arizona
Arlington Elementary School District,Arlington,Maricopa,Arizona
Ash Creek Elementary School District,Pearce,Cochise,Arizona
Ash Fork Joint Unified School District,Ash Fork,Yavapai,Arizona
Avondale Elementary School District,Avondale,Maricopa,Arizona
Baboquivari Unified School District,Sells,Pima,Arizona
Bagdad Unified School District,Bagdad,Yavapai,Arizona
Balsz Elementary School District,Phoenix,Maricopa,Arizona
Beaver Creek Elementary School District,Rimrock,Yavapai,Arizona
Benson Unified School District,Benson,Cochise,Arizona
Bicentennial Union High School District,Buckeye,Maricopa,Arizona
Bisbee Unified School District,Bisbee,Cochise,Arizona
Blue Elementary School District,Blue,Greenlee,Arizona
Blue Ridge Unified School District,Lakeside,Navajo,Arizona
Bonita Elementary School District,San Simon,Santa Cruz,Arizona
Bouse Elementary School District,Bouse,La Paz,Arizona
Bowie Unified School District,Bowie,Cochise,Arizona
Buckeye Elementary School District,Buckeye,Maricopa,Arizona
Buckeye Union High School District,Buckeye,Maricopa,Arizona
Bullhead City Elementary School District,Bullhead City,Mohave,Arizona
Camp Verde Unified School District,Camp Verde,Yavapai,Arizona
Canon Elementary School District,Black Canyon City,Pima,Arizona
Cartwright Elementary School District,Phoenix,Maricopa,Arizona
Casa Grande Elementary School District,Casa Grande,Pinal,Arizona
Casa Grande Union High School District,Casa Grande,Pinal,Arizona
Catalina Foothills Unified School District,Tucson,Pima,Arizona
Cave Creek Unified School District,Cave Creek,Maricopa,Arizona
Cedar Unified School District,Cedar City,Pima,Arizona
Chandler Unified School District,Chandler,Cochise,Arizona
Chevelon Butte School District,Heber,Pinal,Arizona
Chinle Unified School District,Chinle,Apache,Arizona
Chino Valley Unified School District,Chino Valley,Navajo,Arizona
Clarkdale-Jerome Elementary School District,Clarkdale,Yavapai,Arizona
Cochise Elementary School District,Cochise,Yavapai,Arizona
Colorado City Unified School District,Colorado City,Cochise,Arizona
Colorado River Union High School District,Bullhead City,Cochise,Arizona
Concho Elementary School District,Concho,Mohave,Arizona
Congress Elementary School District,Congress,Graham,Arizona
Continental Elementary School District,Green Valley,Yavapai,Arizona
Coolidge Unified School District,Coolidge,Pima,Arizona
Cottonwood-Oak Creek Elementary School District,Cottonwood,Pinal,Arizona
Crane Elementary School District,Yuma,Yavapai,Arizona
Creighton Elementary School District,Phoenix,Maricopa,Arizona
Crown King Elementary School District,Crown King,Cochise,Arizona
Deer Valley Unified School District,Phoenix,Cochise,Arizona
Double Adobe Elementary School District,Double Adobe,Greenlee,Arizona
Douglas Unified School District,Douglas,Maricopa,Arizona
Duncan Unified School District,Duncan,Cochise,Arizona
Dysart Unified School District,Surprise,Cochise,Arizona
Eagle Elementary District,Eagar,Pinal,Arizona
Elfrida Elementary School District,Elfrida,Yavapai,Arizona
Eloy Elementary School District,Eloy,Cochise,Arizona
Flagstaff Unified School District,Flagstaff,Pinal,Arizona
Florence Unified School District,Florence,Coconino,Arizona
Flowing Wells Unified School District,Tucson,Pinal,Arizona
Fort Huachuca Accommodation School District,Sierra Vista,Pima,Arizona
Fort Thomas Unified School District,Fort Thomas,Maricopa,Arizona
Fountain Hills Unified School District,Fountain Hills,Coconino,Arizona
Fowler Elementary School District,Phoenix,Gila,Arizona
Fredonia-Moccasin Unified School District,Fredonia,Pinal,Arizona
Gadsden Elementary School District,San Luis,Maricopa,Arizona
Ganado Unified School District,Ganado,Maricopa,Arizona
Gila Bend Unified School District,Gila Bend,Gila,Arizona
Gilbert Public Schools,Gilbert,Navajo,Arizona
Glendale Elementary School District,Glendale,Maricopa,Arizona
Glendale Union High School District,Glendale,Cochise,Arizona
Globe Unified School District,Globe,Navajo,Arizona
Grand Canyon Unified School District,Grand Canyon,Yavapai,Arizona
Hackberry School District,Kingman,Navajo,Arizona
Hayden-Winkelman Unified School District,Hayden,Maricopa,Arizona
Heber-Overgaard Unified School District,Heber,Cochise,Arizona
Higley Unified School District,Gilbert,Navajo,Arizona
Hillside Elementary School District,Bagdad,Pima,Arizona
Holbrook Unified School District,Holbrook,Pinal,Arizona
Humboldt Unified School District,Prescott Valley,Yavapai,Arizona
Hyder Elementary School District,Hyder,Mohave,Arizona
Isaac Elementary School District,Phoenix,Coconino,Arizona
J. O. Combs Unified School District,San Tan Valley,Graham,Arizona
Joseph City Unified School District,Joseph City,Yavapai,Arizona
Kayenta Unified School District,Kayenta,Gila,Arizona
Kingman Unified School District,Kingman,Maricopa,Arizona
Kirkland Elementary School District,Kirkland,Pinal,Arizona
Kyrene Elementary School District,Tempe,Gila,Arizona
Lake Havasu Unified School District,Lake Havasu City,Cochise,Arizona
Laveen Elementary School District,Laveen,Cochise,Arizona
Liberty Elementary School District,Buckeye,Coconino,Arizona
Litchfield Elementary School District,Litchfield Park,Yavapai,Arizona
Littlefield Unified School District,Littlefield,Pima,Arizona
Littleton Elementary School District,Avondale,Pinal,Arizona
Madison Elementary School District,Phoenix,Navajo,Arizona
Maine Consolidated School District,Miami,Mohave,Arizona
Mammoth-San Manuel Unified School District,San Manuel,Yavapai,Arizona
Marana Unified School District,Tucson,Pima,Arizona
Maricopa Unified School District,Maricopa,Mohave,Arizona
Mayer Unified School District,Mayer,Maricopa,Arizona
McNary Elementary School District,McNary,Maricopa,Arizona
McNeal Elementary School District,McNeal,Yavapai,Arizona
Mesa Public Schools,Mesa,Gila,Arizona
Miami Unified School District,Miami,Cochise,Arizona
Mingus Union High School District,Cottonwood,Maricopa,Arizona
Mobile Elementary School District,Globe,Pima,Arizona
Mohave Valley Elementary School District,Mohave Valley,Pinal,Arizona
Mohawk Valley Elementary School District,Dateland,Navajo,Arizona
Morenci Unified School District,Morenci,Mohave,Arizona
Morristown Elementary School District,Morristown,Pima,Arizona
Murphy Elementary School District,Phoenix,Mohave,Arizona
Naco Elementary School District,Naco,Maricopa,Arizona
Nadaburg Unified School District,Wittmann,Maricopa,Arizona
Nogales Unified School District,Nogales,Maricopa,Arizona
Oracle Elementary School District,Oracle,Gila,Arizona
Osborn Elementary School District,Phoenix,Pima,Arizona
Owens-Whitney Elementary School District,Parker,Maricopa,Arizona
Page Unified School District,Page,Pima,Arizona
Paloma Elementary School District,Gila Bend,Navajo,Arizona
Palominas Elementary School District,Hereford,Mohave,Arizona
Palo Verde Elementary School District,Palo Verde,Yavapai,Arizona
Paradise Valley Unified School District,Phoenix,Yavapai,Arizona
Parker Unified School District,Parker,Pima,Arizona
Patagonia Elementary School District,Patagonia,La Paz,Arizona
Patagonia Union High School District,Patagonia,Gila,Arizona
Payson Unified School District,Payson,Yavapai,Arizona
Peach Springs Unified School District,Peach Springs,Navajo,Arizona
Pearce Elementary School District,Pearce,Cochise,Arizona
Pendergast Elementary School District,Phoenix,Maricopa,Arizona
Peoria Unified School District,Peoria,Maricopa,Arizona
Phoenix Elementary School District,Phoenix,Maricopa,Arizona
Phoenix Union High School District,Phoenix,Maricopa,Arizona
Picacho Elementary School District,Picacho,Pinal,Arizona
Pima Unified School District,Pima,Graham,Arizona
Pine Strawberry Elementary School District,Pine,Gila,Arizona
Piñon Unified School District,Pinon,Navajo,Arizona
Pomerene Elementary School District,Benson,Cochise,Arizona
Prescott Unified School District,Prescott,Yavapai,Arizona
Quartzsite Elementary School District,Quartzsite,La Paz,Arizona
Queen Creek Unified School District,Queen Creek,Maricopa,Arizona
Ray Unified School District,Kearny,Pinal,Arizona
Redington Elementary District,Pima,Pima,Arizona
Red Mesa Unified School District,Teec Nos Pos,Apache,Arizona
Red Rock Elementary School District,Red Rock,Pinal,Arizona
Riverside Elementary School District,Phoenix,Maricopa,Arizona
Roosevelt Elementary School District,Phoenix,Maricopa,Arizona
Round Valley Unified School District,Eagar,Apache,Arizona
Sacaton Elementary School District,Sacaton,Pinal,Arizona
Saddle Mountain Unified School District,Tonopah,Maricopa,Arizona
Safford Unified School District,Safford,Graham,Arizona
Sahuarita Unified School District,Sahuarita,Pima,Arizona
Salome Consolidated Elementary School District,Salome,La Paz,Arizona
San Carlos Unified School District,San Carlos,Gila,Arizona
Sanders Unified School District,Sanders,Apache,Arizona
San Fernando Elementary School District,Tucson,Pima,Arizona
San Simon Unified School District,San Simon,Cochise,Arizona
Santa Cruz Elementary School District,Nogales,Santa Cruz,Arizona
Santa Cruz Valley Unified School District,Rio Rico,Santa Cruz,Arizona
Santa Cruz Valley Union High School District,Eloy,Pinal,Arizona
Scottsdale Unified School District,Scottsdale,Maricopa,Arizona
Sedona-Oak Creek Joint Unified School District,Sedona,Yavapai,Arizona
Seligman Unified School District,Seligman,Yavapai,Arizona
Sentinel Elementary School District,Sentinel,Maricopa,Arizona
Show Low Unified School District,Show Low,Navajo,Arizona
Sierra Vista Unified School District,Sierra Vista,Cochise,Arizona
Skull Valley Elementary School District,Skull Valley,Yavapai,Arizona
Snowflake Unified School District,Snowflake,Navajo,Arizona
Solomon Elementary School District,Solomon,Graham,Arizona
Somerton Elementary School District,Somerton,Yuma,Arizona
Sonoita Elementary School District,Elgin,Santa Cruz,Arizona
Stanfield Elementary School District,Stanfield,Pinal,Arizona
St. David Unified School District,St. David,Cochise,Arizona
St. Johns Unified School District,St. Johns,Apache,Arizona
Sunnyside Unified School District,Tucson,Pima,Arizona
Superior Unified School District,Superior,Pinal,Arizona
Tanque Verde Unified School District,Tucson,Pima,Arizona
Tempe Elementary School District,Tempe,Maricopa,Arizona
Tempe Union High School District,Tempe,Maricopa,Arizona
Thatcher Unified School District,Thatcher,Graham,Arizona
Tolleson Elementary School District,Tolleson,Maricopa,Arizona
Tolleson Union High School District,Tolleson,Maricopa,Arizona
