School District,City,County,State
ABC Unified School District,Cerritos,Los Angeles,California
Acalanes Union High School District,Lafayette,Contra Costa,California
Ackerman Elementary School District,Grass Valley,Nevada,California
Acton-Agua Dulce Unified School District,Acton,Los Angeles,California
Adelanto Elementary School District,Adelanto,San Bernardino,California
Alameda Unified School District,Alameda,Alameda,California
Albany Unified School District,Albany,Alameda,California
Alexander Valley Union School District,Healdsburg,Sonoma,California
Alhambra Unified School District,Alhambra,Los Angeles,California
Alisal Union School District,Salinas,Monterey,California
Allensworth Elementary School District,Allensworth,Tulare,California
Alpaugh Unified School District,Alpaugh,Tulare,California
Alpine County Unified School District,Markleeville,Alpine,California
Alpine Union School District,Alpine,San Diego,California
Alta-Dutch Flat Union Elementary School District,Alta,Placer,California
Alta Loma School District,Alta Loma,San Bernardino,California
Alta Vista Elementary School District,Visalia,Tulare,California
Alum Rock Union School District,San Jose,Santa Clara,California
Alview-Dairyland Union School District,Chowchilla,Madera,California
Alvina Elementary School District,Caruthers,Fresno,California
Alvord Unified School District,Riverside,Riverside,California
Amador County Unified School District,Jackson,Amador,California
Anaheim Elementary School District,Anaheim,Orange,California
Anaheim Union High School District,Anaheim,Orange,California
Anderson Union High School District,Anderson,Shasta,California
Anderson Valley Unified School District,Boonville,Mendocino,California
Antelope Elementary School District,Antelope,Sacramento,California
Antelope Valley Union High School District,Lancaster,Los Angeles,California
Antioch Unified School District,Antioch,Contra Costa,California
Apple Valley Unified School District,Apple Valley,San Bernardino,California
Arcadia Unified School District,Arcadia,Los Angeles,California
Arcata Elementary School District,Arcata,Humboldt,California
Arcohe Union Elementary School District,Herald,Sacramento,California
Arena Union Elementary School District,Point Arena,Mendocino,California
Armona Union Elementary School District,Armona,Kings,California
Aromas-San Juan Unified School District,San Juan Bautista,San Benito,California
Arvin Union School District,Arvin,Kern,California
Atascadero Unified School District,Atascadero,San Luis Obispo,California
Atwater Elementary School District,Atwater,Merced,California
Auburn Union Elementary School District,Auburn,Placer,California
Azusa Unified School District,Azusa,Los Angeles,California
Bakersfield City School District,Bakersfield,Kern,California
Baker Valley Unified School District,Baker,San Bernardino,California
Baldwin Park Unified School District,Baldwin Park,Los Angeles,California
Ballard Elementary School District,Solvang,Santa Barbara,California
Ballico-Cressey Elementary School District,Ballico,Merced,California
Bangor Union Elementary School District,Bangor,Butte,California
Banning Unified School District,Banning,Riverside,California
Banta Elementary School District,Banta,San Joaquin,California
Banta Unified School District,Banta,San Joaquin,California
Barstow Unified School District,Barstow,San Bernardino,California
Bassett Unified School District,La Puente,Los Angeles,California
Bass Lake Joint Union Elementary School District,Oakhurst,Madera,California
Bayshore Elementary School District,Daly City,San Mateo,California
Beardsley School District,Bakersfield,Kern,California
Bear Valley Unified School District,Big Bear Lake,San Bernardino,California
Beaumont Unified School District,Beaumont,Riverside,California
Bella Vista Elementary School District,Bella Vista,Shasta,California
Belleview Elementary School District,Sonora,Tuolumne,California
Bellevue Union Elementary School District,Santa Rosa,Sonoma,California
Bellflower Unified School District,Bellflower,Los Angeles,California
Belmont-Redwood Shores School District,Belmont,San Mateo,California
Benicia Unified School District,Benicia,Solano,California
Bennett Valley Union School District,Santa Rosa,Sonoma,California
Berkeley Unified School District,Berkeley,Alameda,California
Berryessa Union School District,San Jose,Santa Clara,California
Beverly Hills Unified School District,Beverly Hills,Los Angeles,California
Big Creek Elementary School District,Big Creek,Fresno,California
Biggs Unified School District,Biggs,Butte,California
Big Lagoon Union School District,Trinidad,Humboldt,California
Big Oak Flat-Groveland Unified School District,Groveland,Tuolumne,California
Big Pine Unified School District,Big Pine,Inyo,California
Big Springs Union Elementary School District,Montague,Siskiyou,California
Big Sur Unified School District,Big Sur,Monterey,California
Big Valley Joint Unified School District,Bieber,Lassen,California
Bishop Unified School District,Bishop,Inyo,California
Bishop Unified School District (9-12),Bishop,Inyo,California
Bitterwater-Tully Union School District,King City,Monterey,California
Black Butte Union Elementary School District,Shingletown,Shasta,California
Black Oak Mine Unified School District,Georgetown,El Dorado,California
Blake School District,Woody,Kern,California
Blochman Union School District,Santa Maria,Santa Barbara,California
Blue Lake Union School District,Blue Lake,Humboldt,California
Bogus Elementary School District,Montague,Siskiyou,California
Bolinas-Stinson Union School District,Bolinas,Marin,California
Bonita Unified School District,San Dimas,Los Angeles,California
Bonny Doon Union Elementary School District,Santa Cruz,Santa Cruz,California
Bonsall Union School District,Bonsall,San Diego,California
Borrego Springs Unified School District,Borrego Springs,San Diego,California
Bradley Union School District,Bradley,Monterey,California
Brawley Elementary School District,Brawley,Imperial,California
Brawley Union High School District,Brawley,Imperial,California
Brea Olinda Unified School District,Brea,Orange,California
Brentwood Union School District,Brentwood,Contra Costa,California
Bret Harte Union High School District,Angels Camp,Calaveras,California
Bridgeville Elementary School District,Bridgeville,Humboldt,California
Briggs School District,Santa Paula,Ventura,California
Brisbane School District,Brisbane,San Mateo,California
Brittan School District,Sutter,Sutter,California
Browns Elementary School District,Browns Valley,Yuba,California
