School District,City,County,State
Andover School District,Andover,Capitol,Connecticut 
Ansonia Public Schools,Ansonia,Naugatuck Valley,Connecticut 
Ashford School District,Ashford,Northeastern Connecticut,Connecticut 
Avon Public Schools,Avon,Capitol,Connecticut 
Barkhamsted School District,Barkhamsted,Northwest Hills,Connecticut 
Berlin Public Schools,Berlin,Capitol,Connecticut 
Bethany Public Schools,Bethany,South Central Connecticut,Connecticut 
Bethel Public Schools,Bethel,Western Connecticut,Connecticut 
Bloomfield Public Schools,Bloomfield,Capitol,Connecticut 
Bolton Public Schools,Bolton,Capitol,Connecticut 
Bozrah Public Schools,Bozrah,Southeastern Connecticut,Connecticut 
Branford Public Schools,Branford,South Central Connecticut,Connecticut 
Bridgeport Public Schools,Bridgeport,Greater Bridgeport,Connecticut 
Bristol Public Schools,Bristol,Naugatuck Valley,Connecticut 
Brookfield Public Schools,Brookfield,Western Connecticut,Connecticut 
Brooklyn Public Schools,Brooklyn,Northeastern Connecticut,Connecticut 
Canaan Public Schools,Canaan,Northwest Hills,Connecticut 
Canterbury Public Schools,Canterbury,Northeastern Connecticut,Connecticut 
Canton Public Schools,Canton,Capitol,Connecticut 
Chaplin School District,Chaplin,Northeastern Connecticut,Connecticut 
Cheshire Public Schools,Cheshire,Naugatuck Valley,Connecticut 
Chester Public Schools,Chester,Lower Connecticut River Valley,Connecticut 
Clinton Public Schools,Clinton,Lower Connecticut River Valley,Connecticut 
Colchester Public Schools,Colchester,Southeastern Connecticut,Connecticut 
Colebrook Consolidated School District,Colebrook,Northwest Hills,Connecticut 
Columbia Public Schools,Columbia,Northeastern Connecticut,Connecticut 
Consolidated School District of New Britain,New Britain,Capitol,Connecticut 
Cornwall Consolidated School District,Cornwall,Northwest Hills,Connecticut 
Coventry Public Schools,Coventry,Capitol,Connecticut 
Cromwell Public Schools,Cromwell,Lower Connecticut River Valley,Connecticut 
Danbury Public Schools,Danbury,Western Connecticut,Connecticut 
Darien Public Schools,Darien,Western Connecticut,Connecticut 
Deep River Public Schools,Deep River,Lower Connecticut River Valley,Connecticut 
Derby Public Schools,Derby,Naugatuck Valley,Connecticut 
Eastford School District,Eastford,Northeastern Connecticut,Connecticut 
East Granby Public Schools,East Granby,Capitol,Connecticut 
East Haddam Public Schools,East Haddam,Lower Connecticut River Valley,Connecticut 
East Hampton Public Schools,East Hampton,Lower Connecticut River Valley,Connecticut 
East Hartford Public Schools,East Hartford,Capitol,Connecticut 
East Haven Public Schools,East Haven,South Central Connecticut,Connecticut 
East Lyme Public Schools,East Lyme,Southeastern Connecticut,Connecticut 
Easton Public Schools,Easton,Western Connecticut,Connecticut 
East Windsor Public Schools,East Windsor,Capitol,Connecticut 
Ellington Public Schools,Ellington,Capitol,Connecticut 
Enfield Public Schools,Enfield,Capitol,Connecticut 
Essex Public Schools,Essex,Lower Connecticut River Valley,Connecticut 
Fairfield Public Schools,Fairfield,Greater Bridgeport,Connecticut 
Farmington Public Schools,Farmington,Capitol,Connecticut 
Franklin School District,Franklin,Southeastern Connecticut,Connecticut 
Glastonbury Public Schools,Glastonbury,Capitol,Connecticut 
Granby Public Schools,Granby,Capitol,Connecticut 
Greenwich Public Schools,Greenwich,Western Connecticut,Connecticut 
Griswold Public Schools,Griswold,Southeastern Connecticut,Connecticut 
Groton Public Schools,Groton,Southeastern Connecticut,Connecticut 
Guilford Public Schools,Guilford,South Central Connecticut,Connecticut 
Hamden Public Schools,Hamden,South Central Connecticut,Connecticut 
Hampton Public Schools,Hampton,Northeastern Connecticut,Connecticut 
Hartford Public Schools,Hartford,Capitol,Connecticut 
Hartland School District,Hartland,Northwest Hills,Connecticut 
Hebron School District,Hebron,Capitol,Connecticut 
Kent School District,Kent,Northwest Hills,Connecticut 
Killingly Public Schools,Killingly,Northeastern Connecticut,Connecticut 
Lebanon Public Schools,Lebanon,Southeastern Connecticut,Connecticut 
Ledyard Public Schools,Ledyard,Southeastern Connecticut,Connecticut 
Lisbon School District,Lisbon,Southeastern Connecticut,Connecticut 
Madison Public Schools,Madison,South Central Connecticut,Connecticut 
Manchester Public Schools,Manchester,Capitol,Connecticut 
Mansfield Public Schools,Mansfield,Northeastern Connecticut,Connecticut 
Marlborough Public Schools,Marlborough,Capitol,Connecticut 
Meriden Public Schools,Meriden,Naugatuck Valley,Connecticut 
Middletown Public Schools,Middletown,Lower Connecticut River Valley,Connecticut 
Milford Public Schools,Milford,South Central Connecticut,Connecticut 
Monroe Public Schools,Monroe,Greater Bridgeport,Connecticut 
Montville Public Schools,Montville,Southeastern Connecticut,Connecticut 
Naugatuck Public Schools,Naugatuck,Naugatuck Valley,Connecticut 
New Canaan Public Schools,New Canaan,Western Connecticut,Connecticut 
New Fairfield Public Schools,New Fairfield,Western Connecticut,Connecticut 
New Hartford Public Schools,New Hartford,Northwest Hills,Connecticut 
New Haven Public Schools,New Haven,South Central Connecticut,Connecticut 
Newington Public Schools,Newington,Capitol,Connecticut 
New London Public Schools,New London,Southeastern Connecticut,Connecticut 
New Milford Public Schools,New Milford,Western Connecticut,Connecticut 
Newtown Public Schools,Newtown,Western Connecticut,Connecticut 
Norfolk Public Schools,Norfolk,Northwest Hills,Connecticut 
North Branford Public Schools,North Branford,South Central Connecticut,Connecticut 
North Canaan School District,Canaan,Northwest Hills,Connecticut 
North Haven Public Schools,North Haven,South Central Connecticut,Connecticut 
North Stonington Public Schools,North Stonington,Southeastern Connecticut,Connecticut 
Norwalk Public Schools,Norwalk,Western Connecticut,Connecticut 
Norwich Public Schools,Norwich,Southeastern Connecticut,Connecticut 
Old Saybrook Public Schools,Old Saybrook,Lower Connecticut River Valley,Connecticut 
Orange Public Schools,Orange,South Central Connecticut,Connecticut 
Oxford Public Schools,Oxford,Naugatuck Valley,Connecticut 
Plainfield Public Schools,Plainfield,Northeastern Connecticut,Connecticut 
Plainville School District,Plainville,Capitol,Connecticut 
Plymouth Public Schools,Plymouth,Naugatuck Valley,Connecticut 
Pomfret Community School District,Pomfret,Northeastern Connecticut,Connecticut 
Portland Public Schools,Portland,Lower Connecticut River Valley,Connecticut 
Preston Public Schools,Preston,Southeastern Connecticut,Connecticut 
Putnam Public Schools,Putnam,Northeastern Connecticut,Connecticut 
Redding Public Schools,Redding,Western Connecticut,Connecticut 
Regional School District 1,Falls Village,Northwest Hills / Litchfield counties,Connecticut 
Regional School District 4,Essex,Lower Connecticut River Valley,Connecticut 
Regional School District 5,Bethany,South Central Connecticut,Connecticut 
Regional School District 7,Winsted,Northwest Hills,Connecticut 
Regional School District 8,Hebron,Capitol,Connecticut 
Regional School District 9,Easton,Western Connecticut,Connecticut 
Regional School District 10,Harwinton,Northwest Hills / Hartford / Litchfield counties,Connecticut 
Regional School District 11,Hampton,Northeastern Connecticut / Windham counties,Connecticut 
Regional School District 12,Washington Depot,Northwest Hills,Connecticut 
Regional School District 13,Durham,Lower Connecticut River Valley / New Haven counties,Connecticut 
Regional School District 14,Woodbury,Naugatuck Valley,Connecticut 
Regional School District 15,Middlebury,Naugatuck Valley,Connecticut 
Regional School District 16,Prospect,Naugatuck Valley / New Haven counties,Connecticut 
Regional School District 17,Higganum,Lower Connecticut River Valley,Connecticut 
Regional School District 18,Old Lyme,Lower Connecticut River Valley,Connecticut 
Regional School District 19,Mansfield,Northeastern Connecticut,Connecticut 
Regional School District 20,Litchfield,Northwest Hills,Connecticut 
Ridgefield Public Schools,Ridgefield,Western Connecticut,Connecticut 
