School District,City,County,State
Appoquinimink School District,Odessa,New Castle,Delaware
Brandywine School District,Claymont,New Castle,Delaware
Caesar Rodney School District,Wyoming,Kent,Delaware
Cape Henlopen School District,Lewes,Sussex,Delaware
Capital School District,Dover,Kent,Delaware
Christina School District,Newark,New Castle,Delaware
Colonial School District,New Castle,New Castle,Delaware
Delmar School District,Delmar,Sussex,Delaware
Indian River School District,Selbyville,Sussex,Delaware
Lake Forest School District,Felton,Kent,Delaware
Laurel School District,Laurel,Sussex,Delaware
Milford School District,Milford,Sussex / Kent,Delaware
Red Clay Consolidated School District,Wilmington,New Castle,Delaware
Seaford School District,Seaford,Sussex,Delaware
Smyrna School District,Smyrna,Kent / New Castle,Delaware
Woodbridge School District,Bridgeville,Sussex,Delaware
