School District,City,County,State
Alachua County Public Schools,Gainesville,Alachua,Florida
Baker County School District,Macclenny,Baker,Florida
Bay District Schools,Panama City,Bay,Florida
Bradford County School District,Starke,Bradford,Florida
Brevard Public Schools,Viera,Brevard,Florida
Broward County Public Schools,Fort Lauderdale,Broward,Florida
Calhoun County School District,Blountstown,Calhoun,Florida
Charlotte County Public Schools,Port Charlotte,Charlotte,Florida
Citrus County Schools,Inverness,Citrus,Florida
Clay County District Schools,Green Cove Springs,Clay,Florida
Collier County Public Schools,Naples,Collier,Florida
Columbia County School District,Lake City,Columbia,Florida
DeSoto County School District,Arcadia,DeSoto,Florida
Dixie County School District,Cross City,Dixie,Florida
Duval County Public Schools,Jacksonville,Duval,Florida
Escambia County School District,Pensacola,Escambia,Florida
Flagler County Public Schools,Bunnell,Flagler,Florida
Franklin County School District,Eastpoint,Franklin,Florida
Gadsden County School District,Quincy,Gadsden,Florida
Gilchrist County School District,Trenton,Gilchrist,Florida
Glades County School District,Moore Haven,Glades,Florida
Gulf County Schools,Port St. Joe,Gulf,Florida
Hamilton County School District,Jasper,Hamilton,Florida
Hardee County School District,Wauchula,Hardee,Florida
Hendry County School District,LaBelle,Hendry,Florida
Hernando County School District,Brooksville,Hernando,Florida
Highlands County School District,Sebring,Highlands,Florida
Hillsborough County Public Schools,Tampa,Hillsborough,Florida
Holmes County School District,Bonifay,Holmes,Florida
Indian River County School District,Vero Beach,Indian River,Florida
Jackson County School District,Marianna,Jackson,Florida
Jefferson County School District,Monticello,Jefferson,Florida
Lafayette County School District,Mayo,Lafayette,Florida
Lake County Schools,Tavares,Lake,Florida
Lee County School District,Fort Myers,Lee,Florida
Leon County Schools,Tallahassee,Leon,Florida
Levy County School District,Bronson,Levy,Florida
Liberty County School District,Bristol,Liberty,Florida
Madison County School District,Madison,Madison,Florida
Manatee County School District,Bradenton,Manatee,Florida
Marion County Public Schools,Ocala,Marion,Florida
Martin County School District,Stuart,Martin,Florida
Miami-Dade County Public Schools,Miami,Miami-Dade,Florida
Monroe County School District,Key West,Monroe,Florida
Nassau County School District,Fernandina Beach,Nassau,Florida
Okaloosa County School District,Fort Walton Beach,Okaloosa,Florida
Okeechobee County School District,Okeechobee,Okeechobee,Florida
Orange County Public Schools,Orlando,Orange,Florida
Osceola County School District,Kissimmee,Osceola,Florida
Palm Beach County School District,West Palm Beach,Palm Beach,Florida
Pasco County Schools,Land O' Lakes,Pasco,Florida
Pinellas County Schools,Largo,Pinellas,Florida
Polk County Public Schools,Bartow,Polk,Florida
Putnam County School District,Palatka,Putnam,Florida
Santa Rosa County School District,Milton,Santa Rosa,Florida
Sarasota County Schools,Sarasota,Sarasota,Florida
Seminole County Public Schools,Sanford,Seminole,Florida
St. Johns County School District,St. Augustine,St. Johns,Florida
St. Lucie Public Schools,Port St. Lucie,St. Lucie,Florida
Sumter County School District,Bushnell,Sumter,Florida
Suwannee County School District,Live Oak,Suwannee,Florida
Taylor County School District,Perry,Taylor,Florida
Union County School District,Lake Butler,Union,Florida
Volusia County Schools,DeLand,Volusia,Florida
Wakulla County School District,Crawfordville,Wakulla,Florida
Walton County School District,DeFuniak Springs,Walton,Florida
Washington County School District,Chipley,Washington,Florida
