School District,City,County,State
Appling County School System,Baxley,Appling,Georgia
Atkinson County School District,Pearson,Atkinson,Georgia
Atlanta Public Schools,Atlanta,"DeKalb, Fulton",Georgia
Bacon County School District,Alma,Bacon,Georgia
Baker County School District,Newton,Baker,Georgia
Baldwin County School District,Milledgeville,Baldwin,Georgia
Banks County School District,Homer,Banks,Georgia
Barrow County School System,Winder,Barrow,Georgia
Bartow County School System,Cartersville,Bartow,Georgia
Ben Hill County Schools,Fitzgerald,Ben Hill,Georgia
Berrien County Schools,Nashville,Berrien,Georgia
Bibb County School District,Macon,Bibb,Georgia
Bleckley County Schools,Cochran,Bleckley,Georgia
Brantley County School District,Nahunta,Brantley,Georgia
Bremen City Schools,Bremen,Haralson,Georgia
Brooks County School District,Quitman,Brooks,Georgia
Bryan County Schools,Pembroke,Bryan,Georgia
Buford City School District,Buford,Gwinnett,Georgia
Bulloch County Schools,Statesboro,Bulloch,Georgia
Burke County Public Schools,Waynesboro,Burke,Georgia
Butts County School System,Jackson,Butts,Georgia
Calhoun City Schools,Calhoun,Gordon,Georgia
Calhoun County Schools,Morgan,Calhoun,Georgia
Camden County Schools,Kingsland,Camden,Georgia
Candler County School District,Metter,Candler,Georgia
Carroll County Schools,Carrollton,Carroll,Georgia
Carrollton City School District,Carrollton,Carroll,Georgia
Cartersville City Schools,Cartersville,Bartow,Georgia
Catoosa County Public Schools,Ringgold,Catoosa,Georgia
Charlton County School District,Folkston,Charlton,Georgia
Chattahoochee County School District,Cusseta,Chattahoochee,Georgia
Chattooga County School District,Summerville,Chattooga,Georgia
Cherokee County School District,Canton,Cherokee,Georgia
Chickamauga City School District,Chickamauga,Walker,Georgia
City Schools of Decatur,Decatur,DeKalb,Georgia
Clarke County School District,Athens,Clarke,Georgia
Clay County School District,Fort Gaines,Clay,Georgia
Clayton County Public Schools,Jonesboro,Clayton,Georgia
Clinch County School District,Homerville,Clinch,Georgia
Cobb County School District,Marietta,Cobb,Georgia
Coffee County Schools,Douglas,Coffee,Georgia
Colquitt County School District,Moultrie,Colquitt,Georgia
