School District,City,County,State
Aberdeen School District,Aberdeen,Bingham,Idaho
American Falls Joint School District,American Falls,Power,Idaho
Arbon Elementary School District,Pocatello,Bannock,Idaho
Avery School District,Avery,Shoshone,Idaho
Basin School District,Basin,Boise,Idaho
Bear Lake County School District,St. Charles,Bear Lake,Idaho
Blackfoot School District,Blackfoot,Bingham,Idaho
Blaine County School District,Hailey,Blaine,Idaho
Bliss Joint School District,Bliss,Gooding,Idaho
Boise School District,Boise,Ada,Idaho
Bonneville Joint School District No. 93,Idaho Falls,Bonneville,Idaho
Boundary County School District,Bonners Ferry,Boundary,Idaho
Bruneau-Grand View Joint School District,Bruneau,Owyhee,Idaho
Buhl Joint School District,Buhl,Twin Falls,Idaho
Butte County Joint School District,Arco,Butte,Idaho
Caldwell School District,Caldwell,Canyon,Idaho
Camas County School District,Fairfield,Camas,Idaho
Cambridge Joint School District,Cambridge,Washington,Idaho
Cascade School District,Cascade,Valley,Idaho
Cassia County Joint School District,Burley,Cassia,Idaho
Castleford School District,Castleford,Twin Falls,Idaho
Challis Joint School District,Challis,Custer,Idaho
Clark County School District,Dubois,Clark,Idaho
Coeur d'Alene Public Schools,Coeur d'Alene,Kootenai,Idaho
Cottonwood Joint School District,Cottonwood,Idaho,Idaho
Council School District,Council,Adams,Idaho
Culdesac Joint School District,Culdesac,Nez Perce,Idaho
Dietrich School District,Dietrich,Lincoln,Idaho
Emmett Independent School District,Emmett,Gem,Idaho
Filer School District,Filer,Twin Falls,Idaho
Firth School District,Firth,Bingham,Idaho
Fremont County Joint School District,Ashton,Fremont,Idaho
Fruitland School District,Fruitland,Payette,Idaho
Garden Valley School District,Garden Valley,Boise,Idaho
Genesee Joint School District,Genesee,Latah,Idaho
Glenns Ferry Joint School District,Glenns Ferry,Elmore,Idaho
Gooding Joint School District,Gooding,Gooding,Idaho
Grace Joint School District,Grace,Caribou,Idaho
Hagerman Joint School District,Hagerman,Gooding,Idaho
Hansen School District,Hansen,Twin Falls,Idaho
Highland Joint School District,Kuna,Ada,Idaho
Homedale Joint School District,Homedale,Owyhee,Idaho
Horseshoe Bend School District,Horseshoe Bend,Boise,Idaho
Idaho Falls School District 91,Idaho Falls,Bonneville,Idaho
Jefferson County Joint School District,Rigby,Jefferson,Idaho
Jerome Joint School District,Jerome,Jerome,Idaho
Kamiah Joint School District,Kamiah,Lewis,Idaho
Kellogg Joint School District,Kellogg,Shoshone,Idaho
Kendrick Joint School District,Kendrick,Latah,Idaho
Kimberly School District,Kimberly,Twin Falls,Idaho
Kootenai Joint School District,Rathdrum,Kootenai,Idaho
Kuna Joint School District,Kuna,Ada,Idaho
Lakeland Joint School District,Rathdrum,Kootenai,Idaho
Lake Pend Oreille School District,Sandpoint,Bonner,Idaho
