School District,City,County,State
Abingdon-Avon Community Unit School District,Abingdon,Knox,Illinois
A-C Central Community Unit School District,Ashland,Cass,Illinois
Addison School District,Addison,DuPage,Illinois
Adlai E. Stevenson High School District,Lincolnshire,Lake,Illinois
Akin Community Consolidated School District,Akin,Franklin,Illinois
Albers School District,Albers,Clinton,Illinois
Alden Hebron School District,Hebron,McHenry,Illinois
Allendale Community Consolidated School District,Allendale,Wabash,Illinois
Allen-Otter Creek Community Consolidated School District,Chillicothe,Peoria,Illinois
Alsip-Hazelgreen-Oaklawn School District,Alsip,Cook,Illinois
Altamont Community Unit School District,Altamont,Effingham,Illinois
Alton Community Unit School District,Alton,Madison,Illinois
Alwood Community Unit School District,Alpha,Henry,Illinois
Amboy Community Unit School District,Amboy,Lee,Illinois
Anna Community Consolidated School District,Anna,Union,Illinois
Anna Jonesboro Community High School District,Jonesboro,Union,Illinois
Annawan Community Unit School District,Annawan,Henry,Illinois
Antioch Community Consolidated School District,Antioch,Lake,Illinois
Aptakisic-Tripp Community Consolidated School District,Buffalo Grove,Lake,Illinois
Arbor Park School District,Oak Forest,Cook,Illinois
Arcola Community Unit School District,Arcola,Douglas,Illinois
Argenta-Oreana Community Unit School District,Argenta,Macon,Illinois
Argo Community High School District,Summit,Cook,Illinois
Arlington Heights School District,Arlington Heights,Cook,Illinois
Armstrong-Ellis Consolidated School District,Armstrong,Vermilion,Illinois
Armstrong Township High School District,Armstrong,Vermilion,Illinois
Arthur Community Unit School District,Arthur,Douglas,Illinois
Ashley Community Consolidated School District,Ashley,Washington,Illinois
Ashton-Franklin Center Community Unit School District,Ashton,Lee,Illinois
Astoria Community Unit School District,Astoria,Fulton,Illinois
Athens Community Unit School District,Athens,Menard,Illinois
Atwood Heights School District,Alsip,Cook,Illinois
Auburn Community Unit School District,Auburn,Sangamon,Illinois
Aviston School District,Aviston,Clinton,Illinois
Avoca School District,Wilmette,Cook,Illinois
Ball-Chatham Community Unit School District,Chatham,Sangamon,Illinois
Bannockburn School District,Bannockburn,Lake,Illinois
Barrington Community Unit School District,Barrington,Lake,Illinois
Bartelso School District,Bartelso,Clinton,Illinois
Bartonville School District,Bartonville,Peoria,Illinois
Batavia Unit School District,Batavia,Kane,Illinois
Beach Park Community Consolidated School District,Beach Park,Lake,Illinois
Beardstown Community Unit School District,Beardstown,Cass,Illinois
Beecher City Community Unit School District,Beecher City,Effingham,Illinois
Beecher Community Unit School District,Beecher,Will,Illinois
Belle Valley School District,Belleville,St. Clair,Illinois
Belleville School District,Belleville,St. Clair,Illinois
Belleville Township High School District,Belleville,St. Clair,Illinois
Bellwood School District,Bellwood,Cook,Illinois
Belvidere Community Unit School District,Belvidere,Boone,Illinois
Bement Community Unit School District,Bement,Piatt,Illinois
Benjamin School District,West Chicago,DuPage,Illinois
Bensenville School District,Bensenville,DuPage,Illinois
Benton Community Consolidated School District,Benton,Franklin,Illinois
Benton Consolidated High School District,Benton,Franklin,Illinois
Berkeley School District,Berkeley,Cook,Illinois
Berwyn North School District,Berwyn,Cook,Illinois
Berwyn South School District,Berwyn,Cook,Illinois
Bethalto Community Unit School District,Bethalto,Madison,Illinois
Bethel School District,Bethel,Monroe,Illinois
Big Hollow School District,Ingleside,Lake,Illinois
Bismarck-Henning Community Unit School District,Bismarck,Vermilion,Illinois
Bloomingdale School District,Bloomingdale,DuPage,Illinois
Bloomington School District,Bloomington,McLean,Illinois
Bloom Township High School District,Chicago Heights,Cook,Illinois
Blue Ridge Community Unit School District,Farmer City,DeWitt,Illinois
Bluford Unit School District,Bluford,Jefferson,Illinois
Bond County Community Unit School District,Greenville,Bond,Illinois
Bourbonnais School District,Bourbonnais,Kankakee,Illinois
Braceville School District,Braceville,Grundy,Illinois
Bradford Community Unit School District,Bradford,Stark,Illinois
Bradley-Bourbonnais Community High School District,Bradley,Kankakee,Illinois
Bradley School District,Bradley,Kankakee,Illinois
Breese School District,Breese,Clinton,Illinois
Bremen Community High School District,Midlothian,Cook,Illinois
Brimfield Community Unit School District,Brimfield,Peoria,Illinois
Brookfield-Lagrange Park School District,Brookfield,Cook,Illinois
Brooklyn Unit School District,Brooklyn,St. Clair,Illinois
Brookwood School District,Glenwood,Cook,Illinois
Brown County Community Unit School District,Mount Sterling,Brown,Illinois
Brownstown Community Unit School District,Brownstown,Fayette,Illinois
Brussels Community Unit School District,Brussels,Calhoun,Illinois
Buncombe Consolidated School District,Buncombe,Johnson,Illinois
Bunker Hill Community Unit School District,Bunker Hill,Macoupin,Illinois
Burbank School District,Burbank,Cook,Illinois
Bureau Valley Community Unit School District,Manlius,Bureau,Illinois
Burnham School District,Burnham,Cook,Illinois
Bushnell-Prairie City Community Unit School District,Bushnell,McDonough,Illinois
Butler School District,Oak Brook,DuPage,Illinois
Byron Community Unit School District,Byron,Ogle,Illinois
Cahokia Community Unit School District,Cahokia,St. Clair,Illinois
Cairo Unit School District,Cairo,Alexander,Illinois
Calhoun Community Unit School District,Hardin,Calhoun,Illinois
Calumet City School District,Calumet City,Cook,Illinois
Calumet Public School District,Calumet Park,Cook,Illinois
Cambridge Community Unit School District,Cambridge,Henry,Illinois
Canton Union School District,Canton,Fulton,Illinois
Carbon Cliff-Barstow School District,Carbon Cliff,Rock Island,Illinois
Carbondale Community High School District,Carbondale,Jackson,Illinois
Carbondale Elementary School District,Carbondale,Jackson,Illinois
Carlinville Community Unit School District,Carlinville,Macoupin,Illinois
Carlyle Community Unit School District,Carlyle,Clinton,Illinois
Carmi-White County Community Unit School District,Carmi,White,Illinois
Carrier Mills-Stonefort Community Unit School District,Carrier Mills,Saline,Illinois
Carrollton Community Unit School District,Carrollton,Greene,Illinois
Carterville Community Unit School District,Carterville,Williamson,Illinois
Carthage Elementary School District,Carthage,Hancock,Illinois
Cary Community Consolidated School District,Cary,McHenry,Illinois
Casey-Westfield Community Unit School District,Casey,Clark,Illinois
Cass School District,Darien,DuPage,Illinois
Center Cass School District,Darien,DuPage,Illinois
Central A&M Community Unit District,Assumption,Christian,Illinois
Central City School District,Centralia,Marion,Illinois
Central Community High School District,Breese,Clinton,Illinois
Central Community Unit School District,Camp Point,Adams,Illinois
Central Community Unit School District,Clifton,Iroquois,Illinois
Central Community Unit School District,rural DeWitt County,DeWitt,Illinois
Centralia High School District,Centralia,Marion,Illinois
Centralia School District,Centralia,Marion,Illinois
Central School District,Stickney,Cook,Illinois
Central School District,Breese,Clinton,Illinois
Central Stickney School District,Stickney,Cook,Illinois
Century Community Unit School District,Ullin,Pulaski,Illinois
Cerro Gordo Community Unit School District,Cerro Gordo,Piatt,Illinois
Chadwick-Milledgeville Community Unit School District,Milledgeville,Carroll,Illinois
Champaign Community Unit School District,Champaign,Champaign,Illinois
Chaney-Monge School District,Chicago Heights,Cook,Illinois
Channahon School District,Channahon,Will,Illinois
Charleston Community Unit School District,Charleston,Coles,Illinois
Chester Community Unit School District,Chester,Randolph,Illinois
Chester-East Lincoln Community Consolidated School District,Lincoln,Logan,Illinois
Chester Non-High School District,Chester,Randolph,Illinois
Chicago Heights School District,Chicago Heights,Cook,Illinois
Chicago Public Schools,Chicago,Cook,Illinois
Chicago Ridge School District,Chicago Ridge,Cook,Illinois
Christopher Unit School District,Christopher,Franklin,Illinois
Cicero Public School District,Cicero,Cook,Illinois
Cissna Park Community Unit School District,Cissna Park,Iroquois,Illinois
Clay City Community Unit District,Clay City,Clay,Illinois
Clinton Community Unit School District,Clinton,DeWitt,Illinois
Coal City Community Unit School District,Coal City,Grundy,Illinois
Cobden School Unit District,Cobden,Union,Illinois
Collinsville Community Unit School District,Collinsville,Madison,Illinois
Colona School District,Colona,Henry,Illinois
Columbia Community Unit School District,Columbia,Monroe,Illinois
Community Consolidated School District,Crestwood,Cook,Illinois
Community Consolidated School District,Palatine,Cook,Illinois
Community Consolidated School District,Elk Grove Village,Cook,Illinois
Community Consolidated School District,Bloomingdale,DuPage,Illinois
Community Consolidated School District,Mount Prospect,Cook,Illinois
Community Consolidated School District,Arlington Heights,Cook,Illinois
Community Consolidated School District,Roselle,DuPage,Illinois
Community High School District,Lake Villa,Lake,Illinois
Community High School District,West Chicago,DuPage,Illinois
Community High School District,Crystal Lake,McHenry,Illinois
Community High School District,Chicago,Cook,Illinois
Community High School District,Northbrook,Cook,Illinois
Community High School District,Westmont,DuPage,Illinois
Community Unit School District,Wheaton,DuPage,Illinois
Community Unit School District,Chicago Heights,Cook,Illinois
Community Unit School District,Elgin,Kane,Illinois
Community Unit School District,Astoria,Fulton,Illinois
Consolidated High School District,Orland Park,Cook,Illinois
Cook County School District,Markham,Cook,Illinois
Cornell Community Consolidated School District,Cornell,Livingston,Illinois
Coulterville Unit School District,Coulterville,Randolph,Illinois
Country Club Hills School District,Country Club Hills,Cook,Illinois
Cowden-Herrick Community Unit School District,Cowden,Shelby,Illinois
Crab Orchard Community Unit School District,Marion,Williamson,Illinois
Crescent Iroquois Community Unit School District,Crescent City,Iroquois,Illinois
Creston Community Consolidated School District,Creston,Ogle,Illinois
Crete-Monee Community Unit School District,Crete,Will,Illinois
Creve Coeur School District,Creve Coeur,Tazewell,Illinois
Crystal Lake Community Consolidated School District,Crystal Lake,McHenry,Illinois
Cumberland Community Unit School District,Toledo,Cumberland,Illinois
Cypress School District,Cypress,Johnson,Illinois
Dakota Community Unit School District,Dakota,Stephenson,Illinois
Dallas Elementary School District,Dallas City,Hancock,Illinois
Dalzell School District,Dalzell,Bureau,Illinois
Damiansville School District,Damiansville,Clinton,Illinois
Danville Community Consolidated School District,Danville,Vermilion,Illinois
Darien School District,Darien,DuPage,Illinois
Decatur School District,Decatur,Macon,Illinois
Deer Creek-Mackinaw Community Unit School District,Mackinaw,Tazewell,Illinois
Deerfield School District,Deerfield,Lake,Illinois
Deer Park Community Consolidated School District,Deer Park,Lake,Illinois
DeKalb Community Unit School District,DeKalb,DeKalb,Illinois
DeLand-Weldon Community Unit School District,DeLand,Piatt,Illinois
Delavan Community Unit School District,Delavan,Tazewell,Illinois
DePue Community Unit School District,DePue,Bureau,Illinois
DeSoto Consolidated School District,DeSoto,Jackson,Illinois
Diamond Lake School District,Mundelein,Lake,Illinois
Dieterich Community Unit School District,Dieterich,Effingham,Illinois
Dimmick Community Consolidated School District,LaSalle,LaSalle,Illinois
Dixon Unit School District,Dixon,Lee,Illinois
Dolton School District,Dolton,Cook,Illinois
Dongola School Unit District,Dongola,Union,Illinois
Donovan Community Unit School District,Donovan,Iroquois,Illinois
Downers Grove Grade School District,Downers Grove,DuPage,Illinois
Dunlap Community Unit School District,Dunlap,Peoria,Illinois
DuPage County School District,Villa Park,DuPage,Illinois
DuPage High School District,Addison,DuPage,Illinois
Dupo Community Unit School District,Dupo,St. Clair,Illinois
Du Quoin Community Unit School District,Du Quoin,Perry,Illinois
Durand Community Unit School District,Durand,Winnebago,Illinois
Dwight Common School District,Dwight,Livingston,Illinois
Dwight Township High School District,Dwight,Livingston,Illinois
Earlville Community Unit School District,Earlville,LaSalle,Illinois
East Alton School District,East Alton,Madison,Illinois
East Alton-Wood River Community High School District,Wood River,Madison,Illinois
East Aurora School District,Aurora,Kane,Illinois
East Coloma-Nelson Community Elementary School District,Rock Falls,Whiteside,Illinois
East Dubuque Community Unit School District,East Dubuque,Jo Daviess,Illinois
Eastland Community Unit School District,Lanark,Carroll,Illinois
East Maine School District,Des Plaines,Cook,Illinois
East Moline School District,East Moline,Rock Island,Illinois
East Peoria Community High School District,East Peoria,Tazewell,Illinois
East Peoria School District,East Peoria,Tazewell,Illinois
East Prairie School District,Skokie,Cook,Illinois
East St. Louis School District,East St. Louis,St. Clair,Illinois
Edgar County Community Unit District,Paris,Edgar,Illinois
Edinburg Community Unit School District,Edinburg,Christian,Illinois
Edwards County Community Unit School District,Albion,Edwards,Illinois
Edwardsville Community Unit School District,Edwardsville,Madison,Illinois
Effingham Community Unit School District,Effingham,Effingham,Illinois
