School District,City,County,State
Adams Central Community Schools,Monroe,Adams,Indiana
Alexandria Community School Corporation,Alexandria,Madison,Indiana
Anderson Community School Corporation,Anderson,Madison,Indiana
Argos Community Schools,Argos,Marshall,Indiana
Attica Consolidated School Corporation,Attica,Fountain,Indiana
Avon Community School Corporation,Avon,Hendricks,Indiana
Barr-Reeve Community Schools,Montgomery,Daviess,Indiana
Bartholomew Consolidated School Corporation,Columbus,Bartholomew,Indiana
Batesville Community School Corporation,Batesville,Ripley/Franklin,Indiana
Baugo Community Schools,Elkhart,Elkhart,Indiana
Beech Grove City Schools,Beech Grove,Marion,Indiana
Benton Community School Corporation,Fowler,Benton,Indiana
Blackford County Schools,Hartford City,Blackford,Indiana
Bloomfield School District,Bloomfield,Greene,Indiana
Blue River Valley Schools,New Castle,Henry,Indiana
Bluffton-Harrison Metropolitan School District,Bluffton,Wells,Indiana
Borden-Henryville School Corporation,Borden,Clark,Indiana
Bremen Public Schools,Bremen,Marshall,Indiana
Brown County School Corporation,Nashville,Brown,Indiana
Brownsburg Community School Corporation,Brownsburg,Hendricks,Indiana
Brownstown Central Community School Corporation,Brownstown,Jackson,Indiana
Cannelton City Schools,Cannelton,Perry,Indiana
Carmel Clay Schools,Carmel,Hamilton,Indiana
Carroll Consolidated School Corporation,Flora,Carroll,Indiana
Caston School Corporation,Rochester,Fulton,Indiana
Center Grove Community School Corporation,Greenwood,Johnson,Indiana
Centerville-Abington Community Schools,Centerville,Wayne,Indiana
Central Noble Community School Corporation,Albion,Noble,Indiana
Charles A. Beard Memorial School Corporation,Knightstown,Henry,Indiana
Clark-Pleasant Community School Corporation,Whiteland,Johnson,Indiana
Clarksville Community School Corporation,Clarksville,Clark,Indiana
Clay Community Schools,Brazil,Clay,Indiana
Clinton Central School Corporation,Michigantown,Clinton,Indiana
Clinton Prairie School Corporation,Frankfort,Clinton,Indiana
Cloverdale Community Schools,Cloverdale,Putnam,Indiana
Community Schools of Frankfort,Frankfort,Clinton,Indiana
Concord Community Schools,Elkhart,Elkhart,Indiana
Covington Community School Corporation,Covington,Fountain,Indiana
Cowan Community School Corporation,Muncie,Delaware,Indiana
