School District,City,County,State
Adair-Casey Community School District,Adair,Guthrie,Iowa
Adel-DeSoto-Minburn Community School District,Adel,Dallas,Iowa
AGWSR Community School District,Ackley,Hardin,Iowa
AHSTW Community School District,Avoca,Pottawattamie,Iowa
Akron-Westfield Community School District,Akron,Plymouth,Iowa
Albert City-Truesdale Community School District,Albert City,Buena Vista,Iowa
Albia Community School District,Albia,Monroe,Iowa
Alburnett Community School District,Alburnett,Linn,Iowa
Alden Community School District,Alden,Hardin,Iowa
Algona Community School District,Algona,Kossuth,Iowa
Allamakee Community School District,Waukon,Allamakee,Iowa
Alta-Aurelia Community School District,Alta,Buena Vista,Iowa
Ames Community School District,Ames,Story,Iowa
Anamosa Community School District,Anamosa,Jones,Iowa
Andrew Community School District,Andrew,Jackson,Iowa
Ankeny Community School District,Ankeny,Polk,Iowa
Aplington-Parkersburg Community School District,Parkersburg,Butler,Iowa
Ar-We-Va Community School District,Westside,Crawford,Iowa
Atlantic Community School District,Atlantic,Cass,Iowa
Audubon Community School District,Audubon,Audubon,Iowa
Ballard Community School District,Huxley,Story,Iowa
Baxter Community School District,Baxter,Jasper,Iowa
BCLUW Community School District,Conrad,Grundy,Iowa
Bedford Community School District,Bedford,Taylor,Iowa
Belle Plaine Community School District,Belle Plaine,Benton,Iowa
Bellevue Community School District,Bellevue,Jackson,Iowa
Belmond-Klemme Community School District,Belmond,Wright,Iowa
Bennett Community School District,Bennett,Cedar,Iowa
Benton Community School District,Van Horne,Benton,Iowa
Bettendorf Community School District,Bettendorf,Scott,Iowa
Bondurant-Farrar Community School District,Bondurant,Polk,Iowa
Boone Community School District,Boone,Boone,Iowa
Boyden-Hull Community School District,Hull,Sioux,Iowa
Boyer Valley Community School District,Dunlap,Harrison,Iowa
Brooklyn-Guernsey-Malcom Community School District,Brooklyn,Poweshiek,Iowa
Burlington Community School District,Burlington,Des Moines,Iowa
Calamus-Wheatland Community School District,Wheatland,Clinton,Iowa
CAL Community School District,Latimer,Franklin,Iowa
CAM Community School District,Anita,Cass,Iowa
Camanche Community School District,Camanche,Clinton,Iowa
Cardinal Community School District,Eldon,Wapello,Iowa
Carlisle Community School District,Carlisle,Warren,Iowa
Carroll Community School District,Carroll,Carroll,Iowa
Cedar Falls Community School District,Cedar Falls,Black Hawk,Iowa
Cedar Rapids Community School District,Cedar Rapids,Linn,Iowa
Center Point-Urbana Community School District,Center Point,Linn,Iowa
Centerville Community School District,Centerville,Appanoose,Iowa
Central City Community School District,Central City,Linn,Iowa
Central Community School District,Elkader,Clayton,Iowa
Central Decatur Community School District,Leon,Decatur,Iowa
Central DeWitt Community School District,DeWitt,Clinton,Iowa
Central Lee Community School District,Donnellson,Lee,Iowa
Central Lyon Community School District,Rock Rapids,Lyon,Iowa
Central Springs Community School District,Manly,Worth,Iowa
Chariton Community School District,Chariton,Lucas,Iowa
Charles City Community School District,Charles City,Floyd,Iowa
Charter Oak-Ute Community School District,Charter Oak,Crawford,Iowa
Cherokee Community School District,Cherokee,Cherokee,Iowa
Clarinda Community School District,Clarinda,Page,Iowa
Clarion-Goldfield-Dows Community School District,Clarion,Wright,Iowa
Clarke Community School District,Osceola,Clarke,Iowa
Clarksville Community School District,Clarksville,Butler,Iowa
Clay Central-Everly Community School District,Royal,Clay,Iowa
Clayton Ridge Community School District,Guttenberg,Clayton,Iowa
Clear Creek-Amana Community School District,Oxford,Johnson,Iowa
Clear Lake Community School District,Clear Lake,Cerro Gordo,Iowa
Clinton Community School District,Clinton,Clinton,Iowa
Colfax-Mingo Community School District,Colfax,Jasper,Iowa
College Community School District,Cedar Rapids,Linn,Iowa
Collins-Maxwell Community School District,Maxwell,Story,Iowa
Colo-Nesco Community School District,Colo,Story,Iowa
Columbus Community School District,Columbus Junction,Louisa,Iowa
Coon Rapids-Bayard Community School District,Coon Rapids,Carroll,Iowa
Corning Community School District,Corning,Adams,Iowa
Council Bluffs Community School District,Council Bluffs,Pottawattamie,Iowa
Creston Community School District,Creston,Union,Iowa
Dallas Center-Grimes Community School District,Grimes,Dallas,Iowa
Danville Community School District,Danville,Des Moines,Iowa
Davenport Community Schools,Davenport,Scott,Iowa
Davis County Community School District,Bloomfield,Davis,Iowa
Decorah Community School District,Decorah,Winneshiek,Iowa
Delwood Community School District,Delmar,Clinton,Iowa
Denison Community School District,Denison,Crawford,Iowa
Denver Community School District,Denver,Bremer,Iowa
Des Moines Public Schools,Des Moines,Polk,Iowa
Diagonal Community School District,Diagonal,Ringgold,Iowa
Dike-New Hartford Community School District,Dike,Grundy,Iowa
Dubuque Community School District,Dubuque,Dubuque,Iowa
Dunkerton Community School District,Dunkerton,Black Hawk,Iowa
Durant Community School District,Durant,Cedar,Iowa
Eagle Grove Community School District,Eagle Grove,Wright,Iowa
Earlham Community School District,Earlham,Madison,Iowa
East Buchanan Community School District,Winthrop,Buchanan,Iowa
Eastern Allamakee Community School District,Lansing,Allamakee,Iowa
East Marshall Community School District,Gilman,Marshall,Iowa
East Mills Community School District,Malvern,Mills,Iowa
Easton Valley Community School District,Preston,Jackson,Iowa
East Sac County Community School District,Lake View,Sac,Iowa
East Union Community School District,Afton,Union,Iowa
Eddyville-Blakesburg-Fremont Community School District,Eddyville,Wapello,Iowa
Edgewood-Colesburg Community School District,Edgewood,Clayton,Iowa
Eldora-New Providence Community School District,Eldora,Hardin,Iowa
Emmetsburg Community School District,Emmetsburg,Palo Alto,Iowa
English Valleys Community School District,North English,Iowa,Iowa
Essex Community School District,Essex,Page,Iowa
Estherville Lincoln Central Community School District,Estherville,Emmet,Iowa
