School District,City,County,State
Adair County Schools,Columbia,Adair,Kentucky
Allen County Schools,Scottsville,Allen,Kentucky
Anchorage Independent Schools,Anchorage,Jefferson,Kentucky
Anderson County Schools,Lawrenceburg,Anderson,Kentucky
Ashland Independent School District,Ashland,Boyd,Kentucky
Augusta Independent Schools,Augusta,Bracken,Kentucky
Ballard County Schools,Barlow,Ballard,Kentucky
Barbourville Independent Schools,Barbourville,Knox,Kentucky
Bardstown City Schools,Bardstown,Nelson,Kentucky
Barren County Schools,Glasgow,Barren,Kentucky
Bath County Schools,Owingsville,Bath,Kentucky
Beechwood Independent School District,Fort Mitchell,Kenton,Kentucky
Bell County School District,Pineville,Bell,Kentucky
Bellevue Independent Schools,Bellevue,Campbell,Kentucky
Berea Independent Schools,Berea,Madison,Kentucky
Boone County Schools,Florence,Boone,Kentucky
Bourbon County Schools,Paris,Bourbon,Kentucky
Bowling Green Independent Schools,Bowling Green,Warren,Kentucky
Boyd County Schools,Ashland,Boyd,Kentucky
Boyle County School District,Danville,Boyle,Kentucky
Bracken County Schools,Brooksville,Bracken,Kentucky
Breathitt County Schools,Jackson,Breathitt,Kentucky
Breckinridge County Schools,Hardinsburg,Breckinridge,Kentucky
Bullitt County Public Schools,Shepherdsville,Bullitt,Kentucky
Burgin Independent Schools,Burgin,Mercer,Kentucky
Butler County Schools,Morgantown,Butler,Kentucky
Caldwell County Schools,Princeton,Caldwell,Kentucky
Calloway County Schools,Murray,Calloway,Kentucky
Campbell County Schools,Alexandria,Campbell,Kentucky
Campbellsville Independent Schools,Campbellsville,Taylor,Kentucky
Carlisle County Schools,Bardwell,Carlisle,Kentucky
Carroll County Schools,Carrollton,Carroll,Kentucky
Carter County Schools,Grayson,Carter,Kentucky
Casey County Schools,Liberty,Casey,Kentucky
Caverna Independent Schools,Cave City,Barren,Kentucky
Christian County Public Schools,Hopkinsville,Christian,Kentucky
Clark County Public Schools,Winchester,Clark,Kentucky
Clay County School District,Manchester,Clay,Kentucky
Clinton County Schools,Albany,Clinton,Kentucky
Cloverport Independent Schools,Cloverport,Breckinridge,Kentucky
Corbin Independent School District,Corbin,Whitley,Kentucky
Covington Independent Public Schools,Covington,Kenton,Kentucky
Crittenden County Schools,Marion,Crittenden,Kentucky
Cumberland County School District,Burkesville,Cumberland,Kentucky
Danville Independent Schools,Danville,Boyle,Kentucky
Daviess County Public Schools,Owensboro,Daviess,Kentucky
Dawson Springs Independent Schools,Dawson Springs,Hopkins,Kentucky
Dayton Independent Schools,Dayton,Campbell,Kentucky
East Bernstadt Independent School District,East Bernstadt,Laurel,Kentucky
Edmonson County Schools,Brownsville,Edmonson,Kentucky
Elizabethtown Independent Schools,Elizabethtown,Hardin,Kentucky
Elliott County Schools,Sandy Hook,Elliott,Kentucky
Eminence Independent Schools,Eminence,Henry,Kentucky
Erlanger-Elsmere Independent School District,Erlanger,Kenton,Kentucky
Estill County Schools,Irvine,Estill,Kentucky
Fairview Independent Schools,Ashland,Boyd,Kentucky
Fayette County Public Schools,Lexington,Fayette,Kentucky
Fleming County Schools,Flemingsburg,Fleming,Kentucky
Floyd County Schools,Eastern,Floyd,Kentucky
Fort Campbell Dependent Schools,Fort Campbell,Christian,Kentucky
Fort Knox Dependent Schools,Fort Knox,Hardin,Kentucky
Fort Thomas Independent Schools,Fort Thomas,Campbell,Kentucky
Frankfort Independent Schools,Frankfort,Franklin,Kentucky
Franklin County Schools,Frankfort,Franklin,Kentucky
Fulton County School District,Hickman,Fulton,Kentucky
Fulton Independent Schools,Fulton,Fulton,Kentucky
Gallatin County Schools,Warsaw,Gallatin,Kentucky
Garrard County Schools,Lancaster,Garrard,Kentucky
Glasgow Independent Schools,Glasgow,Barren,Kentucky
Grant County Schools,Williamstown,Grant,Kentucky
Graves County Schools,Mayfield,Graves,Kentucky
