School District,City,County,State
Acadia Parish Schools,Crowley,Acadia,Louisiana
Allen Parish School District,Oberlin,Allen,Louisiana
Ascension Parish Schools,Sorrento,Ascension,Louisiana
Assumption Parish School District,Napoleonville,Assumption,Louisiana
Avoyelles Parish School District,Marksville,Avoyelles,Louisiana
Beauregard Parish School District,DeRidder,Beauregard,Louisiana
Bienville Parish School District,Arcadia,Bienville,Louisiana
Bossier Parish Schools,Benton,Bossier,Louisiana
Caddo Parish Public Schools,Shreveport,Caddo,Louisiana
Calcasieu Parish Public Schools,Lake Charles,Calcasieu,Louisiana
Caldwell Parish School District,Columbia,Caldwell,Louisiana
Cameron Parish School District,Cameron,Cameron,Louisiana
Catahoula Parish School District,Harrisonburg,Catahoula,Louisiana
Central Community School System,Central,East Baton Rouge,Louisiana
City of Baker School District,Baker,East Baton Rouge,Louisiana
City of Bogalusa School District,Bogalusa,Washington,Louisiana
City of Monroe School District,Monroe,Ouachita,Louisiana
Claiborne Parish School District,Homer,Claiborne,Louisiana
Concordia Parish School District,Vidalia,Concordia,Louisiana
DeSoto Parish School District,Mansfield,DeSoto,Louisiana
East Baton Rouge Parish School System,Baton Rouge,East Baton Rouge,Louisiana
East Carroll Parish School District,Lake Providence,East Carroll,Louisiana
East Feliciana Parish School District,Clinton,East Feliciana,Louisiana
Evangeline Parish School District,Ville Platte,Evangeline,Louisiana
Franklin Parish School District,Winnsboro,Franklin,Louisiana
Grant Parish School District,Colfax,Grant,Louisiana
Iberia Parish School System,New Iberia,Iberia,Louisiana
Iberville Parish School District,Plaquemine,Iberville,Louisiana
Jackson Parish School District,Jonesboro,Jackson,Louisiana
Jefferson Davis Parish School District,Jennings,Jefferson Davis,Louisiana
Jefferson Parish Public School System,Harvey,Jefferson,Louisiana
Lafayette Parish School System,Lafayette,Lafayette,Louisiana
Lafourche Parish School District,Thibodaux,Lafourche,Louisiana
LaSalle Parish School District,Jena,LaSalle,Louisiana
Lincoln Parish School District,Ruston,Lincoln,Louisiana
Livingston Parish Public Schools,Livingston,Livingston,Louisiana
Madison Parish School District,Tallulah,Madison,Louisiana
Morehouse Parish School District,Bastrop,Morehouse,Louisiana
Natchitoches Parish School District,Natchitoches,Natchitoches,Louisiana
Orleans Parish School Board,New Orleans,Orleans,Louisiana
Ouachita Parish School System,Monroe,Ouachita,Louisiana
Plaquemines Parish School District,Belle Chasse,Plaquemines,Louisiana
Pointe Coupee Parish School District,New Roads,Pointe Coupee,Louisiana
Rapides Parish School System,Alexandria,Rapides,Louisiana
Red River Parish School District,Coushatta,Red River,Louisiana
Richland Parish School District,Rayville,Richland,Louisiana
Sabine Parish School District,Many,Sabine,Louisiana
St. Bernard Parish School District,Chalmette,St. Bernard,Louisiana
St. Charles Parish Public Schools,Luling,St. Charles,Louisiana
St. Helena Parish School District,Greensburg,St. Helena,Louisiana
St. James Parish School District,Convent,St. James,Louisiana
St. John the Baptist Parish School District,Laplace,St. John the Baptist,Louisiana
St. Landry Parish School Board,Opelousas,St. Landry,Louisiana
St. Martin Parish School District,St. Martinville,St. Martin,Louisiana
St. Mary Parish Schools,Centerville,St. Mary,Louisiana
St. Tammany Parish Public Schools,Covington,St. Tammany,Louisiana
Tangipahoa Parish School System,Amite,Tangipahoa,Louisiana
Tensas Parish School District,St. Joseph,Tensas,Louisiana
Terrebonne Parish School District,Houma,Terrebonne,Louisiana
Union Parish School District,Farmerville,Union,Louisiana
Vermilion Parish Schools,Abbeville,Vermilion,Louisiana
Vernon Parish School District,Leesville,Vernon,Louisiana
Washington Parish School District,Franklinton,Washington,Louisiana
Webster Parish School District,Minden,Webster,Louisiana
West Baton Rouge Parish School District,Port Allen,West Baton Rouge,Louisiana
West Carroll Parish School District,Oak Grove,West Carroll,Louisiana
West Feliciana Parish School District,St. Francisville,West Feliciana,Louisiana
Winn Parish School District,Winnfield,Winn,Louisiana
Zachary Community School District,Zachary,East Baton Rouge,Louisiana
