School District,City,County,State
Acton School Department,Acton,York,Maine
Airline Community School District,Aurora,Hancock,Maine
Alexander School Department,Alexander,Washington,Maine
Andover School Department,Andover,Oxford,Maine
Appleton School Department,Appleton,Knox,Maine
Aroostook Unorganized Territory School District,Houlton,Aroostook,Maine
Athens School Department,Athens,Somerset,Maine
Auburn School Department,Auburn,Androscoggin,Maine
Augusta School Department,Augusta,Kennebec,Maine
Baileyville School Department,Baileyville,Washington,Maine
Bangor School Department,Bangor,Penobscot,Maine
Bar Harbor School Department,Bar Harbor,Hancock,Maine
Beals School Department,Beals,Washington,Maine
Biddeford School Department,Biddeford,York,Maine
Blue Hill School Department,Blue Hill,Hancock,Maine
Boothbay-Boothbay Harbor Community School District,Boothbay Harbor,Lincoln,Maine
Brewer School Department,Brewer,Penobscot,Maine
Bristol School Department,Bristol,Lincoln,Maine
Brooklin School Department,Brooklin,Hancock,Maine
Brooksville School Department,Brooksville,Hancock,Maine
Brunswick School Department,Brunswick,Cumberland,Maine
Calais School Department,Calais,Washington,Maine
Camden Rockport Schools,Camden,Knox,Maine
Cape Elizabeth School Department,Cape Elizabeth,Cumberland,Maine
Castine School Department,Castine,Hancock,Maine
Caswell School Department,Caswell,Aroostook,Maine
Charlotte School Department,Charlotte,Washington,Maine
Chebeague Island School Department,Chebeague Island,Cumberland,Maine
Cherryfield School Department,Cherryfield,Washington,Maine
Cranberry Isles School Department,Cranberry Isles,Hancock,Maine
Cutler School Department,Cutler,Washington,Maine
Dayton School Department,Dayton,York,Maine
Dedham School Department,Dedham,Hancock,Maine
Deer Isle-Stonington Community School District,Deer Isle,Hancock,Maine
East Grand School,Danforth,Washington,Maine
East Machias School Department,East Machias,Washington,Maine
East Millinocket School Department,East Millinocket,Penobscot,Maine
East Range Community School District,Topsfield,Washington,Maine
Easton School Department,Easton,Aroostook,Maine
Eastport School Department,Eastport,Washington,Maine
Edgecomb School Department,Edgecomb,Lincoln,Maine
Ellsworth School Department,Ellsworth,Hancock,Maine
Eustis School Department,Eustis,Franklin,Maine
Falmouth School Department,Falmouth,Cumberland,Maine
Fayette School Department,Fayette,Kennebec,Maine
Five Town Community School District,Camden,Knox,Maine
Franklin Unorganized Territory School District,Farmington,Franklin,Maine
Frenchboro School Department,Frenchboro,Hancock,Maine
Georgetown School Department,Georgetown,Sagadahoc,Maine
Glenburn School Department,Glenburn,Penobscot,Maine
Gorham School Department,Gorham,Cumberland,Maine
Great Salt Bay Community School District,Damariscotta,Lincoln,Maine
Greenbush School Department,Greenbush,Penobscot,Maine
Greenville School Department,Greenville,Piscataquis,Maine
Hancock Public Schools,Hancock,Hancock,Maine
Hancock Unorganized Territory School District,Ellsworth,Hancock,Maine
Harmony School Department,Harmony,Somerset,Maine
Hermon School Department,Hermon,Penobscot,Maine
Hope School Department,Hope,Knox,Maine
Indian Island School District,Indian Island,Penobscot,Maine
Indian Township School District,Princeton,Washington,Maine
Isle au Haut School Department,Isle au Haut,Knox,Maine
Islesboro School Department,Islesboro,Waldo,Maine
Jefferson School Department,Jefferson,Lincoln,Maine
Jonesboro School Department,Jonesboro,Washington,Maine
Jonesport School Department,Jonesport,Washington,Maine
Kennebec Unorganized Territory School District,Augusta,Kennebec,Maine
Kittery School Department,Kittery,York,Maine
Knox Unorganized Territory School District,Rockland,Knox,Maine
Lamoine School Department,Lamoine,Hancock,Maine
Lewiston School Department,Lewiston,Androscoggin,Maine
Limestone School Department,Limestone,Aroostook,Maine
Lincolnville School Department,Lincolnville,Waldo,Maine
Lisbon School Department,Lisbon,Androscoggin,Maine
Long Island School Department,Long Island,Cumberland,Maine
Louds Island Unorganized Territory School District,Damariscotta,Lincoln,Maine
Machias School Department,Machias,Washington,Maine
Machiasport School Department,Machiasport,Washington,Maine
Madawaska School Department,Madawaska,Aroostook,Maine
Maine School Administrative District 1,Presque Isle,Aroostook,Maine
Maine School Administrative District 3,Thorndike,Waldo,Maine
Maine School Administrative District 4,Guilford,Piscataquis,Maine
Maine School Administrative District 6,Buxton,York,Maine
Maine School Administrative District 11,Gardiner,Kennebec,Maine
Maine School Administrative District 13,Dixfield,Oxford,Maine
Maine School Administrative District 15,Gray,Cumberland,Maine
Maine School Administrative District 17,Paris,Oxford,Maine
Maine School Administrative District 19,Newport,Penobscot,Maine
Maine School Administrative District 20,Fort Fairfield,Aroostook,Maine
Maine School Administrative District 24,Van Buren,Aroostook,Maine
Maine School Administrative District 27,Fort Kent,Aroostook,Maine
Maine School Administrative District 29,Houlton,Aroostook,Maine
Maine School Administrative District 30,Lee,Penobscot,Maine
Maine School Administrative District 31,Howland,Penobscot,Maine
Maine School Administrative District 32,Ashland,Aroostook,Maine
Maine School Administrative District 33,Frenchville,Aroostook,Maine
Maine School Administrative District 35,Eliot,York,Maine
Maine School Administrative District 37,Milbridge,Washington,Maine
Maine School Administrative District 40,Waldoboro,Lincoln,Maine
Maine School Administrative District 41,Milo,Piscataquis,Maine
Maine School Administrative District 42,Mars Hill,Aroostook,Maine
Maine School Administrative District 44,Bethel,Oxford,Maine
Maine School Administrative District 45,Washburn,Aroostook,Maine
Maine School Administrative District 46,Dexter,Penobscot,Maine
Maine School Administrative District 49,Fairfield,Somerset,Maine
Maine School Administrative District 51,Cumberland Center,Cumberland,Maine
Maine School Administrative District 52,Turner,Androscoggin,Maine
Maine School Administrative District 53,Pittsfield,Somerset,Maine
Maine School Administrative District 54,Skowhegan,Somerset,Maine
Maine School Administrative District 55,Cornish,York,Maine
Maine School Administrative District 57,Waterboro,York,Maine
Maine School Administrative District 58,Strong,Franklin,Maine
Maine School Administrative District 59,Madison,Somerset,Maine
Maine School Administrative District 60,North Berwick,York,Maine
Maine School Administrative District 61,Bridgton,Cumberland,Maine
Maine School Administrative District 63,Holden,Penobscot,Maine
