School District,City,County,State
Allegany County Public Schools,Cumberland,Allegany,Maryland
Anne Arundel County Public Schools,Annapolis,Anne Arundel,Maryland
Baltimore City Public School System,Baltimore,Baltimore City,Maryland
Baltimore County Public Schools,Towson,Baltimore,Maryland
Calvert County Public Schools,Prince Frederick,Calvert,Maryland
Caroline County Public Schools,Denton,Caroline,Maryland
Carroll County Public Schools,Westminster,Carroll,Maryland
Cecil County Public Schools,Elkton,Cecil,Maryland
Charles County Public Schools,La Plata,Charles,Maryland
Dorchester County Public Schools,Cambridge,Dorchester,Maryland
Frederick County Public Schools,Frederick,Frederick,Maryland
Garrett County Public Schools,Oakland,Garrett,Maryland
Harford County Public Schools,Bel Air,Harford,Maryland
Howard County Public Schools,Ellicott City,Howard,Maryland
Kent County Public Schools,Rock Hall,Kent,Maryland
Montgomery County Public Schools,Rockville,Montgomery,Maryland
Prince George's County Public Schools,Upper Marlboro,Prince George's,Maryland
Queen Anne's County Public Schools,Centreville,Queen Anne's,Maryland
Somerset County Public Schools,Westover,Somerset,Maryland
St. Mary's County Public Schools,Leonardtown,St. Mary's,Maryland
Talbot County Public Schools,Easton,Talbot,Maryland
Washington County Public Schools,Hagerstown,Washington,Maryland
Wicomico County Public Schools,Salisbury,Wicomico,Maryland
Worcester County Public Schools,Newark,Worcester,Maryland
