School District,City,County,State
Adams Township School District,Painesdale,Houghton,Michigan
Addison Community Schools,Addison,Lenawee,Michigan
Adrian Public Schools,Adrian,Lenawee,Michigan
Airport Community School District,Carleton,Monroe,Michigan
Akron-Fairgrove Schools,Fairgrove,Tuscola,Michigan
Alanson Public Schools,Alanson,Emmet,Michigan
Alba Public Schools,Alba,Antrim,Michigan
Alcona Community Schools,Harrisville,Alcona,Michigan
Algonac Community School District,Clay Township,St. Clair,Michigan
Allegan Public Schools,Allegan,Allegan,Michigan
Allendale Public School District,Allendale Charter Township,Ottawa,Michigan
Allen Park Public Schools,Allen Park,Wayne,Michigan
Alma Public Schools,Alma,Gratiot,Michigan
Almont Community Schools,Almont,Lapeer,Michigan
Alpena Public Schools,Alpena,Alpena,Michigan
Anchor Bay School District,Casco,St. Clair,Michigan
Ann Arbor Public Schools,Ann Arbor,Washtenaw,Michigan
Armada Area Schools,Armada,Macomb,Michigan
Arvon Township School District,Skanee,Baraga,Michigan
Ashley Community Schools,Ashley,Gratiot,Michigan
Athens Area Schools,East Leroy,Calhoun,Michigan
Atherton Community Schools,Burton,Genesee,Michigan
Atlanta Community Schools,Atlanta,Montmorency,Michigan
Au Gres-Sims School District,Au Gres,Arenac,Michigan
Autrain-Onota Public Schools,Deerton,Alger,Michigan
Avondale School District,Auburn Hills,Oakland,Michigan
Bad Axe Public Schools,Bad Axe,Huron,Michigan
Baldwin Community Schools,Baldwin,Lake,Michigan
Bangor Public Schools,Bangor,Van Buren,Michigan
Bangor Township School District 8,Bangor,Van Buren,Michigan
Bangor Township Schools,Bay City,Bay,Michigan
Baraga Area Schools,Baraga,Baraga,Michigan
Bark River-Harris School District,Harris,Menominee,Michigan
Bath Community Schools,Bath Township,Clinton,Michigan
Battle Creek Public Schools,Battle Creek,Calhoun,Michigan
Bay City School District,Bay City,Bay,Michigan
Beal City Public Schools,Mount Pleasant,Isabella,Michigan
Bear Lake School District,Bear Lake,Manistee,Michigan
Beaver Island Community School,Beaver Island,Charlevoix,Michigan
Beaverton Rural Schools,Beaverton,Gladwin,Michigan
Bedford Public Schools,Temperance,Monroe,Michigan
Beecher Community School District,Flint,Genesee,Michigan
Belding Area School District,Belding,Ionia,Michigan
Bellaire Public Schools,Bellaire,Antrim,Michigan
Bellevue Community Schools,Bellevue,Eaton,Michigan
Bendle Public Schools,Burton,Genesee,Michigan
Bentley Community School District,Burton,Genesee,Michigan
Benton Harbor Area Schools,Benton Harbor,Berrien,Michigan
Benzie County Central Schools,Benzonia,Benzie,Michigan
Berkley School District,Oak Park,Oakland,Michigan
Berlin Township School District 3,Ionia,Ionia,Michigan
