School District,City,County,State
A.C.G.C. School District,Grove City,Meeker,Minnesota
Ada-Borup-West Public Schools,Ada,Norman,Minnesota
Adrian Public School District,Adrian,Nobles,Minnesota
Aitkin Public School District,Aitkin,Aitkin,Minnesota
Albany Public School District,Albany,Stearns,Minnesota
Albert Lea Public School District,Albert Lea,Freeborn,Minnesota
Alden-Conger Public School District,Alden,Freeborn,Minnesota
Alexandria Public School District,Alexandria,Douglas,Minnesota
Annandale Public School District,Annandale,Wright,Minnesota
Anoka-Hennepin Public School District,Anoka,Anoka,Minnesota
Ashby Public School District,Ashby,Grant,Minnesota
Austin Public School District,Austin,Mower,Minnesota
Badger Public School District,Badger,Roseau,Minnesota
Bagley Public School District,Bagley,Clearwater,Minnesota
Barnesville Public School District,Barnesville,Clay,Minnesota
Barnum Public School District,Barnum,Carlton,Minnesota
Battle Lake Public School District,Battle Lake,Otter Tail,Minnesota
Becker Public School District,Becker,Sherburne,Minnesota
Belgrade-Brooten-Elrosa School District,Belgrade,Stearns,Minnesota
Belle Plaine Public School District,Belle Plaine,Scott,Minnesota
Bemidji Public School District,Bemidji,Beltrami,Minnesota
Benson Public School District,Benson,Swift,Minnesota
Bertha-Hewitt Public School District,Bertha,Todd,Minnesota
Big Lake Schools,Big Lake,Sherburne,Minnesota
Bird Island-Olivia-Lake Lillian School District,Olivia,Renville,Minnesota
Blackduck Public School District,Blackduck,Beltrami,Minnesota
Blooming Prairie Public School District,Blooming Prairie,Steele,Minnesota
Bloomington Public School District,Bloomington,Hennepin,Minnesota
Blue Earth Area Public School District,Blue Earth,Faribault,Minnesota
Braham Public School District,Braham,Isanti,Minnesota
Brainerd Public School District,Brainerd,Crow Wing,Minnesota
Brandon-Evansville Public Schools,Brandon,Douglas,Minnesota
Breckenridge Public School District,Breckenridge,Wilkin,Minnesota
Brooklyn Center School District,Brooklyn Center,Hennepin,Minnesota
Browerville Public School District,Browerville,Todd,Minnesota
Browns Valley Public School District,Browns Valley,Traverse,Minnesota
Buffalo-Hanover-Montrose Schools,Buffalo,Wright,Minnesota
Buffalo Lake-Hector-Stewart Schools,Hector,Renville,Minnesota
Burnsville-Eagan-Savage School District,Burnsville,Dakota,Minnesota
Butterfield Public School District,Butterfield,Watonwan,Minnesota
Byron Public School District,Byron,Olmsted,Minnesota
Caledonia Public School District,Caledonia,Houston,Minnesota
Cambridge-Isanti Public School District,Cambridge,Isanti,Minnesota
Campbell-Tintah Public School District,Campbell,Wilkin,Minnesota
Canby Public School District,Canby,Yellow Medicine,Minnesota
Cannon Falls Public School District,Cannon Falls,Goodhue,Minnesota
Carlton Public School District,Carlton,Carlton,Minnesota
Cass Lake-Bena Public Schools,Cass Lake,Cass,Minnesota
Cedar Mountain School District,Morgan,Redwood,Minnesota
Centennial Public School District,Circle Pines,Anoka,Minnesota
Central Public School District,Norwood Young America,Carver,Minnesota
Chatfield Public Schools,Chatfield,Olmsted,Minnesota
Chisago Lakes School District,Chisago City,Chisago,Minnesota
Chisholm Public School District,Chisholm,St. Louis,Minnesota
Chokio-Alberta Public School District,Chokio,Stevens,Minnesota
Clearbrook-Gonvick School District,Clearbrook,Clearwater,Minnesota
Cleveland Public School District,Cleveland,Le Sueur,Minnesota
Climax-Shelly Public Schools,Climax,Polk,Minnesota
Clinton-Graceville-Beardsley School District,Clinton,Big Stone,Minnesota
Cloquet Public School District,Cloquet,Carlton,Minnesota
Columbia Heights Public School District,Columbia Heights,Anoka,Minnesota
Comfrey Public School District,Comfrey,Brown,Minnesota
Cook County Public Schools,Grand Marais,Cook,Minnesota
Cromwell-Wright Public Schools,Cromwell,Carlton,Minnesota
Crookston Public School District,Crookston,Polk,Minnesota
Crosby-Ironton Public School District,Crosby,Crow Wing,Minnesota
Dassel-Cokato Public School District,Cokato,Wright,Minnesota
Dawson-Boyd Public School District,Dawson,Lac Qui Parle,Minnesota
Deer River Public School District,Deer River,Itasca,Minnesota
Delano Public School District,Delano,Wright,Minnesota
Detroit Lakes Public School District,Detroit Lakes,Becker,Minnesota
Dilworth-Glyndon-Felton School District,Dilworth,Clay,Minnesota
Dover-Eyota Public School District,Eyota,Olmsted,Minnesota
Duluth Public Schools,Duluth,St. Louis,Minnesota
East Central School District,Finlayson,Pine,Minnesota
East Grand Forks Public School District,East Grand Forks,Polk,Minnesota
Eastern Carver County Public Schools,Chaska,Carver,Minnesota
Eden Prairie Public Schools,Eden Prairie,Hennepin,Minnesota
Eden Valley-Watkins School District,Eden Valley,Meeker,Minnesota
Edgerton Public School District,Edgerton,Pipestone,Minnesota
Edina Public Schools,Edina,Hennepin,Minnesota
Elk River Area School District,Elk River,Sherburne,Minnesota
Ellsworth Public School District,Ellsworth,Nobles,Minnesota
Ely Public School District,Ely,St. Louis,Minnesota
Esko Public School District,Esko,Carlton,Minnesota
Fairmont Area School District,Fairmont,Martin,Minnesota
Faribault School District,Faribault,Rice,Minnesota
Farmington School District,Farmington,Dakota,Minnesota
Fergus Falls School District,Fergus Falls,Otter Tail,Minnesota
Fertile-Beltrami School District,Fertile,Polk,Minnesota
Fillmore Central School District,Harmony,Fillmore,Minnesota
Fisher School District,Fisher,Polk,Minnesota
Floodwood School District,Floodwood,St. Louis,Minnesota
Foley School District,Foley,Benton,Minnesota
Forest Lake School District,Forest Lake,Washington,Minnesota
Fosston School District,Fosston,Polk,Minnesota
Frazee-Vergas School District,Frazee,Becker,Minnesota
Fridley School District,Fridley,Anoka,Minnesota
Fulda School District,Fulda,Murray,Minnesota
GFW Public Schools,Winthrop,Sibley,Minnesota
Glencoe-Silver Lake School District,Glencoe,McLeod,Minnesota
Glenville-Emmons School District,Glenville,Freeborn,Minnesota
Goodhue School District,Goodhue,Goodhue,Minnesota
Goodridge School District,Goodridge,Pennington,Minnesota
Granada Huntley East Chain School District,Granada,Martin,Minnesota
Grand Meadow School District,Grand Meadow,Mower,Minnesota
Grand Rapids School District,Grand Rapids,Itasca,Minnesota
Greenbush-Middle River School District,Greenbush,Roseau,Minnesota
Greenway School District,Coleraine,Itasca,Minnesota
Grygla School District,Grygla,Marshall,Minnesota
Hancock School District,Hancock,Stevens,Minnesota
Hastings School District,Hastings,Dakota,Minnesota
Hawley School District,Hawley,Clay,Minnesota
Hayfield School District,Hayfield,Dodge,Minnesota
Hendricks School District,Hendricks,Lincoln,Minnesota
Henning School District,Henning,Otter Tail,Minnesota
Herman-Norcross School District,Herman,Grant,Minnesota
Hermantown School District,Hermantown,St. Louis,Minnesota
Heron Lake-Okabena School District,Heron Lake,Jackson,Minnesota
Hibbing School District,Hibbing,St. Louis,Minnesota
Hill City School District,Hill City,Aitkin,Minnesota
Hills-Beaver Creek School District,Hills,Rock,Minnesota
Hinckley-Finlayson School District,Hinckley,Pine,Minnesota
Holdingford School District,Holdingford,Stearns,Minnesota
Hopkins Public Schools,Hopkins,Hennepin,Minnesota
Houston Public Schools,Houston,Houston,Minnesota
Howard Lake-Waverly-Winsted School District,Howard Lake,Wright,Minnesota
Hutchinson School District,Hutchinson,McLeod,Minnesota
International Falls School District,International Falls,Koochiching,Minnesota
Inver Grove Heights School District,Inver Grove Heights,Dakota,Minnesota
Isle School District,Isle,Mille Lacs,Minnesota
Ivanhoe School District,Ivanhoe,Lincoln,Minnesota
Jackson County Central School District,Jackson,Jackson,Minnesota
Janesville-Waldorf-Pemberton School District,Janesville,Waseca,Minnesota
Jordan School District,Jordan,Scott,Minnesota
Kasson-Mantorville School District,Kasson,Dodge,Minnesota
Kelliher School District,Kelliher,Beltrami,Minnesota
Kenyon-Wanamingo School District,Kenyon,Goodhue,Minnesota
Kerkhoven-Murdock-Sunburg School District,Kerkhoven,Swift,Minnesota
Kimball School District,Kimball,Stearns,Minnesota
Kingsland School District,Spring Valley,Fillmore,Minnesota
Kittson Central School District,Hallock,Kittson,Minnesota
Lac Qui Parle Valley School District,Madison,Lac Qui Parle,Minnesota
La Crescent-Hokah School District,La Crescent,Houston,Minnesota
Lake Benton School District,Lake Benton,Lincoln,Minnesota
Lake City School District,Lake City,Wabasha,Minnesota
Lake Crystal-Welcome Memorial School District,Lake Crystal,Blue Earth,Minnesota
Lake of the Woods School District,Baudette,Lake of the Woods,Minnesota
Lake Park-Audubon School District,Lake Park,Becker,Minnesota
Lake Superior School District,Two Harbors,Lake,Minnesota
Lakeview School District,Cottonwood,Lyon,Minnesota
Lakeville Area Public Schools,Lakeville,Dakota,Minnesota
Lancaster School District,Lancaster,Kittson,Minnesota
Lanesboro School District,Lanesboro,Fillmore,Minnesota
Laporte School District,Laporte,Hubbard,Minnesota
LeRoy-Ostrander School District,LeRoy,Mower,Minnesota
Lester Prairie School District,Lester Prairie,McLeod,Minnesota
Le Sueur-Henderson School District,Le Sueur,Le Sueur,Minnesota
Lewiston-Altura School District,Lewiston,Winona,Minnesota
Litchfield School District,Litchfield,Meeker,Minnesota
Little Falls School District,Little Falls,Morrison,Minnesota
Littlefork-Big Falls School District,Littlefork,Koochiching,Minnesota
Long Prairie-Grey Eagle School District,Long Prairie,Todd,Minnesota
Luverne School District,Luverne,Rock,Minnesota
Lyle School District,Lyle,Mower,Minnesota
Lynd School District,Lynd,Lyon,Minnesota
Mabel-Canton School District,Mabel,Fillmore,Minnesota
MACCRAY School District,Clara City,Kandiyohi,Minnesota
Madelia School District,Madelia,Watonwan,Minnesota
Mahnomen School District,Mahnomen,Mahnomen,Minnesota
Mahtomedi School District,Mahtomedi,Washington,Minnesota
Mankato School District,Mankato,Blue Earth,Minnesota
Maple Lake School District,Maple Lake,Wright,Minnesota
Maple River School District,Mapleton,Blue Earth,Minnesota
Marshall County Central School District,Newfolden,Marshall,Minnesota
Marshall School District,Marshall,Lyon,Minnesota
Martin County West School District,Sherburn,Martin,Minnesota
McGregor School District,McGregor,Aitkin,Minnesota
Medford School District,Medford,Steele,Minnesota
Melrose School District,Melrose,Stearns,Minnesota
Menahga School District,Menahga,Wadena,Minnesota
Mesabi East School District,Aurora,St. Louis,Minnesota
Milaca School District,Milaca,Mille Lacs,Minnesota
Milroy School District,Milroy,Redwood,Minnesota
Minneapolis Public Schools,Minneapolis,Hennepin,Minnesota
Minneota School District,Minneota,Lyon,Minnesota
Minnetonka School District,Minnetonka,Hennepin,Minnesota
Minnewaska School District,Glenwood,Pope,Minnesota
Montevideo School District,Montevideo,Chippewa,Minnesota
Monticello School District,Monticello,Wright,Minnesota
Moorhead School District,Moorhead,Clay,Minnesota
Moose Lake School District,Moose Lake,Carlton,Minnesota
Mora School District,Mora,Kanabec,Minnesota
Morris School District,Morris,Stevens,Minnesota
Mounds View Public Schools,Arden Hills,Ramsey,Minnesota
Mountain Iron-Buhl School District,Mountain Iron,St. Louis,Minnesota
Mountain Lake School District,Mountain Lake,Cottonwood,Minnesota
Murray County Central School District,Slayton,Murray,Minnesota
Nashwauk-Keewatin School District,Nashwauk,Itasca,Minnesota
Nett Lake School District,Nett Lake,St. Louis,Minnesota
Nevis School District,Nevis,Hubbard,Minnesota
New London-Spicer School District,New London,Kandiyohi,Minnesota
New Prague Area School District,New Prague,Scott,Minnesota
New Richland-Hartland-Ellendale-Geneva Public Schools,New Richland,Waseca,Minnesota
New Ulm School District,New Ulm,Brown,Minnesota
New York Mills School District,New York Mills,Otter Tail,Minnesota
Nicollet School District,Nicollet,Nicollet,Minnesota
Norman County East School District,Twin Valley,Norman,Minnesota
North Branch School District,North Branch,Chisago,Minnesota
Northfield School District,Northfield,Rice,Minnesota
Northland Community School District,Remer,Cass,Minnesota
North St. Paul-Maplewood-Oakdale School District,Oakdale,Washington,Minnesota
Ogilvie School District,Ogilvie,Kanabec,Minnesota
Onamia School District,Onamia,Mille Lacs,Minnesota
Orono School District,Long Lake,Hennepin,Minnesota
Ortonville School District,Ortonville,Big Stone,Minnesota
Osakis School District,Osakis,Douglas,Minnesota
Osseo Area Schools,Osseo,Hennepin,Minnesota
Owatonna School District,Owatonna,Steele,Minnesota
Parkers Prairie School District,Parkers Prairie,Otter Tail,Minnesota
Park Rapids School District,Park Rapids,Hubbard,Minnesota
Paynesville School District,Paynesville,Stearns,Minnesota
Pelican Rapids School District,Pelican Rapids,Otter Tail,Minnesota
Pequot Lakes School District,Pequot Lakes,Crow Wing,Minnesota
Perham-Dent School District,Perham,Otter Tail,Minnesota
Pierz School District,Pierz,Morrison,Minnesota
Pillager School District,Pillager,Cass,Minnesota
Pine City School District,Pine City,Pine,Minnesota
Pine Island School District,Pine Island,Goodhue,Minnesota
Pine River-Backus School District,Pine River,Cass,Minnesota
Pipestone Area School District,Pipestone,Pipestone,Minnesota
Plainview-Elgin-Millville School District,Plainview,Wabasha,Minnesota
Princeton School District,Princeton,Mille Lacs,Minnesota
Prior Lake-Savage School District,Prior Lake,Scott,Minnesota
Proctor School District,Proctor,St. Louis,Minnesota
Randolph School District,Randolph,Dakota,Minnesota
Red Lake County Central Public Schools,Oklee,Red Lake,Minnesota
Red Lake Falls School District,Red Lake Falls,Red Lake,Minnesota
Red Lake School District,Red Lake,Beltrami,Minnesota
Red Rock Central School District,Lamberton,Redwood,Minnesota
Red Wing Public Schools,Red Wing,Goodhue,Minnesota
Redwood Area School District,Redwood Falls,Redwood,Minnesota
Renville County West School District,Renville,Renville,Minnesota
Richfield Public Schools,Richfield,Hennepin,Minnesota
Robbinsdale Area Schools,Robbinsdale,Hennepin,Minnesota
Rochester Public Schools,Rochester,Olmsted,Minnesota
Rockford School District,Rockford,Hennepin,Minnesota
Rock Ridge Public Schools,Virginia,St. Louis,Minnesota
ROCORI School District,Cold Spring,Stearns,Minnesota
Roseau School District,Roseau,Roseau,Minnesota
Rosemount-Apple Valley-Eagan Public Schools,Rosemount,Dakota,Minnesota
Roseville Area Schools,Roseville,Ramsey,Minnesota
Rothsay School District,Rothsay,Wilkin,Minnesota
Round Lake School District,Round Lake,Nobles,Minnesota
Royalton School District,Royalton,Morrison,Minnesota
Rush City School District,Rush City,Chisago,Minnesota
Rushford-Peterson School District,Rushford,Fillmore,Minnesota
Russell Tyler Ruthton Public School District,Tyler,Lincoln,Minnesota
Saint Paul Public Schools,Saint Paul,Ramsey,Minnesota
Sartell-St. Stephen School District,Sartell,Stearns,Minnesota
Sauk Centre School District,Sauk Centre,Stearns,Minnesota
Sauk Rapids-Rice Public Schools,Sauk Rapids,Benton,Minnesota
Sebeka School District,Sebeka,Wadena,Minnesota
Shakopee Public Schools,Shakopee,Scott,Minnesota
Sibley East Public Schools,Arlington,Sibley,Minnesota
Sleepy Eye School District,Sleepy Eye,Brown,Minnesota
South Koochiching School District,Big Falls,Koochiching,Minnesota
Southland School District,Adams,Mower,Minnesota
South St. Paul School District,South St. Paul,Dakota,Minnesota
South Washington County Schools,Cottage Grove,Washington,Minnesota
Springfield School District,Springfield,Brown,Minnesota
Spring Grove School District,Spring Grove,Houston,Minnesota
Spring Lake Park School District,Spring Lake Park,Anoka,Minnesota
St. Anthony-New Brighton School District,St. Anthony,Hennepin,Minnesota
Staples-Motley School District,Staples,Todd,Minnesota
St. Charles School District,St. Charles,Winona,Minnesota
St. Clair School District,St. Clair,Blue Earth,Minnesota
St. Cloud Area School District,Waite Park,Stearns,Minnesota
Stephen-Argyle Central School District,Stephen,Marshall,Minnesota
Stewartville School District,Stewartville,Olmsted,Minnesota
St. Francis School District,St. Francis,Anoka,Minnesota
Stillwater Area School District,Stillwater,Washington,Minnesota
St. James School District,St. James,Watonwan,Minnesota
St. Louis County School District,Virginia,St. Louis,Minnesota
St. Louis Park School District,St. Louis Park,Hennepin,Minnesota
St. Michael-Albertville School District,Albertville,Wright,Minnesota
St. Peter School District,St. Peter,Nicollet,Minnesota
Swanville School District,Swanville,Morrison,Minnesota
Thief River Falls School District,Thief River Falls,Pennington,Minnesota
Tracy Area School District,Tracy,Lyon,Minnesota
Tri-City United School District,Montgomery,Le Sueur,Minnesota
Tri-County School District,Karlstad,Kittson,Minnesota
Triton School District,Dodge Center,Dodge,Minnesota
Truman School District,Truman,Martin,Minnesota
Ulen-Hitterdal School District,Ulen,Clay,Minnesota
Underwood School District,Underwood,Otter Tail,Minnesota
United South Central School District,Wells,Faribault,Minnesota
Upsala School District,Upsala,Morrison,Minnesota
Verndale School District,Verndale,Wadena,Minnesota
Wabasha-Kellogg School District,Wabasha,Wabasha,Minnesota
Wabasso School District,Wabasso,Redwood,Minnesota
Waconia School District,Waconia,Carver,Minnesota
Wadena-Deer Creek School District,Wadena,Wadena,Minnesota
Walker-Hackensack-Akeley School District,Walker,Cass,Minnesota
Warren-Alvarado-Oslo School District,Warren,Marshall,Minnesota
Warroad School District,Warroad,Roseau,Minnesota
Waseca School District,Waseca,Waseca,Minnesota
Watertown-Mayer School District,Watertown,Carver,Minnesota
Waterville-Elysian-Morristown School District,Waterville,Le Sueur,Minnesota
Waubun-Ogema-White Earth Public Schools,Waubun,Becker,Minnesota
Wayzata Public Schools,Plymouth,Hennepin,Minnesota
Westbrook-Walnut Grove School District,Westbrook,Cottonwood,Minnesota
West Central Area School District,Barrett,Grant,Minnesota
Westonka School District,Minnetrista,Hennepin,Minnesota
West St. Paul-Mendota Heights-Eagan School District,West St. Paul,Dakota,Minnesota
Wheaton Area School District,Wheaton,Traverse,Minnesota
White Bear Lake School District,White Bear Lake,Ramsey,Minnesota
Willmar School District,Willmar,Kandiyohi,Minnesota
Willow River School District,Willow River,Pine,Minnesota
Windom School District,Windom,Cottonwood,Minnesota
Win-E-Mac School District,Erskine,Polk,Minnesota
Winona Area School District,Winona,Winona,Minnesota
Worthington School District,Worthington,Nobles,Minnesota
Wrenshall School District,Wrenshall,Carlton,Minnesota
Yellow Medicine East School District,Granite Falls,Yellow Medicine,Minnesota
Zumbrota-Mazeppa School District,Zumbrota,Goodhue,Minnesota
