School District,City,County,State
Aberdeen School District,Aberdeen,Monroe,Mississippi 
Alcorn School District,Corinth,Alcorn,Mississippi 
Amite County School District,Liberty,Amite,Mississippi 
Amory School District,Amory,Monroe,Mississippi 
Attala County School District,Kosciusko,Attala,Mississippi 
Baldwyn School District,Baldwyn,Lee,Mississippi 
Bay St. Louis-Waveland School District,Bay St. Louis,Hancock,Mississippi 
Benton County School District,Ashland,Benton,Mississippi 
Biloxi Public School District,Biloxi,Harrison,Mississippi 
Booneville School District,Booneville,Prentiss,Mississippi 
Brookhaven School District,Brookhaven,Lincoln,Mississippi 
Calhoun County School District,Pittsboro,Calhoun,Mississippi 
Canton Public School District,Canton,Madison,Mississippi 
Carroll County School District,Carrollton,Carroll,Mississippi 
Chickasaw County School District,New Houlka,Chickasaw,Mississippi 
Choctaw County School District,Ackerman,Choctaw,Mississippi 
Claiborne County School District,Port Gibson,Claiborne,Mississippi 
Clarksdale Municipal School District,Clarksdale,Coahoma,Mississippi 
Cleveland School District,Cleveland,Bolivar,Mississippi 
Clinton Public School District,Clinton,Hinds,Mississippi 
Coahoma County School District,Clarksdale,Coahoma,Mississippi 
Coffeeville School District,Coffeeville,Yalobusha,Mississippi 
Columbia School District,Columbia,Marion,Mississippi 
Columbus Municipal School District,Columbus,Lowndes,Mississippi 
Copiah County School District,Hazlehurst,Copiah,Mississippi 
Corinth School District,Corinth,Alcorn,Mississippi 
Covington County School District,Collins,Covington,Mississippi 
DeSoto County School District,Hernando,DeSoto,Mississippi 
East Jasper School District,Heidelberg,Jasper,Mississippi 
East Tallahatchie School District,Charleston,Tallahatchie,Mississippi 
Enterprise School District,Enterprise,Clarke,Mississippi 
Forest Municipal School District,Forest,Scott,Mississippi 
Forrest County School District,Hattiesburg,Forrest,Mississippi 
Franklin County School District,Meadville,Franklin,Mississippi 
George County School District,Lucedale,George,Mississippi 
Greene County School District,Leakesville,Greene,Mississippi 
Greenville Public School District,Greenville,Washington,Mississippi 
Greenwood-Leflore Consolidated School District,Greenwood,Leflore,Mississippi 
Grenada School District,Grenada,Grenada,Mississippi 
Gulfport School District,Gulfport,Harrison,Mississippi 
Hancock County School District,Kiln,Hancock,Mississippi 
Harrison County School District,Gulfport,Harrison,Mississippi 
Hattiesburg Public School District,Hattiesburg,Forrest,Mississippi 
Hazlehurst City School District,Hazlehurst,Copiah,Mississippi 
Hinds County School District,Raymond,Hinds,Mississippi 
Hollandale School District,Hollandale,Washington,Mississippi 
Holly Springs School District,Holly Springs,Marshall,Mississippi 
Holmes County Consolidated School District,Lexington,Holmes,Mississippi 
Itawamba County School District,Fulton,Itawamba,Mississippi 
Jackson County School District,Vancleave,Jackson,Mississippi 
Jackson Public School District,Jackson,Hinds,Mississippi 
Jefferson County School District,Fayette,Jefferson,Mississippi 
Jefferson Davis County School District,Prentiss,Jefferson Davis,Mississippi 
Jones County School District,Ellisville,Jones,Mississippi 
Kemper County School District,De Kalb,Kemper,Mississippi 
Kosciusko School District,Kosciusko,Attala,Mississippi 
Lafayette County School District,Oxford,Lafayette,Mississippi 
Lamar County School District,Purvis,Lamar,Mississippi 
Lauderdale County School District,Meridian,Lauderdale,Mississippi 
Laurel School District,Laurel,Jones,Mississippi 
Lawrence County School District,Monticello,Lawrence,Mississippi 
Leake County School District,Carthage,Leake,Mississippi 
Lee County School District,Tupelo,Lee,Mississippi 
Leland School District,Leland,Washington,Mississippi 
Lincoln County School District,Brookhaven,Lincoln,Mississippi 
Long Beach School District,Long Beach,Harrison,Mississippi 
Louisville Municipal School District,Louisville,Winston,Mississippi 
Lowndes County School District,Columbus,Lowndes,Mississippi 
Madison County School District,Ridgeland,Madison,Mississippi 
Marion County School District,Columbia,Marion,Mississippi 
Marshall County School District,Holly Springs,Marshall,Mississippi 
McComb School District,McComb,Pike,Mississippi 
Meridian Public School District,Meridian,Lauderdale,Mississippi 
Monroe County School District,Amory,Monroe,Mississippi 
Moss Point School District,Moss Point,Jackson,Mississippi 
Natchez-Adams School District,Natchez,Adams,Mississippi 
Neshoba County School District,Philadelphia,Neshoba,Mississippi 
Nettleton School District,Nettleton,Lee,Mississippi 
New Albany School District,New Albany,Union,Mississippi 
Newton County School District,Decatur,Newton,Mississippi 
Newton Municipal School District,Newton,Newton,Mississippi 
North Bolivar School District,Mound Bayou,Bolivar,Mississippi 
North Panola School District,Sardis,Panola,Mississippi 
North Pike School District,Summit,Pike,Mississippi 
North Tippah School District,Falkner,Tippah,Mississippi 
Noxubee County School District,Macon,Noxubee,Mississippi 
Ocean Springs School District,Ocean Springs,Jackson,Mississippi 
Okolona Municipal Separate School District,Okolona,Chickasaw,Mississippi 
Oxford School District,Oxford,Lafayette,Mississippi 
Pascagoula-Gautier School District,Pascagoula,Jackson,Mississippi 
Pass Christian School District,Pass Christian,Harrison,Mississippi 
Pearl Public School District,Pearl,Rankin,Mississippi 
Pearl River County School District,Carriere,Pearl River,Mississippi 
Perry County School District,New Augusta,Perry,Mississippi 
Petal School District,Petal,Forrest,Mississippi 
Philadelphia Public School District,Philadelphia,Neshoba,Mississippi 
Picayune School District,Picayune,Pearl River,Mississippi 
Pontotoc City School District,Pontotoc,Pontotoc,Mississippi 
Pontotoc County School District,Pontotoc,Pontotoc,Mississippi 
Poplarville School District,Poplarville,Pearl River,Mississippi 
Prentiss County School District,Booneville,Prentiss,Mississippi 
Quitman County School District,Marks,Quitman,Mississippi 
Quitman School District,Quitman,Clarke,Mississippi 
Rankin County School District,Brandon,Rankin,Mississippi 
Richton School District,Richton,Perry,Mississippi 
Scott County School District,Forest,Scott,Mississippi 
Senatobia Municipal School District,Senatobia,Tate,Mississippi 
Simpson County School District,Mendenhall,Simpson,Mississippi 
Smith County School District,Raleigh,Smith,Mississippi 
South Delta School District,Rolling Fork,Sharkey,Mississippi 
South Panola School District,Batesville,Panola,Mississippi 
South Pike School District,Magnolia,Pike,Mississippi 
South Tippah School District,Ripley,Tippah,Mississippi 
Starkville-Oktibbeha School District,Starkville,Oktibbeha,Mississippi 
Stone County School District,Wiggins,Stone,Mississippi 
Sunflower County Consolidated School District,Indianola,Sunflower,Mississippi 
Tate County School District,Coldwater,Tate,Mississippi 
Tishomingo County School District,Iuka,Tishomingo,Mississippi 
Tunica County School District,Tunica,Tunica,Mississippi 
Tupelo Public School District,Tupelo,Lee,Mississippi 
Union County School District,New Albany,Union,Mississippi 
Union Public School District,Union,Newton,Mississippi 
Vicksburg-Warren School District,Vicksburg,Warren,Mississippi 
Walthall County School District,Tylertown,Walthall,Mississippi 
Water Valley School District,Water Valley,Yalobusha,Mississippi 
Wayne County School District,Waynesboro,Wayne,Mississippi 
Webster County School District,Walthall,Webster,Mississippi 
West Bolivar School District,Rosedale,Bolivar,Mississippi 
Western Line School District,Avon,Washington,Mississippi 
West Jasper School District,Bay Springs,Jasper,Mississippi 
West Point School District,West Point,Clay,Mississippi 
West Tallahatchie School District,Webb,Tallahatchie,Mississippi 
Wilkinson County School District,Woodville,Wilkinson,Mississippi 
Winona-Montgomery Consolidated School District,Winona,Montgomery,Mississippi 
Yazoo County School District,Yazoo City,Yazoo,Mississippi 
