School District,City,County,State
Adair County R-II School District,Brashear,Adair,Missouri
Adair County R-I School District,Novinger,Adair,Missouri
Adrian County R-III School District,Adrian,Bates,Missouri
Advance R-IV School District,Advance,Stoddard,Missouri
Affton School District,St. Louis,St. Louis,Missouri
Albany R-III School District,Albany,Gentry,Missouri
Altenburg 48 School District,Altenburg,Perry,Missouri
Alton R-IV School District,Alton,Oregon,Missouri
Appleton City R-II School District,Appleton City,St. Clair,Missouri
Arcadia Valley R-II School District,Ironton,Iron,Missouri
Archie R-V School District,Archie,Cass,Missouri
Ash Grove R-IV School District,Ash Grove,Greene,Missouri
Atlanta C-3 School District,Atlanta,Macon,Missouri
Aurora R-8 School District,Aurora,Lawrence,Missouri
Ava R-I School District,Ava,Douglas,Missouri
Avenue City R-IX School District,Cosby,Andrew,Missouri
Avilla R-XIII School District,Avilla,Jasper,Missouri
Bakersfield R-IV School District,Bakersfield,Ozark,Missouri
Ballard R-II School District,Butler,Bates,Missouri
Bayless School District,St. Louis,St. Louis,Missouri
Bell City R-II School District,Bell City,Stoddard,Missouri
Belleview R-III School District,Belleview,Iron,Missouri
Belton 124 School District,Belton,Cass,Missouri
Bernie School District,Bernie,Stoddard,Missouri
Bevier C-4 School District,Bevier,Macon,Missouri
Billings R-IV School District,Billings,Christian,Missouri
Bismarck R-V School District,Bismarck,St. Francois,Missouri
Blackwater R-II School District,Blackwater,Cooper,Missouri
Blair Oaks R-II School District,Jefferson City,Cole,Missouri
Bloomfield School District,Bloomfield,Stoddard,Missouri
Blue Eye School District,Blue Eye,Stone,Missouri
Blue Springs School District,Blue Springs,Jackson,Missouri
Bolivar R-I School District,Bolivar,Polk,Missouri
Boncl R-X School District,Louisiana,Pike,Missouri
Boonville School District,Boonville,Cooper,Missouri
Bosworth R-V School District,Bosworth,Carroll,Missouri
Bowling Green R-I School District,Bowling Green,Pike,Missouri
Bradleyville R-I School District,Bradleyville,Taney,Missouri
Branson R-IV School District,Branson,Taney,Missouri
Braymer C-4 School District,Braymer,Caldwell,Missouri
Breckenridge R-I School District,Breckenridge,Caldwell,Missouri
Brentwood School District,Brentwood,St. Louis,Missouri
Bronaugh R-VII School District,Bronaugh,Vernon,Missouri
Brookfield R-III School District,Brookfield,Linn,Missouri
Brunswick R-II School District,Brunswick,Chariton,Missouri
Buchanan County R-IV School District,DeKalb,Buchanan,Missouri
Bucklin R-II School District,Bucklin,Linn,Missouri
Bunceton R-IV School District,Bunceton,Cooper,Missouri
Bunker R-III School District,Bunker,Reynolds,Missouri
Butler R-V School District,Butler,Bates,Missouri
Cabool School District,Cabool,Texas,Missouri
Cainsville R-I School District,Cainsville,Harrison,Missouri
Calhoun R-VIII School District,Calhoun,Henry,Missouri
California R-1 School District,California,Moniteau,Missouri
Callao C-8 School District,Callao,Macon,Missouri
Camdenton R-III School District,Camdenton,Camden,Missouri
Cameron R-I School District,Cameron,Clinton,Missouri
Campbell R-II School District,Campbell,Dunklin,Missouri
Canton School District,Canton,Lewis,Missouri
Cape Girardeau 63 School District,Cape Girardeau,Cape Girardeau,Missouri
Carl Junction R-I School District,Carl Junction,Jasper,Missouri
Carrollton R-VII School District,Carrollton,Carroll,Missouri
Carthage R-IX School District,Carthage,Jasper,Missouri
Caruthersville School District,Caruthersville,Pemiscot,Missouri
Cassville R-IV School District,Cassville,Barry,Missouri
Center School District,Kansas City,Jackson,Missouri
Centerville R-I School District,Centerville,Reynolds,Missouri
Central R-III School District,Park Hills,St. Francois,Missouri
Centralia R-VI School District,Centralia,Boone,Missouri
Chadwick R-I School District,Chadwick,Christian,Missouri
Chaffee R-II School District,Chaffee,Scott,Missouri
Charleston R-I School District,Charleston,Mississippi,Missouri
Chilhowee R-IV School District,Chilhowee,Johnson,Missouri
Chillicothe R-II School District,Chillicothe,Livingston,Missouri
City of St. Charles School District,St. Charles,St. Charles,Missouri
Clark County R-I School District,Kahoka,Clark,Missouri
Clarksburg C-2 School District,Clarksburg,Moniteau,Missouri
Clarkton C-4 School District,Clarkton,Dunklin,Missouri
Clayton School District,Clayton,St. Louis,Missouri
Clearwater R-I School District,Piedmont,Wayne,Missouri
Clever R-V School District,Clever,Christian,Missouri
Climax Springs R-IV School District,Climax Springs,Camden,Missouri
Clinton County R-III School District,Plattsburg,Clinton,Missouri
Clinton School District,Clinton,Henry,Missouri
Cole Camp R-I School District,Cole Camp,Benton,Missouri
Cole County R-I School District,Russellville,Cole,Missouri
Cole County R-V School District,Eugene,Cole,Missouri
Columbia Public Schools,Columbia,Boone,Missouri
Community R-VI School District,Laddonia,Audrain,Missouri
Concordia School District,Concordia,Lafayette,Missouri
Cooper County C-4 School District,Bunceton,Cooper,Missouri
Cooter R-IV School District,Cooter,Pemiscot,Missouri
Couch R-I School District,Myrtle,Oregon,Missouri
Cowgill R-VI School District,Cowgill,Caldwell,Missouri
Craig R-III School District,Craig,Holt,Missouri
Crane R-III School District,Crane,Stone,Missouri
Crawford County R-2 School District,Cuba,Crawford,Missouri
Crawford County R-I School District,Bourbon,Crawford,Missouri
Crocker School District,Crocker,Pulaski,Missouri
Crystal City 47 School District,Crystal City,Jefferson,Missouri
Dadeville R-II School District,Dadeville,Dade,Missouri
Dallas County R-I School District,Buffalo,Dallas,Missouri
Davis R-XII School District,Clinton,Henry,Missouri
Delta C-7 School District,Deering,Pemiscot,Missouri
Delta R-V School District,Delta,Cape Girardeau,Missouri
Dent-Phelps R-III School District,Salem,Dent,Missouri
De Soto No. 73 Public School District,De Soto,Jefferson,Missouri
Dexter R-XI School District,Dexter,Stoddard,Missouri
Diamond R-IV School District,Diamond,Newton,Missouri
Dixon R-I School District,Dixon,Pulaski,Missouri
