School District,City,County,State
Carson City School District,Carson City,Carson City,Nevada
Churchill County School District,Fallon,Churchill,Nevada
Clark County School District,Las Vegas,Clark,Nevada
Douglas County School District,Minden,Douglas,Nevada
Elko County School District,Elko,Elko,Nevada
Esmeralda County School District,Goldfield,Esmeralda,Nevada
Eureka County School District,Eureka,Eureka,Nevada
Humboldt County School District,Winnemucca,Humboldt,Nevada
Lander County School District,Battle Mountain,Lander,Nevada
Lincoln County School District,Panaca,Lincoln,Nevada
Lyon County School District,Yerington,Lyon,Nevada
Mineral County School District,Hawthorne,Mineral,Nevada
Nye County School District,Pahrump,Nye,Nevada
Pershing County School District,Lovelock,Pershing,Nevada
Storey County School District,Virginia City,Storey,Nevada
Washoe County School District,Reno,Washoe,Nevada
White Pine County School District,Ely,White Pine,Nevada
