School District,City,County,State
Absecon Public School District,Absecon,Atlantic,New Jersey
Alexandria Township School District,Pittstown,Hunterdon,New Jersey
Allamuchy Township School District,Allamuchy Township,Warren,New Jersey
Allendale School District,Allendale,Bergen,New Jersey
Allenhurst Borough School District,Allenhurst,Monmouth,New Jersey
Alloway Township School District,Alloway Township,Salem,New Jersey
Alpha Borough School District,Alpha,Warren,New Jersey
Alpine Public School District,Alpine,Bergen,New Jersey
Andover Regional School District,Newton,Sussex,New Jersey
Asbury Park School District,Asbury Park,Monmouth,New Jersey
Atlantic City Public Schools,Atlantic City,Atlantic,New Jersey
Audubon Public School District,Audubon,Camden,New Jersey
Avalon School District,Avalon,Cape May,New Jersey
Avon School District,Avon-by-the-Sea,Monmouth,New Jersey
Barnegat Township School District,Barnegat Township,Ocean,New Jersey
Barrington School District,Barrington,Camden,New Jersey
Bay Head Borough School District,Bay Head,Ocean,New Jersey
Bayonne School District,Bayonne,Hudson,New Jersey
Beach Haven Borough School District,Beach Haven,Ocean,New Jersey
Bedminster Township School District,Bedminster,Somerset,New Jersey
Belleville Public Schools,Belleville,Essex,New Jersey
Bellmawr Public School District,Bellmawr,Camden,New Jersey
Belmar Borough School District,Belmar,Monmouth,New Jersey
Belvidere School District,Belvidere,Warren,New Jersey
Bergenfield Public School District,Bergenfield,Bergen,New Jersey
Berkeley Heights Public Schools,Berkeley Heights,Union,New Jersey
Berkeley Township School District,Berkeley Township,Ocean,New Jersey
Berlin Borough School District,Berlin,Camden,New Jersey
Berlin Township School District,Berlin Township,Camden,New Jersey
Bernards Township School District,Bernards,Somerset,New Jersey
Bethlehem Township School District,Franklin Township,Hunterdon,New Jersey
Beverly City School District,Beverly,Burlington,New Jersey
Black Horse Pike Regional School District,Gloucester Township,Camden,New Jersey
Blairstown Township School District,Blairstown,Warren,New Jersey
Bloomfield School District,Bloomfield,Essex,New Jersey
Bloomingdale School District,Bloomingdale,Passaic,New Jersey
Bloomsbury Borough School District,Bloomsbury,Hunterdon,New Jersey
