School District,City,County,State
Alamogordo Public Schools,Alamogordo,Otero,New Mexico
Albuquerque Public Schools,Albuquerque,Bernalillo,New Mexico
Animas Public Schools,Animas,Hidalgo,New Mexico
Artesia Public Schools,Artesia,Eddy,New Mexico
Aztec Municipal Schools,Aztec,San Juan,New Mexico
Belen Consolidated Schools,Belen,Valencia,New Mexico
Bernalillo Public Schools,Bernalillo,Sandoval,New Mexico
Bloomfield Municipal Schools,Bloomfield,San Juan,New Mexico
Capitan Municipal Schools,Capitan,Lincoln,New Mexico
Carlsbad Municipal Schools,Carlsbad,Eddy,New Mexico
Carrizozo Municipal Schools,Carrizozo,Lincoln,New Mexico
Central Consolidated Schools,Shiprock,San Juan,New Mexico
Chama Valley Independent Schools,Tierra Amarilla,Rio Arriba,New Mexico
Cimarron Municipal Schools,Cimarron,Colfax,New Mexico
Clayton Public Schools,Clayton,Union,New Mexico
Cloudcroft Municipal Schools,Cloudcroft,Otero,New Mexico
Clovis Municipal Schools,Clovis,Curry,New Mexico
Cobre Consolidated Schools,Bayard,Grant,New Mexico
Corona Municipal Schools,Corona,Lincoln,New Mexico
Cuba Independent Schools,Cuba,Sandoval,New Mexico
Deming Public Schools,Deming,Luna,New Mexico
Des Moines Municipal Schools,Des Moines,Union,New Mexico
Dexter Consolidated Schools,Dexter,Chaves,New Mexico
Dora Consolidated Schools,Dora,Roosevelt,New Mexico
Dulce Independent Schools,Dulce,Rio Arriba,New Mexico
Elida Municipal Schools,Elida,Roosevelt,New Mexico
Española Municipal Schools,Española,Rio Arriba,New Mexico
Estancia Municipal Schools,Estancia,Torrance,New Mexico
Eunice Municipal Schools,Eunice,Lea,New Mexico
Farmington Municipal Schools,Farmington,San Juan,New Mexico
Floyd Municipal Schools,Floyd,Roosevelt,New Mexico
Fort Sumner Municipal Schools,Fort Sumner,De Baca,New Mexico
Gadsden Independent Schools,Sunland Park,Doña Ana,New Mexico
Gallup-McKinley County Schools,Gallup,McKinley,New Mexico
Grady Municipal Schools,Grady,Curry,New Mexico
Grants-Cibola County Schools,Grants,Cibola,New Mexico
Hagerman Municipal Schools,Hagerman,Chaves,New Mexico
Hatch Valley Municipal Schools,Hatch,Doña Ana,New Mexico
Hobbs Municipal Schools,Hobbs,Lea,New Mexico
Hondo Valley Public Schools,Hondo,Lincoln,New Mexico
House Municipal Schools,House,Quay,New Mexico
Jal Public Schools,Jal,Lea,New Mexico
Jemez Mountain Public Schools,Gallina,Rio Arriba,New Mexico
Jemez Valley Public Schools,Jemez Springs,Sandoval,New Mexico
Lake Arthur Municipal Schools,Lake Arthur,Chaves,New Mexico
Las Cruces Public Schools,Las Cruces,Doña Ana,New Mexico
Las Vegas City Public Schools,Las Vegas,San Miguel,New Mexico
Logan Municipal Schools,Logan,Quay,New Mexico
Lordsburg Municipal Schools,Lordsburg,Hidalgo,New Mexico
Los Alamos Public Schools,Los Alamos,Los Alamos,New Mexico
Los Lunas Public Schools,Los Lunas,Valencia,New Mexico
Loving Municipal Schools,Loving,Eddy,New Mexico
Lovington Public Schools,Lovington,Lea,New Mexico
Magdalena Municipal Schools,Magdalena,Socorro,New Mexico
Maxwell Municipal Schools,Maxwell,Colfax,New Mexico
Melrose Public Schools,Melrose,Curry,New Mexico
Mesa Vista Consolidated Schools,Ojo Caliente,Rio Arriba,New Mexico
Mora Independent Schools,Mora,Mora,New Mexico
Moriarty-Edgewood School District,Moriarty,Torrance,New Mexico
Mosquero Municipal Schools,Mosquero,Harding,New Mexico
Mountainair Public Schools,Mountainair,Torrance,New Mexico
Pecos Independent Schools,Pecos,San Miguel,New Mexico
Peñasco Independent Schools,Peñasco,Taos,New Mexico
Pojoaque Valley Public Schools,Pojoaque,Santa Fe,New Mexico
Portales Municipal Schools,Portales,Roosevelt,New Mexico
Quemado Independent Schools,Quemado,Catron,New Mexico
Questa Independent Schools,Questa,Taos,New Mexico
Raton Public Schools,Raton,Colfax,New Mexico
Reserve Independent Schools,Reserve,Catron,New Mexico
Rio Rancho Public Schools,Rio Rancho,Sandoval,New Mexico
Roswell Independent Schools,Roswell,Chaves,New Mexico
Roy Municipal Schools,Roy,Harding,New Mexico
Ruidoso Municipal Schools,Ruidoso,Lincoln,New Mexico
San Jon Municipal Schools,San Jon,Quay,New Mexico
Santa Fe Public Schools,Santa Fe,Santa Fe,New Mexico
Santa Rosa Consolidated Schools,Santa Rosa,Guadalupe,New Mexico
Silver Consolidated Schools,Silver City,Grant,New Mexico
Socorro Consolidated Schools,Socorro,Socorro,New Mexico
Springer Municipal Schools,Springer,Colfax,New Mexico
Taos Municipal Schools,Taos,Taos,New Mexico
Tatum Municipal Schools,Tatum,Lea,New Mexico
Texico Municipal Schools,Texico,Curry,New Mexico
Truth or Consequences Municipal Schools,Truth or Consequences,Sierra,New Mexico
Tucumcari Public Schools,Tucumcari,Quay,New Mexico
Tularosa Municipal Schools,Tularosa,Otero,New Mexico
Vaughn Municipal Schools,Vaughn,Guadalupe,New Mexico
Wagon Mound Public Schools,Wagon Mound,Mora,New Mexico
West Las Vegas Public Schools,Las Vegas,San Miguel,New Mexico
Zuni Public Schools,Zuni,McKinley,New Mexico
