School District,City,County,State
Addison Central School District,Addison,Steuben,New York
Adirondack Central School District,Boonville,Oneida,New York
Afton Central School District,Afton,Chenango,New York
Akron Central School District,Akron,Erie,New York
Albany City School District,Albany,Albany,New York
Albion Central School District,Albion,Orleans,New York
Alden Central School District,Alden,Erie,New York
Alexander Central School District,Alexander,Genesee,New York
Alexandria Central School District,Alexandria Bay,Jefferson,New York
Alfred-Almond Central School District,Almond,Allegany,New York
Allegany-Limestone Central School District,Allegany,Cattaraugus,New York
Altmar-Parish-Williamstown Central School District,Altmar,Oswego,New York
Amagansett Union Free School District,Amagansett,Suffolk,New York
Amherst Central School District,Amherst,Erie,New York
Amityville Union Free School District,Amityville,Suffolk,New York
Amsterdam City School District,Amsterdam,Montgomery,New York
Andes Central School District,Andes,Delaware,New York
Andover Central School District,Andover,Allegany,New York
Ardsley Union Free School District,Ardsley,Westchester,New York
Argyle Central School District,Argyle,Washington,New York
Arkport Central School District,Arkport,Steuben,New York
Arlington Central School District,Arlington,Dutchess,New York
Attica Central School District,Attica,Wyoming,New York
Auburn Enlarged City School District,Auburn,Cayuga,New York
AuSable Valley Central School District,Clintonville,Clinton,New York
Averill Park Central School District,Averill Park,Rensselaer,New York
Avoca Central School District,Avoca,Steuben,New York
Avon Central School District,Avon,Livingston,New York
Babylon Union Free School District,Babylon,Suffolk,New York
Bainbridge-Guilford Central School District,Bainbridge,Chenango,New York
Baldwinsville Central School District,Baldwinsville,Onondaga,New York
Baldwin Union Free School District,Baldwin,Nassau,New York
Ballston Spa Central School District,Ballston Spa,Saratoga,New York
Barker Central School District,Barker,Niagara,New York
Batavia City School District,Batavia,Genesee,New York
Bath Central School District,Bath,Steuben,New York
Bayport-Blue Point Union Free School District,Bayport,Suffolk,New York
Bay Shore Union Free School District,Bay Shore,Suffolk,New York
Beacon City School District,Beacon,Dutchess,New York
Beaver River Central School District,Beaver Falls,Lewis,New York
Bedford Central School District,Mount Kisco,Westchester,New York
Beekmantown Central School District,West Chazy,Clinton,New York
Belfast Central School District,Belfast,Allegany,New York
Belleville Henderson Central School District,Belleville,Jefferson,New York
Bellmore-Merrick Central High School District,Bellmore,Nassau,New York
Bellmore Union Free School District,Bellmore,Nassau,New York
Bemus Point Central School District,Bemus Point,Chautauqua,New York
Berlin Central School District,Berlin,Rensselaer,New York
Berne-Knox-Westerlo Central School District,Berne,Albany,New York
Bethlehem Central School District,Delmar,Albany,New York
Bethpage Union Free School District,Bethpage,Nassau,New York
Binghamton City School District,Binghamton,Broome,New York
Blind Brook-Rye Union Free School District,Rye Brook,Westchester,New York
Bloomfield Central School District,Bloomfield,Ontario,New York
