School District,City,County,State
Alamance-Burlington School System,Burlington,Alamance,North Carolina
Alexander County Schools,Taylorsville,Alexander,North Carolina
Alleghany County Schools,Sparta,Alleghany,North Carolina
Anson County Schools,Wadesboro,Anson,North Carolina
Asheboro City Schools,Asheboro,Randolph,North Carolina
Ashe County Schools,Jefferson,Ashe,North Carolina
Asheville City Schools,Asheville,Buncombe,North Carolina
Avery County Schools,Newland,Avery,North Carolina
Beaufort County Schools,Washington,Beaufort,North Carolina
Bertie County Schools,Windsor,Bertie,North Carolina
Bladen County Schools,Elizabethtown,Bladen,North Carolina
Brunswick County Schools,Bolivia,Brunswick,North Carolina
Buncombe County Schools,Asheville,Buncombe,North Carolina
Burke County Public Schools,Morganton,Burke,North Carolina
Cabarrus County Schools,Concord,Cabarrus,North Carolina
Caldwell County Schools,Lenoir,Caldwell,North Carolina
Camden County Schools,Camden,Camden,North Carolina
Camp Lejeune Schools,Camp Lejeune,Onslow,North Carolina
Carteret County Public Schools,Beaufort,Carteret,North Carolina
Caswell County Schools,Yanceyville,Caswell,North Carolina
Catawba County Schools,Newton,Catawba,North Carolina
Chapel Hill-Carrboro City Schools,Chapel Hill,Orange,North Carolina
Charlotte-Mecklenburg Schools,Charlotte,Mecklenburg,North Carolina
Chatham County Schools,Pittsboro,Chatham,North Carolina
Cherokee Central Schools,Cherokee,Swain,North Carolina
Cherokee County Schools,Marble,Cherokee,North Carolina
Clay County Schools,Hayesville,Clay,North Carolina
Cleveland County Schools,Shelby,Cleveland,North Carolina
Clinton City Schools,Clinton,Sampson,North Carolina
Columbus County Schools,Whiteville,Columbus,North Carolina
Craven County Schools,New Bern,Craven,North Carolina
Cumberland County Schools,Fayetteville,Cumberland,North Carolina
Currituck County Schools,Currituck,Currituck,North Carolina
Dare County Schools,Nags Head,Dare,North Carolina
Davidson County Schools,Lexington,Davidson,North Carolina
Davie County Schools,Mocksville,Davie,North Carolina
Duplin County Schools,Kenansville,Duplin,North Carolina
Durham Public Schools,Durham,Durham,North Carolina
Edenton-Chowan Schools,Edenton,Chowan,North Carolina
Edgecombe County Schools,Tarboro,Edgecombe,North Carolina
Elizabeth City-Pasquotank Schools,Elizabeth City,Pasquotank,North Carolina
Elkin City Schools,Elkin,Surry,North Carolina
Fort Bragg Schools,Fort Liberty,Cumberland,North Carolina
Franklin County Schools,Louisburg,Franklin,North Carolina
Gaston County Schools,Gastonia,Gaston,North Carolina
Gates County Schools,Gatesville,Gates,North Carolina
Graham County Schools,Robbinsville,Graham,North Carolina
Granville County Schools,Oxford,Granville,North Carolina
Greene County Schools,Snow Hill,Greene,North Carolina
Guilford County Schools,Greensboro,Guilford,North Carolina
Halifax County Schools,Halifax,Halifax,North Carolina
Harnett County Schools,Lillington,Harnett,North Carolina
Haywood County Schools,Waynesville,Haywood,North Carolina
Henderson County Public Schools,Hendersonville,Henderson,North Carolina
Hertford County Schools,Winton,Hertford,North Carolina
Hickory City Schools,Hickory,Catawba,North Carolina
Hoke County Schools,Raeford,Hoke,North Carolina
Hyde County Schools,Swan Quarter,Hyde,North Carolina
Iredell-Statesville Schools,Statesville,Iredell,North Carolina
Jackson County Schools,Sylva,Jackson,North Carolina
Johnston County Schools,Smithfield,Johnston,North Carolina
Jones County Schools,Trenton,Jones,North Carolina
Kannapolis City Schools,Kannapolis,Cabarrus,North Carolina
Lee County Schools,Sanford,Lee,North Carolina
Lenoir County Public Schools,Kinston,Lenoir,North Carolina
Lexington City Schools,Lexington,Davidson,North Carolina
Lincoln County Schools,Lincolnton,Lincoln,North Carolina
Macon County Schools,Franklin,Macon,North Carolina
Madison County Schools,Marshall,Madison,North Carolina
Martin County Schools,Williamston,Martin,North Carolina
McDowell County Schools,Marion,McDowell,North Carolina
Mitchell County Schools,Bakersville,Mitchell,North Carolina
Montgomery County Schools,Troy,Montgomery,North Carolina
Moore County Schools,Carthage,Moore,North Carolina
Mooresville Graded School District,Mooresville,Iredell,North Carolina
Mount Airy City Schools,Mount Airy,Surry,North Carolina
Nash County Public Schools,Nashville,Nash,North Carolina
New Hanover County Schools,Wilmington,New Hanover,North Carolina
