School District,City,County,State,,,,,,,,,,"Alexander, Anamoose, Menoken, Ashley, Wimbledon, Beach, Belcourt, Belfield, Beulah, Medora, Bismarck, Bottineau, Bowbells, Bowman, Lignite, Carrington, Cavalier, Center, Casselton, Buxton, Petersburg, Devils Lake, Dickinson, Crosby, Drake, Drayton, Dunseith, Edgeley, Trenton, Elgin, Ellendale, Emerado, Enderlin, Fairmount, Fargo, Fessenden, Finley, Flasher, Fordville, Fort Ransom, Fort Totten, Fort Yates, Gackle, Garrison, Glenburn, Glen Ullin, Grafton, Grafton, Grand Forks, Grenora, Cooperstown, Hankinson, Harvey, Hatton, Hazelton, Hazen, Hebron, Hettinger, Hillsboro, Hope, Cartwright, Jamestown, Kenmare, Kensal, Steele, Killdeer, Kindred, Kulm, Lakota, LaMoure, Langdon, Larimore, Leeds, Plaza, Lidgerwood, Linton, Lisbon, Marion, St. Anthony, Golva, Maddock, Mandan, Mandaree, Manning, Manvel, Mapleton, Tower City, Marmarth, Max, Mayville, McClusky, Watford City, Medina, Menoken, Glenfield, Inkster, Milnor, Minnewaukan, Minot, Minto, Mohall, Montpelier, Mott, Rolla, Munich, Napoleon, Bismarck, Minot, Ray, Newburg, New England, New Rockford, New Salem, New Town, Walhalla, Hunter, Gwinner, Cando, Northwood, Oakes, Oberon, Park River, Parshall, Pingree, Powers Lake, Richardton, Colfax, Rolette, Carson, Rugby, Forman, Sawyer, Scranton, Selfridge, Solen, South Heart, Minot, Stanley, Starkweather, Sterling, St. John, Strasburg, Surrey, Mandan, Towner, Thompson, Tioga, Turtle Lake, Halliday, Underwood, Des Lacs, Valley City, Hoople, Velva, Wahpeton, Warwick, Washburn, West Fargo, Westhope, Roseglen, Williston, Wilton, Wing, Wishek, Wyndmere, East Fairview, Zeeland"
Alexander Public School District,Alexander,McKenzie,North Dakota,,,,,,,,,,"McKenzie, McHenry, Burleigh, McIntosh, Barnes, Golden Valley, Rolette, Stark, Mercer, Billings, Burleigh, Bottineau, Burke, Bowman, Burke, Foster, Pembina, Oliver, Cass, Traill, Nelson, Ramsey, Stark, Divide, McHenry, Pembina, Rolette, LaMoure, Williams, Grant, Dickey, Grand Forks, Ransom, Richland, Cass, Wells, Steele, Morton, Walsh, Ransom, Benson, Sioux, Logan, McLean, Renville, Morton, Walsh, Walsh, Grand Forks, Williams, Griggs, Richland, Wells, Traill, Emmons, Mercer, Morton, Adams, Traill, Steele, McKenzie, Stutsman, Ward, Stutsman, Kidder, Dunn, Cass, LaMoure, Nelson, LaMoure, Cavalier, Grand Forks, Benson, Mountrail, Richland, Emmons, Ransom, LaMoure, Morton, Golden Valley, Benson, Morton, McKenzie, Dunn, Grand Forks, Cass, Cass, Slope, McLean, Traill, Sheridan, McKenzie, Stutsman, Burleigh, Foster, Grand Forks, Sargent, Benson, Ward, Walsh, Renville, Stutsman, Hettinger, Rolette, Cavalier, Logan, Burleigh, Ward, Williams, Bottineau, Hettinger, Eddy, Morton, Mountrail, Pembina, Cass, Sargent, Towner, Grand Forks, Dickey, Benson, Walsh, Mountrail, Stutsman, Burke, Stark, Richland, Rolette, Grant, Pierce, Sargent, Ward, Bowman, Sioux, Sioux, Stark, Ward, Mountrail, Ramsey, Burleigh, Rolette, Emmons, Ward, Morton, McHenry, Grand Forks, Williams, McLean, Dunn, McLean, Ward, Barnes, Walsh, McHenry, Richland, Benson, McLean, Cass, Bottineau, McLean, Williams, McLean, Burleigh, McIntosh, Richland, McKenzie, McIntosh"
Anamoose Public School District,Anamoose,McHenry,North Dakota,,,,,,,,,,
Apple Creek Public School District,Menoken,Burleigh,North Dakota,,,,,,,,,,
Ashley Public School District,Ashley,McIntosh,North Dakota,,,,,,,,,,
Barnes County North Public School District,Wimbledon,Barnes,North Dakota,,,,,,,,,,
Beach Public School District,Beach,Golden Valley,North Dakota,,,,,,,,,,
Belcourt Public School District,Belcourt,Rolette,North Dakota,,,,,,,,,,
Belfield Public School District,Belfield,Stark,North Dakota,,,,,,,,,,
Beulah Public School District,Beulah,Mercer,North Dakota,,,,,,,,,,
Billings County Public School District,Medora,Billings,North Dakota,,,,,,,,,,
Bismarck Public Schools,Bismarck,Burleigh,North Dakota,,,,,,,,,,
Bottineau Public School District,Bottineau,Bottineau,North Dakota,,,,,,,,,,
Bowbells Public School District,Bowbells,Burke,North Dakota,,,,,,,,,,
Bowman County Public School District,Bowman,Bowman,North Dakota,,,,,,,,,,
Burke Central Public School District,Lignite,Burke,North Dakota,,,,,,,,,,
Carrington Public School District,Carrington,Foster,North Dakota,,,,,,,,,,
Cavalier Public School District,Cavalier,Pembina,North Dakota,,,,,,,,,,
Center-Stanton Public School District,Center,Oliver,North Dakota,,,,,,,,,,
Central Cass Public School District,Casselton,Cass,North Dakota,,,,,,,,,,
Central Valley Public School District,Buxton,Traill,North Dakota,,,,,,,,,,
Dakota Prairie Public School District,Petersburg,Nelson,North Dakota,,,,,,,,,,
Devils Lake Public School District,Devils Lake,Ramsey,North Dakota,,,,,,,,,,
Dickinson Public School District,Dickinson,Stark,North Dakota,,,,,,,,,,
Divide County Public School District,Crosby,Divide,North Dakota,,,,,,,,,,
Drake Public School District,Drake,McHenry,North Dakota,,,,,,,,,,
Drayton Public School District,Drayton,Pembina,North Dakota,,,,,,,,,,
Dunseith Public School District,Dunseith,Rolette,North Dakota,,,,,,,,,,
Edgeley Public School District,Edgeley,LaMoure,North Dakota,,,,,,,,,,
Eight Mile Public School District,Trenton,Williams,North Dakota,,,,,,,,,,
Elgin-New Leipzig Public School District,Elgin,Grant,North Dakota,,,,,,,,,,
Ellendale Public School District,Ellendale,Dickey,North Dakota,,,,,,,,,,
Emerado Public School District,Emerado,Grand Forks,North Dakota,,,,,,,,,,
Enderlin Area Public School District,Enderlin,Ransom,North Dakota,,,,,,,,,,
Fairmount Public School District,Fairmount,Richland,North Dakota,,,,,,,,,,
Fargo Public Schools,Fargo,Cass,North Dakota,,,,,,,,,,
