School District,City,County,State
Ada Exempted Village School District,Ada,Hardin,Ohio
Adams County/Ohio Valley School District,West Union,Adams,Ohio
Adena Local School District,Frankfort,Ross,Ohio
Akron Public Schools,Akron,Summit,Ohio
Alexander Local School District,Albany,Athens / Meigs,Ohio
Allen East Local School District,Harrod,Allen,Ohio
Alliance City School District,Alliance,Stark,Ohio
Amanda-Clearcreek Local School District,Amanda,Fairfield,Ohio
Amherst Exempted Village School District,Amherst,Lorain,Ohio
Anna Local School District,Anna,Shelby,Ohio
Ansonia Local School District,Ansonia,Darke,Ohio
Anthony Wayne Local School District,Whitehouse,Lucas,Ohio
Antwerp Local School District,Antwerp,Paulding,Ohio
Arcadia Local Schools,Arcadia,Hancock,Ohio
Arcanum-Butler Local School District,Arcanum,Darke,Ohio
Archbold Area Local School District,Archbold,Fulton,Ohio
Arlington Local Schools,Arlington,Hancock,Ohio
Ashland City School District,Ashland,Ashland,Ohio
Ashtabula Area City School District,Ashtabula,Ashtabula,Ohio
Athens City School District,Athens,Athens,Ohio
Aurora City School District,Aurora,Portage,Ohio
Austintown Local School District,Youngstown,Mahoning,Ohio
Avon Lake City School District,Avon Lake,Lorain,Ohio
Avon Local School District,Avon,Lorain,Ohio
Ayersville Local School District,Defiance,Defiance,Ohio
Barberton City School District,Barberton,Summit,Ohio
Barnesville Exempted Village School District,Barnesville,Belmont,Ohio
Batavia Local School District,Batavia,Clermont,Ohio
Bath Local Schools,Lima,Allen,Ohio
Bay Village City School District,Bay Village,Cuyahoga,Ohio
Beachwood City School District,Beachwood,Cuyahoga,Ohio
Beavercreek City School District,Beavercreek,Greene,Ohio
Beaver Local School District,Lisbon,Columbiana,Ohio
Bedford City School District,Bedford,Cuyahoga,Ohio
Bellaire Local School District,Bellaire,Belmont,Ohio
Bellbrook-Sugarcreek Local School District,Bellbrook,Greene,Ohio
Bellefontaine City School District,Bellefontaine,Logan,Ohio
Bellevue City School District,Bellevue,Huron / Sandusky,Ohio
Belpre City School District,Belpre,Washington,Ohio
Benjamin Logan Local School District,Bellefontaine,Logan,Ohio
Benton-Carroll-Salem Local School District,Oak Harbor,Ottawa,Ohio
