School District,City,County,State
Abington Heights School District,Clarks Summit,Lackawanna,Pennsylvania
Abington School District,Abington,Montgomery,Pennsylvania
Albert Gallatin Area School District,Uniontown,Fayette,Pennsylvania
Aliquippa School District,Aliquippa,Beaver,Pennsylvania
Allegheny-Clarion Valley School District,Foxburg,Clarion,Pennsylvania
Allegheny Valley School District,Cheswick,Allegheny,Pennsylvania
Allentown City School District,Allentown,Lehigh,Pennsylvania
Altoona Area School District,Altoona,Blair,Pennsylvania
Ambridge Area School District,Ambridge,Beaver,Pennsylvania
Annville-Cleona School District,Annville,Lebanon,Pennsylvania
Antietam School District,Reading,Berks,Pennsylvania
Apollo-Ridge School District,Spring Church,Armstrong,Pennsylvania
Armstrong School District,Kittanning,Armstrong,Pennsylvania
Athens Area School District,Athens,Bradford,Pennsylvania
Austin Area School District,Austin,Potter,Pennsylvania
Avella Area School District,Avella,Washington,Pennsylvania
Avon Grove School District,West Grove,Chester,Pennsylvania
Avonworth School District,Pittsburgh,Allegheny,Pennsylvania
Bald Eagle Area School District,Wingate,Centre,Pennsylvania
Baldwin-Whitehall School District,Pittsburgh,Allegheny,Pennsylvania
Bangor Area School District,Bangor,Northampton,Pennsylvania
Beaver Area School District,Beaver,Beaver,Pennsylvania
Bedford Area School District,Bedford,Bedford,Pennsylvania
Bellefonte Area School District,Bellefonte,Centre,Pennsylvania
Belle Vernon Area School District,Belle Vernon,Westmoreland,Pennsylvania
Bellwood-Antis School District,Bellwood,Blair,Pennsylvania
Bensalem Township School District,Bensalem,Bucks,Pennsylvania
Benton Area School District,Benton,Columbia,Pennsylvania
Bentworth School District,Bentleyville,Washington,Pennsylvania
Berlin Brothersvalley School District,Berlin,Somerset,Pennsylvania
Bermudian Springs School District,York Springs,Adams,Pennsylvania
Berwick Area School District,Berwick,Luzerne,Pennsylvania
Bethel Park School District,Bethel Park,Allegheny,Pennsylvania
Bethlehem Area School District,Bethlehem,Northampton,Pennsylvania
Bethlehem-Center School District,Fredericktown,Washington,Pennsylvania
Big Beaver Falls Area School District,Beaver Falls,Beaver,Pennsylvania
Big Spring School District,Newville,Cumberland,Pennsylvania
Blackhawk School District,Beaver Falls,Beaver,Pennsylvania
Blacklick Valley School District,Nanty-Glo,Cambria,Pennsylvania
Blairsville-Saltsburg School District,Blairsville,Indiana,Pennsylvania
Bloomsburg Area School District,Bloomsburg,Columbia,Pennsylvania
Blue Mountain School District,Orwigsburg,Schuylkill,Pennsylvania
Blue Ridge School District,New Milford,Susquehanna,Pennsylvania
Boyertown Area School District,Boyertown,Berks,Pennsylvania
Bradford Area School District,Bradford,McKean,Pennsylvania
Brandywine Heights Area School District,Topton,Berks,Pennsylvania
Brentwood Borough School District,Pittsburgh,Allegheny,Pennsylvania
