School District,City,County,State
Barrington Public Schools,Barrington,Bristol,Rhode Island
Bristol Warren Regional School District,Bristol,Bristol,Rhode Island
Burrillville School District,Burrillville,Providence,Rhode Island
Central Falls School District,Central Falls,Providence,Rhode Island
Chariho Regional School District,Wood River Junction,Washington,Rhode Island
Coventry Public Schools,Coventry,Kent,Rhode Island
Cranston Public School District,Cranston,Providence,Rhode Island
Cumberland School District,Cumberland,Providence,Rhode Island
East Greenwich School District,East Greenwich,Kent,Rhode Island
East Providence School District,East Providence,Providence,Rhode Island
Exeter-West Greenwich Regional School District,Exeter,Washington,Rhode Island
Foster Elementary School District,Foster,Providence,Rhode Island
Foster-Glocester Regional School District,Foster,Providence,Rhode Island
Glocester School District,Glocester,Providence,Rhode Island
Jamestown School District,Jamestown,Newport,Rhode Island
Johnston Public Schools,Johnston,Providence,Rhode Island
Lincoln Public Schools,Lincoln,Providence,Rhode Island
Little Compton School District,Little Compton,Newport,Rhode Island
Middletown Public Schools,Middletown,Newport,Rhode Island
Narragansett School District,Narragansett,Washington,Rhode Island
Newport Public Schools,Newport,Newport,Rhode Island
New Shoreham School District,New Shoreham (Block Island),Washington,Rhode Island
North Kingstown School Department,North Kingstown,Washington,Rhode Island
North Providence School District,North Providence,Providence,Rhode Island
North Smithfield Public Schools,North Smithfield,Providence,Rhode Island
Pawtucket School Department,Pawtucket,Providence,Rhode Island
Portsmouth School Department,Portsmouth,Newport,Rhode Island
Providence Public Schools,Providence,Providence,Rhode Island
Scituate Public Schools,Scituate,Providence,Rhode Island
Smithfield Public Schools,Smithfield,Providence,Rhode Island
South Kingstown School District,South Kingstown,Washington,Rhode Island
Tiverton School District,Tiverton,Newport,Rhode Island
Warwick Public Schools,Warwick,Kent,Rhode Island
Westerly Public Schools,Westerly,Washington,Rhode Island
West Warwick Public Schools,West Warwick,Kent,Rhode Island
Woonsocket Education Department,Woonsocket,Providence,Rhode Island
