School District,City,County,State
Abbeville County School District,Abbeville,Abbeville,South Carolina
Aiken County Public School District,Aiken,Aiken,South Carolina
Allendale County Schools,Fairfax,Allendale,South Carolina
Anderson County School District 2,Honea Path,Anderson,South Carolina
Anderson School District 3,Iva,Anderson,South Carolina
Anderson School District 4,Pendleton,Anderson,South Carolina
Anderson School District 5,Anderson,Anderson,South Carolina
Anderson School District One,Williamston,Anderson,South Carolina
Bamberg County School District,Bamberg,Bamberg,South Carolina
Barnwell County School District,Barnwell,Barnwell,South Carolina
Barnwell School District 29,Williston,Barnwell,South Carolina
Beaufort County School District,Beaufort,Beaufort,South Carolina
Berkeley County School District,Moncks Corner,Berkeley,South Carolina
Calhoun County School District,St. Matthews,Calhoun,South Carolina
Charleston County School District,Charleston,Charleston,South Carolina
Cherokee County School District,Gaffney,Cherokee,South Carolina
Chester County School District,Chester,Chester,South Carolina
Chesterfield County School District,Chesterfield,Chesterfield,South Carolina
Clarendon County School District,Manning,Clarendon,South Carolina
Clover School District,Clover,York,South Carolina
Colleton County School District,Walterboro,Colleton,South Carolina
Darlington County School District,Darlington,Darlington,South Carolina
Dillon School District Four,Dillon,Dillon,South Carolina
District 5 of Lexington and Richland Counties,Irmo,Richland,South Carolina
Dorchester School District 4,St. George,Dorchester,South Carolina
Dorchester School District Two,Summerville,Dorchester,South Carolina
Edgefield County School District,Johnston,Edgefield,South Carolina
Fairfield County School District,Winnsboro,Fairfield,South Carolina
Florence 1 Schools,Florence,Florence,South Carolina
Florence School District 2,Pamplico,Florence,South Carolina
Florence School District 3,Lake City,Florence,South Carolina
Florence School District 5,Johnsonville,Florence,South Carolina
Fort Mill School District,Fort Mill,York,South Carolina
Georgetown County School District,Georgetown,Georgetown,South Carolina
Greenville County School District,Greenville,Greenville,South Carolina
Greenwood School District 50,Greenwood,Greenwood,South Carolina
Greenwood School District 52,Ninety Six,Greenwood,South Carolina
Hampton County School District,Varnville,Hampton,South Carolina
Hampton School District 1,Varnville,Hampton,South Carolina
Hampton School District 2,Estill,Hampton,South Carolina
Horry County Schools,Conway,Horry,South Carolina
Jasper County School District,Ridgeland,Jasper,South Carolina
Kershaw County School District,Camden,Kershaw,South Carolina
Lancaster County School District,Lancaster,Lancaster,South Carolina
Latta Schools,Latta,Dillon,South Carolina
Laurens School District 55,Laurens,Laurens,South Carolina
Laurens School District 56,Clinton,Laurens,South Carolina
Lee County School District,Bishopville,Lee,South Carolina
Lexington School District 2,West Columbia,Lexington,South Carolina
Lexington School District 3,Batesburg-Leesville,Lexington,South Carolina
Lexington School District 4,Swansea,Lexington,South Carolina
Lexington School District One,Lexington,Lexington,South Carolina
Marion 10 School District,Marion,Marion,South Carolina
Marlboro County School District,Bennettsville,Marlboro,South Carolina
McCormick County School District,McCormick,McCormick,South Carolina
Newberry County School District,Newberry,Newberry,South Carolina
Orangeburg County School District,Orangeburg,Orangeburg,South Carolina
Richland County School District One,Columbia,Richland,South Carolina
Richland School District Two,Columbia,Richland,South Carolina
Rock Hill Schools - York County District 3,Rock Hill,York,South Carolina
Saluda County School District,Saluda,Saluda,South Carolina
School District of Oconee County,Walhalla,Oconee,South Carolina
School District of Pickens County,Easley,Pickens,South Carolina
Spartanburg County School District 1,Campobello,Spartanburg,South Carolina
Spartanburg County School District 2,Chesnee,Spartanburg,South Carolina
Spartanburg County School District 3,Glendale,Spartanburg,South Carolina
Spartanburg County School District 4,Woodruff,Spartanburg,South Carolina
Spartanburg County School District 5,Duncan,Spartanburg,South Carolina
Spartanburg County School District 6,Roebuck,Spartanburg,South Carolina
Spartanburg County School District 7,Spartanburg,Spartanburg,South Carolina
Sumter School District,Sumter,Sumter,South Carolina
Union County School District,Union,Union,South Carolina
Ware Shoals School District 51,Ware Shoals,Greenwood,South Carolina
Williamsburg County School District,Kingstree,Williamsburg,South Carolina
York School District 1,York,York,South Carolina
