School District,City,County,State,,,,,,,,,,"Aberdeen School District, Agar-Blunt-Onida School District, Alcester-Hudson School District, Andes Central School District, Arlington School District, Armour School District, Avon School District, Baltic School District, Belle Fourche School District, Bennett County School District, Beresford School District, Big Stone City School District, Bison School District, Bon Homme School District, Bowdle School District, Brandon Valley School District, Bridgewater-Emery School District, Britton-Hecla School District, Brookings School District, Burke School District, Canistota School District, Canton School District, Castlewood School District, Centerville School District, Chamberlain School District, Chester Area School District, Clark School District, Colman-Egan School District, Colome Consolidated School District, Corsica-Stickney 21-3 School District, Custer School District, Dakota Valley School District, Dell Rapids School District, De Smet School District, Deubrook Area School District, Deuel School District, Doland School District, Douglas School District, Dupree School District, Eagle Butte School District, Edgemont School District, Edmunds Central School District, Elk Mountain School District, Elk Point-Jefferson School District, Elkton School District, Estelline School District, Ethan School District, Eureka School District, Faith School District, Faulkton Area School District, Flandreau School District, Florence School District, Frederick Area School District, Freeman School District, Garretson School District, Gayville-Volin School District, Gettysburg School District, Gregory School District, Groton Area School District, Haakon School District, Hamlin School District, Hanson School District, Harding County School District, Harrisburg School District, Henry School District, Herreid School District, Highmore-Harrold School District, Hill City School District, Hitchcock-Tulare School District, Hot Springs School District, Hoven School District, Howard School District, Huron School District, Ipswich Public School District, Irene-Wakonda School District, Iroquois School District, Jones County School District, Kadoka Area School District, Kimball School District, Lake Preston School District, Langford School District, Lead-Deadwood School District, Lemmon School District, Lennox School District, Leola School District, Lyman School District, Madison Central School District, Marion School District, McCook Central School District, McIntosh School District, McLaughlin School District, Meade School District, Menno School District, Milbank School District, Miller Area School District, Mitchell School District, Mobridge-Pollock School District, Montrose School District, Mount Vernon School District, Newell School District, New Underwood School District, Northwestern Area School District, Oelrichs School District, Oglala Lakota County School District, Oldham-Ramona-Rutland School District 39-6, Parker School District, Parkston School District, Pierre School District, Plankinton School District, Platte-Geddes School District, Rapid City Area School District, Redfield School District, Rosholt School District, Sanborn Central School District, Scotland School District, Selby Area School District, Sioux Falls School District, Sioux Valley School District, Sisseton School District, Smee School District, South Central School District, Spearfish School District, Stanley County School District, Summit School District, Tea Area School District, Timber Lake School District, Todd County School District, Tripp-Delmont School District, Tri-Valley School District, Vermillion School District, Viborg-Hurley School District, Wagner Community School District, Wall School District, Warner School District, Watertown School District, Waubay School District, Waverly School District, Webster School District, Wessington Springs School District, West Central School District, White Lake School District, White River School District, Willow Lake School District, Wilmot School District, Winner School District, Wolsey-Wessington School District, Woonsocket School District, Yankton School District"
Aberdeen School District,Aberdeen,Brown,South Dakota,,,,,,,,,,"Aberdeen, Onida, Alcester, Lake Andes, Arlington, Armour, Avon, Baltic, Belle Fourche, Martin, Beresford, Big Stone City, Bison, Tyndall, Bowdle, Brandon, Bridgewater, Britton, Brookings, Burke, Canistota, Canton, Castlewood, Centerville, Chamberlain, Chester, Clark, Colman, Colome, Corsica, Custer, North Sioux City, Dell Rapids, De Smet, White, Clear Lake, Doland, Box Elder, Dupree, Eagle Butte, Edgemont, Roscoe, Elk Mountain, Elk Point, Elkton, Estelline, Ethan, Eureka, Faith, Faulkton, Flandreau, Florence, Frederick, Freeman, Garretson, Gayville, Gettysburg, Gregory, Groton, Philip, Hazel, Alexandria, Buffalo, Harrisburg, Henry, Herreid, Highmore, Hill City, Tulare, Hot Springs, Hoven, Howard, Huron, Ipswich, Irene, Iroquois, Murdo, Kadoka, Kimball, Lake Preston, Langford, Lead, Lemmon, Lennox, Leola, Presho, Madison, Marion, Salem, McIntosh, McLaughlin, Sturgis, Menno, Milbank, Miller, Mitchell, Mobridge, Montrose, Mount Vernon, Newell, New Underwood, Mellette, Oelrichs, Pine Ridge, Ramona, Parker, Parkston, Pierre, Plankinton, Platte, Rapid City, Redfield, Rosholt, Forestburg, Scotland, Selby, Sioux Falls, Volga, Sisseton, Bullhead, Bonesteel, Spearfish, Fort Pierre, Summit, Tea, Timber Lake, Mission, Tripp, Colton, Vermillion, Viborg, Wagner, Wall, Warner, Watertown, Waubay, Waverly, Webster, Wessington Springs, Hartford, White Lake, White River, Willow Lake, Wilmot, Winner, Wolsey, Woonsocket, Yankton"
Agar-Blunt-Onida School District,Onida,Sully,South Dakota,,,,,,,,,,"Brown, Sully, Union, Charles Mix, Kingsbury, Douglas, Bon Homme, Minnehaha, Butte, Bennett, Union, Grant, Perkins, Bon Homme, Edmunds, Minnehaha, McCook, Marshall, Brookings, Gregory, McCook, Lincoln, Hamlin, Turner, Brule, Lake, Clark, Moody, Tripp, Douglas, Custer, Union, Minnehaha, Kingsbury, Brookings, Deuel, Spink, Pennington, Ziebach, Dewey, Fall River, Edmunds, Custer, Union, Brookings, Hamlin, Davison, McPherson, Meade, Faulk, Moody, Codington, Brown, Hutchinson, Minnehaha, Yankton, Potter, Gregory, Brown, Haakon, Hamlin, Hanson, Harding, Lincoln, Codington, Campbell, Hyde, Pennington, Spink, Fall River, Potter, Miner, Beadle, Edmunds, Turner, Beadle, Jones, Jackson, Brule, Kingsbury, Marshall, Lawrence, Perkins, Lincoln, McPherson, Lyman, Lake, Turner, McCook, Corson, Corson, Meade, Hutchinson, Grant, Hand, Davison, Walworth, McCook, Davison, Butte, Pennington, Spink, Fall River, Oglala Lakota, Lake, Turner, Hutchinson, Hughes, Aurora, Charles Mix, Pennington, Spink, Roberts, Sanborn, Bon Homme, Walworth, Minnehaha, Brookings, Roberts, Corson, Gregory, Lawrence, Stanley, Roberts, Lincoln, Dewey, Todd, Hutchinson, Minnehaha, Clay, Turner, Charles Mix, Pennington, Brown, Codington, Day, Codington, Day, Jerauld, Minnehaha, Aurora, Mellette, Clark, Roberts, Tripp, Beadle, Sanborn, Yankton"
Alcester-Hudson School District,Alcester,Union,South Dakota,,,,,,,,,,
Andes Central School District,Lake Andes,Charles Mix,South Dakota,,,,,,,,,,
Arlington School District,Arlington,Kingsbury,South Dakota,,,,,,,,,,
Armour School District,Armour,Douglas,South Dakota,,,,,,,,,,
Avon School District,Avon,Bon Homme,South Dakota,,,,,,,,,,
Baltic School District,Baltic,Minnehaha,South Dakota,,,,,,,,,,
Belle Fourche School District,Belle Fourche,Butte,South Dakota,,,,,,,,,,
Bennett County School District,Martin,Bennett,South Dakota,,,,,,,,,,
