School District,City,County,State
Alamo City School District,Alamo,Crockett,Tennessee
Alcoa City Schools,Alcoa,Blount,Tennessee
Anderson County School District in Clinton,Clinton,Anderson,Tennessee
Anderson County Schools,Clinton,Anderson,Tennessee
Arlington Community Schools in Lakeland (9-12),Lakeland,Shelby,Tennessee
Arlington School District,Arlington,Shelby,Tennessee
Athens City Elementary Schools,Athens,McMinn,Tennessee
Bartlett School District,Bartlett,Shelby,Tennessee
Bedford County Schools,Shelbyville,Bedford,Tennessee
Bells City Schools,Bells,Crockett,Tennessee
Benton County Schools,Camden,Benton,Tennessee
Bledsoe County Schools,Pikeville,Bledsoe,Tennessee
Blount County Schools,Maryville,Blount,Tennessee
Bradford Special Schools,Bradford,Gibson,Tennessee
Bradley County Schools,Cleveland,Bradley,Tennessee
Bristol City Schools,Bristol,Sullivan,Tennessee
Campbell County Public Schools,Jacksboro,Campbell,Tennessee
Cannon County Schools,Woodbury,Cannon,Tennessee
Carter County Schools,Elizabethton,Carter,Tennessee
Cheatham County Schools,Ashland City,Cheatham,Tennessee
Chester County School District,Henderson,Chester,Tennessee
Claiborne County Schools,Tazewell,Claiborne,Tennessee
Clarksville-Montgomery County School System,Clarksville,Montgomery,Tennessee
Clay County Schools,Celina,Clay,Tennessee
Cleveland City Schools,Cleveland,Bradley,Tennessee
Clinton City Schools,Clinton,Anderson,Tennessee
Cocke County School District in Newport,Newport,Cocke,Tennessee
Cocke County Schools,Newport,Cocke,Tennessee
Coffee County School District in Manchester,Manchester,Coffee,Tennessee
Coffee County Schools,Manchester,Coffee,Tennessee
Collierville Schools,Collierville,Shelby,Tennessee
Crockett County School District in Alamo,Alamo,Crockett,Tennessee
Crockett County School District in Bells,Bells,Crockett,Tennessee
Crockett County Schools,Alamo,Crockett,Tennessee
Cumberland County Schools,Crossville,Cumberland,Tennessee
Dayton City Elementary Schools,Dayton,Rhea,Tennessee
Decatur County Schools,Decaturville,Decatur,Tennessee
DeKalb County Schools,Smithville,DeKalb,Tennessee
Dickson County Schools,Dickson,Dickson,Tennessee
Dyer County Schools,Dyersburg,Dyer,Tennessee
Dyersburg City Schools,Dyersburg,Dyer,Tennessee
Elizabethton City Schools,Elizabethton,Carter,Tennessee
Etowah City Elementary Schools,Etowah,McMinn,Tennessee
Fayette County Schools,Somerville,Fayette,Tennessee
Fayetteville City School District,Fayetteville,Lincoln,Tennessee
Fentress County Schools,Jamestown,Fentress,Tennessee
Fort Campbell Schools,Fort Campbell,Montgomery,Tennessee
Franklin County Schools,Winchester,Franklin,Tennessee
Franklin Special Schools,Franklin,Williamson,Tennessee
Germantown School District,Germantown,Shelby,Tennessee
Gibson County Special School District,Dyer,Gibson,Tennessee
Giles County Schools,Pulaski,Giles,Tennessee
Grainger County Schools,Rutledge,Grainger,Tennessee
Greene County Schools,Greeneville,Greene,Tennessee
Greeneville City Schools,Greeneville,Greene,Tennessee
Grundy County Schools,Altamont,Grundy,Tennessee
Hamblen County Schools,Morristown,Hamblen,Tennessee
Hamilton County Schools,Chattanooga,Hamilton,Tennessee
Hancock County Schools,Sneedville,Hancock,Tennessee
Hardeman County Schools,Bolivar,Hardeman,Tennessee
Hardin County Schools,Savannah,Hardin,Tennessee
Hawkins County School District in Rogersville,Rogersville,Hawkins,Tennessee
Hawkins County Schools,Rogersville,Hawkins,Tennessee
Haywood County Schools,Brownsville,Haywood,Tennessee
Henderson County School District in Lexington,Lexington,Henderson,Tennessee
Henderson County Schools,Lexington,Henderson,Tennessee
Henry County School District in Paris,Paris,Henry,Tennessee
Henry County Schools,Paris,Henry,Tennessee
Hickman County Schools,Centerville,Hickman,Tennessee
Hollow Rock-Bruceton Schools,Bruceton,Carroll,Tennessee
Houston County Schools,Erin,Houston,Tennessee
Humboldt City Schools,Humboldt,Gibson,Tennessee
Humphreys County Schools,Waverly,Humphreys,Tennessee
Huntingdon Special Schools,Huntingdon,Carroll,Tennessee
Jackson County Schools,Gainesboro,Jackson,Tennessee
Jackson-Madison County School System,Jackson,Madison,Tennessee
Jefferson County Schools,Dandridge,Jefferson,Tennessee
Johnson City Schools,Johnson City,Washington,Tennessee
Johnson County Schools,Mountain City,Johnson,Tennessee
Kingsport City Schools,Kingsport,Sullivan,Tennessee
Knox County Schools,Knoxville,Knox,Tennessee
Lake County Schools,Tiptonville,Lake,Tennessee
Lakeland School District,Lakeland,Shelby,Tennessee
Lauderdale County Schools,Ripley,Lauderdale,Tennessee
Lawrence County Schools,Lawrenceburg,Lawrence,Tennessee
Lebanon Special Schools,Lebanon,Wilson,Tennessee
Lenoir City Schools,Lenoir City,Loudon,Tennessee
Lewis County Schools,Hohenwald,Lewis,Tennessee
Lexington City Elementary Schools,Lexington,Henderson,Tennessee
