School District,City,County,State
Alpine School District,American Fork,Utah,Utah
Beaver School District,Beaver,Beaver,Utah
Box Elder School District,Brigham City,Box Elder,Utah
Cache County School District,Logan,Cache,Utah
Canyons School District,Sandy,Salt Lake,Utah
Carbon School District,Price,Carbon,Utah
Daggett School District,Manila,Daggett,Utah
Davis School District,Farmington,Davis,Utah
Duchesne County School District,Duchesne,Duchesne,Utah
Emery County School District,Castle Dale,Emery,Utah
Garfield School District,Panguitch,Garfield,Utah
Grand County School District,Moab,Grand,Utah
Granite School District,Salt Lake City,Salt Lake,Utah
Iron County School District,Cedar City,Iron,Utah
Jordan School District,Sandy,Salt Lake,Utah
Juab School District,Nephi,Juab,Utah
Kane School District,Kanab,Kane,Utah
Logan School District,Logan,Cache,Utah
Millard School District,Fillmore,Millard,Utah
Morgan School District,Morgan,Morgan,Utah
Murray School District,Murray,Salt Lake,Utah
Nebo School District,Spanish Fork,Utah,Utah
North Sanpete School District,Mt. Pleasant,Sanpete,Utah
North Summit School District,Coalville,Summit,Utah
Ogden School District,Ogden,Weber,Utah
Park City School District,Park City,Summit,Utah
Piute School District,Circleville,Piute,Utah
Provo City School District,Provo,Utah,Utah
Rich School District,Randolph,Rich,Utah
Salt Lake City School District,Salt Lake City,Salt Lake,Utah
San Juan School District,Blanding,San Juan,Utah
Sevier School District,Richfield,Sevier,Utah
South Sanpete School District,Manti,Sanpete,Utah
South Summit School District,Kamas,Summit,Utah
Tintic School District,Eureka,Juab,Utah
Tooele County School District,Tooele,Tooele,Utah
Uintah School District,Vernal,Uintah,Utah
Wasatch School District,Heber City,Wasatch,Utah
Washington County School District,St. George,Washington,Utah
Wayne County School District,Loa,Wayne,Utah
Weber School District,Ogden,Weber,Utah
