School District,City,County,State
Addison Central Unified School District,Middlebury,Addison,Vermont 
Addison Northwest Unified School District,Vergennes,Addison,Vermont 
Alburg School District,Alburgh,Grand Isle,Vermont 
Arlington School District,Arlington,Bennington,Vermont 
Athens Grafton School District,Grafton,Windham,Vermont 
Bellows Falls Union High School District #27,Town of Rockingham,Windham,Vermont 
Blue Mountain Union School District #21,Newbury,Orange,Vermont 
Brighton School District,Brighton,Essex,Vermont 
Burlington School District,Burlington,Chittenden,Vermont 
Cabot School District,Cabot,Washington,Vermont 
Cambridge School District,Cambridge,Lamoille,Vermont 
Canaan School District,Canaan,Essex,Vermont 
Champlain Valley Union High School District #15,Shelburne,Chittenden,Vermont 
Charleston School District,Charleston,Orleans,Vermont 
Colchester School District,Colchester,Chittenden,Vermont 
Coventry School District,Coventry,Orleans,Vermont 
Craftsbury School District,Craftsbury,Orleans,Vermont 
Danville School District,Danville,Caledonia,Vermont 
Derby School District,Derby,Orleans,Vermont 
Essex-Westford Educational Community Unified School District,Essex Junction,Chittenden,Vermont 
Fairfax School District,Fairfax,Franklin,Vermont 
Fletcher School District,Fletcher,Franklin,Vermont 
Georgia School District,St. Albans City,Franklin,Vermont 
Granville Hancock Unified School District,Granville,Addison,Vermont 
Hartford School District,Hartford,Windsor,Vermont 
Hartland School District,Hartland,Windsor,Vermont 
Harwood Unified School District,Waitsfield,Washington,Vermont 
Hazen Union High School District #26,Hardwick,Caledonia,Vermont 
Lake Region Union Elementary Middle School District,Barton,Orleans,Vermont 
Lake Region Union High School District #24,Barton,Orleans,Vermont 
Lamoille North Modified Unified School District #058A,Hyde Park,Lamoille,Vermont 
Lincoln School District,Lincoln,Addison,Vermont 
Lowell School District,Lowell,Orleans,Vermont 
Maple Run Unified School District,St. Albans City,Franklin,Vermont 
Marlboro School District,Marlboro,Windham,Vermont 
Mill River Union School District #40,Clarendon,Rutland,Vermont 
Milton Incorporated School District,Milton,Chittenden,Vermont 
Mountain Views Unified Union School District #76,Woodstock,Windsor,Vermont 
Mountain View Union Elementary School District #94,Hardwick,Caledonia,Vermont 
Mount Anthony Union High School District #14,Bennington,Bennington,Vermont 
Mt. Abraham Unified School District,Bristol,Addison,Vermont 
Newport City School District,Newport,Orleans,Vermont 
Newport Town School District,Newport,Orleans,Vermont 
North Country Junior/Senior UHSD #22,Derby,Orleans,Vermont 
Northeast Kingdom Choice School District,Newport,Orleans,Vermont 
Norwich School District,Norwich,Windsor,Vermont 
Orange Southwest Unified School District,Randolph,Orange,Vermont 
Otter Valley Union High School District #8,Brandon,Rutland,Vermont 
Peacham School District,Peacham,Caledonia,Vermont 
Rivendell Interstate School District,Orford,Grafton,Vermont 
Rockingham School District,Town of Rockingham,Windham,Vermont 
Rutland City School District,Rutland,Rutland,Vermont 
Rutland Town School District,Rutland,Rutland,Vermont 
Sharon School District,Sharon,Windsor,Vermont 
South Burlington School District,South Burlington,Chittenden,Vermont 
South Hero School District,South Hero,Grand Isle,Vermont 
Southwest Vermont Union Elementary School District #87,Bennington,Bennington,Vermont 
Springfield School District,Springfield,Windsor,Vermont 
Stamford School District,Stamford,Bennington,Vermont 
St. Johnsbury School District,St. Johnsbury,Caledonia,Vermont 
Stowe School District,Stowe,Lamoille,Vermont 
Strafford School District,Strafford,Orange,Vermont 
Thetford School District,Thetford,Orange,Vermont 
Troy School District,Troy,Orleans,Vermont 
Twinfield Union School District #33,Plainfield,Washington,Vermont 
Vernon School District,Vernon,Windham,Vermont 
Waits River Valley Union School District #36,Corinth,Orange,Vermont 
Warners Grant School District,Granville,Addison,Vermont 
Warrens Gore School District,Warrens Gore,Essex,Vermont 
Weathersfield School District,Weathersfield,Windsor,Vermont 
West River Valley Modified Union Education District,Townshend,Windham,Vermont 
Windham School District,Windham,Windham,Vermont 
Windham Southeast Supervisory Union,Brattleboro,Windham,Vermont 
Winooski Incorporated School District,Winooski,Chittenden,Vermont 
Wolcott School District,Wolcott,Lamoille,Vermont 
