School District,City,County,State
Accomack County Public Schools,Accomac,Accomack,Virginia
Albemarle County Public Schools,Charlottesville,Albemarle,Virginia
Alexandria City Public Schools,Alexandria,Alexandria,Virginia
Alleghany Highlands Public Schools,Low Moor,Alleghany,Virginia
Amelia County Public Schools,Amelia Court House,Amelia,Virginia
Amherst County Public Schools,Amherst,Amherst,Virginia
Appomattox County Public Schools,Appomattox,Appomattox,Virginia
Arlington Public Schools,Arlington,Arlington,Virginia
Augusta County Public Schools,Verona,Augusta,Virginia
Bath County Public Schools,Warm Springs,Bath,Virginia
Bedford County Public Schools,Bedford,Bedford,Virginia
Bland County Public Schools,Bastian,Bland,Virginia
Botetourt County Public Schools,Fincastle,Botetourt,Virginia
Bristol Public Schools,Bristol,Bristol,Virginia
Brunswick County Public Schools,Lawrenceville,Brunswick,Virginia
Buchanan County Public Schools,Grundy,Buchanan,Virginia
Buckingham County Public Schools,Buckingham,Buckingham,Virginia
Buena Vista City Public Schools,Buena Vista,Buena Vista,Virginia
Campbell County Public Schools,Rustburg,Campbell,Virginia
Caroline County Public Schools,Bowling Green,Caroline,Virginia
Carroll County Public Schools,Hillsville,Carroll,Virginia
Charles City County Public Schools,Charles City,Charles City,Virginia
Charlotte County Public Schools,Charlotte Court House,Charlotte,Virginia
Charlottesville City Schools,Charlottesville,Charlottesville,Virginia
Chesapeake Public Schools,Chesapeake,Chesapeake,Virginia
Chesterfield County Public Schools,Chesterfield,Chesterfield,Virginia
Clarke County Public Schools,Berryville,Clarke,Virginia
Colonial Beach Public Schools,Colonial Beach,Westmoreland,Virginia
Colonial Heights Public Schools,Colonial Heights,Colonial Heights,Virginia
Covington City Public Schools,Covington,Covington,Virginia
Craig County Public Schools,New Castle,Craig,Virginia
Culpeper County Public Schools,Culpeper,Culpeper,Virginia
Cumberland County Public Schools,Cumberland,Cumberland,Virginia
Dahlgren Department of Defense School District,Dahlgren,King George,Virginia
Danville Public Schools,Danville,Danville,Virginia
Dickenson County Public Schools,Clintwood,Dickenson,Virginia
Dinwiddie County Public Schools,Dinwiddie,Dinwiddie,Virginia
Emporia City Public Schools,Emporia,Emporia,Virginia
Essex County Public Schools,Tappahannock,Essex,Virginia
Fairfax County Public Schools,Falls Church,Fairfax,Virginia
Falls Church City Public Schools,Falls Church,Falls Church,Virginia
Fauquier County Public Schools,Warrenton,Fauquier,Virginia
Floyd County Public Schools,Floyd,Floyd,Virginia
Fluvanna County Public Schools,Palmyra,Fluvanna,Virginia
Franklin City Public Schools,Franklin,Franklin,Virginia
Franklin County Public Schools,Rocky Mount,Franklin,Virginia
Frederick County Public Schools,Winchester,Frederick,Virginia
Fredericksburg City Schools,Fredericksburg,Fredericksburg,Virginia
Galax City Public Schools,Galax,Galax,Virginia
Giles County Public Schools,Pearisburg,Giles,Virginia
Gloucester County Public Schools,Gloucester,Gloucester,Virginia
Goochland County Public Schools,Goochland,Goochland,Virginia
Grayson County Public Schools,Independence,Grayson,Virginia
Greene County Public Schools,Stanardsville,Greene,Virginia
Greensville County Public Schools,Emporia,Greensville,Virginia
Halifax County Public Schools,Halifax,Halifax,Virginia
Hampton City Schools,Hampton,Hampton,Virginia
Hanover County Public Schools,Ashland,Hanover,Virginia
Harrisonburg City Public Schools,Harrisonburg,Harrisonburg,Virginia
Henrico County Public Schools,Henrico,Henrico,Virginia
Henry County Public Schools,Collinsville,Henry,Virginia
Highland County Public Schools,Monterey,Highland,Virginia
Hopewell City Public Schools,Hopewell,Hopewell,Virginia
Isle of Wight County Public Schools,Smithfield,Isle of Wight,Virginia
James City County Public Schools,Williamsburg,James City,Virginia
King and Queen County Public Schools,King and Queen Court House,King and Queen,Virginia
King George County Public Schools,King George,King George,Virginia
King William County Public Schools,King William,King William,Virginia
Lancaster County Public Schools,Weems,Lancaster,Virginia
Lee County Public Schools,Jonesville,Lee,Virginia
Lexington City Schools,Lexington,Lexington,Virginia
Loudoun County Public Schools,Ashburn,Loudoun,Virginia
Louisa County Public Schools,Mineral,Louisa,Virginia
Lunenburg County Public Schools,Kenbridge,Lunenburg,Virginia
Lynchburg City Public Schools,Lynchburg,Lynchburg,Virginia
Madison County Public Schools,Madison,Madison,Virginia
Manassas City Public Schools,Manassas,Manassas,Virginia
Manassas Park City Public Schools,Manassas Park,Manassas Park,Virginia
Martinsville City Public Schools,Martinsville,Martinsville,Virginia
Mathews County Public Schools,Mathews,Mathews,Virginia
Mecklenburg County Public Schools,Boydton,Mecklenburg,Virginia
Middlesex County Public Schools,Saluda,Middlesex,Virginia
Montgomery County Public Schools,Christiansburg,Montgomery,Virginia
Nelson County Public Schools,Lovingston,Nelson,Virginia
New Kent County Public Schools,New Kent,New Kent,Virginia
Newport News Public Schools,Newport News,Newport News,Virginia
Norfolk Public Schools,Norfolk,Norfolk,Virginia
Northampton County Public Schools,Machipongo,Northampton,Virginia
Northumberland County Public Schools,Heathsville,Northumberland,Virginia
Norton City Schools,Norton,Norton,Virginia
Nottoway County Public Schools,Nottoway,Nottoway,Virginia
Orange County Public Schools,Orange,Orange,Virginia
Page County Public Schools,Luray,Page,Virginia
Patrick County Public Schools,Stuart,Patrick,Virginia
Petersburg City Public Schools,Petersburg,Petersburg,Virginia
Pittsylvania County Public Schools,Chatham,Pittsylvania,Virginia
Poquoson City Public Schools,Poquoson,Poquoson,Virginia
Portsmouth Public Schools,Portsmouth,Portsmouth,Virginia
Powhatan County Public Schools,Powhatan,Powhatan,Virginia
