School District,City,County,State
Barbour County Schools,Philippi,Barbour,West Virginia
Berkeley County Schools,Martinsburg,Berkeley,West Virginia
Boone County Schools,Madison,Boone,West Virginia
Braxton County Schools,Sutton,Braxton,West Virginia
Brooke County Schools,Wellsburg,Brooke,West Virginia
Cabell County Schools,Huntington,Cabell,West Virginia
Calhoun County Schools,Grantsville,Calhoun,West Virginia
Clay County Schools,Clay,Clay,West Virginia
Doddridge County Schools,West Union,Doddridge,West Virginia
Fayette County Schools,Fayetteville,Fayette,West Virginia
Gilmer County Schools,Glenville,Gilmer,West Virginia
Grant County Schools,Petersburg,Grant,West Virginia
Greenbrier County Schools,Lewisburg,Greenbrier,West Virginia
Hampshire County Schools,Romney,Hampshire,West Virginia
Hancock County Schools,New Cumberland,Hancock,West Virginia
Hardy County Schools,Moorefield,Hardy,West Virginia
Harrison County Schools,Clarksburg,Harrison,West Virginia
Jackson County Schools,Ripley,Jackson,West Virginia
Jefferson County Schools,Charles Town,Jefferson,West Virginia
Kanawha County Schools,Charleston,Kanawha,West Virginia
Lewis County Schools,Weston,Lewis,West Virginia
Lincoln County Schools,Hamlin,Lincoln,West Virginia
Logan County Schools,Logan,Logan,West Virginia
Marion County Schools,Fairmont,Marion,West Virginia
Marshall County Schools,Moundsville,Marshall,West Virginia
Mason County Schools,Point Pleasant,Mason,West Virginia
McDowell County Schools,Welch,McDowell,West Virginia
Mercer County Schools,Princeton,Mercer,West Virginia
Mineral County Schools,Keyser,Mineral,West Virginia
Mingo County Schools,Williamson,Mingo,West Virginia
Monongalia County Schools,Morgantown,Monongalia,West Virginia
Monroe County Schools,Union,Monroe,West Virginia
Morgan County Schools,Berkeley Springs,Morgan,West Virginia
Nicholas County Schools,Summersville,Nicholas,West Virginia
Ohio County Schools,Wheeling,Ohio,West Virginia
Pendleton County Schools,Franklin,Pendleton,West Virginia
Pleasants County Schools,St. Marys,Pleasants,West Virginia
Pocahontas County Schools,Marlinton,Pocahontas,West Virginia
Preston County Schools,Kingwood,Preston,West Virginia
Putnam County Schools,Winfield,Putnam,West Virginia
Raleigh County School District,Beckley,Raleigh,West Virginia
Randolph County Schools,Elkins,Randolph,West Virginia
Ritchie County Schools,Harrisville,Ritchie,West Virginia
Roane County Schools,Spencer,Roane,West Virginia
Summers County Schools,Hinton,Summers,West Virginia
Taylor County Schools,Grafton,Taylor,West Virginia
Tucker County Schools,Parsons,Tucker,West Virginia
Tyler County Schools,Middlebourne,Tyler,West Virginia
Upshur County Schools,Buckhannon,Upshur,West Virginia
Wayne County Schools,Wayne,Wayne,West Virginia
Webster County Schools,Webster Springs,Webster,West Virginia
Wetzel County Schools,New Martinsville,Wetzel,West Virginia
Wirt County Schools,Elizabeth,Wirt,West Virginia
Wood County Schools,Parkersburg,Wood,West Virginia
Wyoming County Schools,Pineville,Wyoming,West Virginia
