School District,City,County,State
Abbotsford School District,Abbotsford,Clark,Wisconsin
Adams-Friendship Area School District,Adams,Adams,Wisconsin
Albany School District,Albany,Green,Wisconsin
Algoma School District,Algoma,Kewaunee,Wisconsin
Alma Center School District,Alma Center,Jackson,Wisconsin
Alma School District,Alma,Buffalo,Wisconsin
Almond-Bancroft School District,Almond,Portage,Wisconsin
Altoona School District,Altoona,Eau Claire,Wisconsin
Amery School District,Amery,Polk,Wisconsin
Antigo School District,Antigo,Langlade,Wisconsin
Appleton Area School District,Appleton,Outagamie,Wisconsin
Arbor Vitae-Woodruff Joint School District No. 1,Woodruff,Vilas,Wisconsin
Arcadia School District,Arcadia,Trempealeau,Wisconsin
Argyle School District,Argyle,Lafayette,Wisconsin
Arrowhead Union High School District,Hartland,Waukesha,Wisconsin
Ashland School District,Ashland,Ashland,Wisconsin
Ashwaubenon School District,Ashwaubenon,Brown,Wisconsin
Athens School District,Athens,Marathon,Wisconsin
Auburndale School District,Auburndale,Wood,Wisconsin
Augusta School District,Augusta,Eau Claire,Wisconsin
Baldwin-Woodville Area School District,Baldwin,St. Croix,Wisconsin
Bangor School District,Bangor,La Crosse,Wisconsin
Baraboo School District,Baraboo,Sauk,Wisconsin
Barneveld School District,Barneveld,Iowa,Wisconsin
Barron Area School District,Barron,Barron,Wisconsin
Bayfield School District,Bayfield,Bayfield,Wisconsin
Beaver Dam School District,Beaver Dam,Dodge,Wisconsin
Beecher-Dunbar-Pembine School District,Pembine,Marinette,Wisconsin
Belleville School District,Belleville,Dane,Wisconsin
Belmont Community School District,Belmont,Lafayette,Wisconsin
Beloit School District,Beloit,Rock,Wisconsin
Beloit Turner School District,Beloit,Rock,Wisconsin
Benton School District,Benton,Lafayette,Wisconsin
Berlin Area School District,Berlin,Green Lake,Wisconsin
Big Foot Union High School District,Walworth,Walworth,Wisconsin
Birchwood School District,Birchwood,Washburn,Wisconsin
Black Hawk School District,South Wayne,Lafayette,Wisconsin
Black River Falls School District,Black River Falls,Jackson,Wisconsin
Blair-Taylor School District,Blair,Trempealeau,Wisconsin
Bloomer School District,Bloomer,Chippewa,Wisconsin
Bonduel School District,Bonduel,Shawano,Wisconsin
Boscobel Area School District,Boscobel,Grant,Wisconsin
Bowler School District,Bowler,Shawano,Wisconsin
Boyceville Community School District,Boyceville,Dunn,Wisconsin
Brighton School District No. 1,Brighton,Kenosha,Wisconsin
Brillion School District,Brillion,Calumet,Wisconsin
Bristol School District No. 1,Bristol,Kenosha,Wisconsin
Brodhead School District,Brodhead,Green,Wisconsin
Brown Deer School District,Brown Deer,Milwaukee,Wisconsin
Bruce School District,Bruce,Rusk,Wisconsin
Burlington Area School District,Burlington,Racine,Wisconsin
Butternut School District,Butternut,Ashland,Wisconsin
Cambria-Friesland School District,Cambria,Columbia,Wisconsin
Cambridge School District,Cambridge,Dane,Wisconsin
Cameron School District,Cameron,Barron,Wisconsin
Campbellsport School District,Campbellsport,Fond du Lac,Wisconsin
Cashton School District,Cashton,Monroe,Wisconsin
Cassville School District,Cassville,Grant,Wisconsin
Cedarburg School District,Cedarburg,Ozaukee,Wisconsin
Cedar Grove-Belgium Area School District,Cedar Grove,Sheboygan,Wisconsin
Central High School District of Westosha,Salem,Kenosha,Wisconsin
Chequamegon School District,Park Falls,Price,Wisconsin
Chetek-Weyerhaeuser Area School District,Chetek,Barron,Wisconsin
Chilton School District,Chilton,Calumet,Wisconsin
Chippewa Falls Area School District,Chippewa Falls,Chippewa,Wisconsin
Clayton School District,Clayton,Polk,Wisconsin
Clear Lake School District,Clear Lake,Polk,Wisconsin
Clinton Community School District,Clinton,Rock,Wisconsin
Clintonville School District,Clintonville,Waupaca,Wisconsin
Cochrane-Fountain City School District,Fountain City,Buffalo,Wisconsin
Colby School District,Colby,Clark,Wisconsin
Coleman School District,Coleman,Marinette,Wisconsin
Colfax School District,Colfax,Dunn,Wisconsin
Columbus School District,Columbus,Columbia,Wisconsin
Cornell School District,Cornell,Chippewa,Wisconsin
Crandon School District,Crandon,Forest,Wisconsin
Crivitz School District,Crivitz,Marinette,Wisconsin
Cuba City School District,Cuba City,Grant,Wisconsin
Cudahy School District,Cudahy,Milwaukee,Wisconsin
Cumberland School District,Cumberland,Barron,Wisconsin
Darlington Community School District,Darlington,Lafayette,Wisconsin
D.C. Everest Area School District,Schofield,Marathon,Wisconsin
Deerfield Community School District,Deerfield,Dane,Wisconsin
DeForest Area School District,DeForest,Dane,Wisconsin
Delavan-Darien School District,Delavan,Walworth,Wisconsin
Denmark School District,Denmark,Brown,Wisconsin
De Pere School District,De Pere,Brown,Wisconsin
De Soto Area School District,De Soto,Crawford,Wisconsin
Dodgeland School District,Juneau,Dodge,Wisconsin
Dodgeville School District,Dodgeville,Iowa,Wisconsin
Dover School District,Dover,Racine,Wisconsin
Drummond Area School District,Drummond,Bayfield,Wisconsin
Durand-Arkansaw School District,Durand,Pepin,Wisconsin
East Troy Community School District,East Troy,Walworth,Wisconsin
Eau Claire Area School District,Eau Claire,Eau Claire,Wisconsin
Edgar School District,Edgar,Marathon,Wisconsin
Edgerton School District,Edgerton,Rock,Wisconsin
Elcho School District,Elcho,Langlade,Wisconsin
Eleva-Strum School District,Strum,Trempealeau,Wisconsin
